## 第八十七章《挑衅》主要事件

### 详细版
1. 波尚描述了海黛作证后的情况，认为这是上帝借人手执行的正义。阿尔贝却认为是人为的迫害，决定找出幕后黑手并复仇。
2. 波尚提供线索：两星期前腾格拉尔也曾派人到亚尼纳调查马尔塞夫的过去。
3. 阿尔贝怀疑腾格拉尔是因为嫉恨马尔塞夫成为贵族院议员，且婚约破裂而报复。
4. 阿尔贝与波尚立即前往腾格拉尔家，在门口遇到了安德烈·卡瓦尔康蒂。
5. 阿尔贝强行闯入腾格拉尔的书房，直接指控腾格拉尔是迫害父亲的罪魁祸首。
6. 腾格拉尔承认确实写信到亚尼纳调查，但透露是基督山伯爵劝他这样做的，并且基督山知道回信的内容。
7. 腾格拉尔解释自己拒绝马尔塞夫的提亲完全是基于得到的情报，并没有主动去揭露。
8. 阿尔贝回忆起一系列可疑事件：基督山买了阿里总督的女儿、故意安排他与海黛见面、引导谈话到阿里之死、带他去诺曼底远离巴黎等，意识到基督山可能是真正的幕后主谋。
9. 阿尔贝决定去找基督山伯爵对质，离开腾格拉尔家。

### 简化版
1. 阿尔贝决定找出迫害父亲的幕后黑手，波尚提供线索指向腾格拉尔。
2. 阿尔贝与波尚前往腾格拉尔家对峙。
3. 腾格拉尔承认写信到亚尼纳调查，但透露是基督山伯爵劝他这样做的。
4. 阿尔贝意识到基督山可能是真正的幕后主谋，决定去找他对质。

### 极简版
1. 阿尔贝寻找迫害父亲的幕后黑手。
2. 腾格拉尔透露是基督山伯爵劝他调查马尔塞夫的过去。
3. 阿尔贝决定去找基督山对质。
