# 第一○五章《公墓》主要事件

## 详细版
1. 波维里先生遇到送瓦朗蒂娜去墓地的行列，维尔福为其选择了拉雪兹神父墓地的永久性墓地
2. 送殡行列庞大，有三十辆丧车、五十多辆私家马车和五百多个步行者跟随
3. 基督山乘坐马车赶到，混在步行人群中，询问夏多·勒诺和波尚莫雷尔的下落
4. 基督山在墓地树丛中发现莫雷尔的身影，密切关注其举动
5. 葬礼进行时，基督山一直注视着莫雷尔，担心他会做出极端行为
6. 葬礼结束后，基督山躲在大坟后面等待莫雷尔，并跟踪他回家
7. 基督山在莫雷尔家花园遇到尤莉，请求立即见马西米兰
8. 基督山发现莫雷尔房间门闩着，撞破玻璃格进入，看到他在写东西，桌上放着手枪
9. 莫雷尔承认想自杀，因瓦朗蒂娜之死万念俱灰
10. 基督山阻止莫雷尔，并揭示自己就是爱德蒙·唐太斯，曾救过莫雷尔父亲的命
11. 莫雷尔震惊，叫来尤莉和艾曼纽，全家对基督山表示感激和崇拜
12. 基督山要求单独与莫雷尔谈话，承诺在一个月内治愈他的痛苦
13. 基督山与莫雷尔约定：若一个月内无法安慰他，将允许他自由选择生死
14. 基督山邀请莫雷尔搬到自己家中居住，接替已离开的海黛

## 简化版
1. 瓦朗蒂娜的送殡行列前往拉雪兹神父墓地，基督山跟踪并找到悲痛欲绝的莫雷尔
2. 基督山尾随莫雷尔回家，发现他准备自杀，撞破玻璃格进入房间
3. 基督山阻止莫雷尔，并揭示自己就是爱德蒙·唐太斯，莫雷尔全家得知真相后感激不尽
4. 基督山承诺在一个月内治愈莫雷尔的痛苦，否则允许他自由选择生死，并邀请他搬来同住

## 极简版
基督山阻止准备自杀的莫雷尔，揭示真实身份，承诺在一个月内治愈其痛苦。
