# 《三国演义》第二回 张翼德怒鞭督邮 何国舅谋诛宦竖
## 详细版总结
1. 董卓字仲颖，陇西临洮人，官拜河东太守，自傲怠慢玄德，张飞欲杀之，被玄德与关羽劝阻，三人商议后连夜引军投朱儁。
2. 朱儁待刘关张甚厚，合兵一处征讨张宝；张宝引八九万贼众屯于山后，朱儁令玄德为先锋迎敌。
3. 张宝副将高升出马搦战，张飞纵马挺矛，不数合刺高升落马，玄德麾军直冲，但张宝作妖法，风雷大作黑气漫天，玄德军大乱败阵。
4. 朱儁提议用猪羊狗血破妖法，玄德派关羽、张飞各引一千军伏于山后高冈，次日张宝作法时，伏军泼出秽物，破去妖术，贼兵大败。
5. 玄德发箭射中张宝左臂，张宝带箭逃入阳城坚守不出；朱儁围攻阳城，同时打探皇甫嵩消息。
6. 皇甫嵩已取代董卓，张角已死，张梁被斩于曲阳，尸首枭首送往京师，朝廷加皇甫嵩为车骑将军、领冀州牧。
7. 阳城危急，贼将严政刺杀张宝献首投降，朱儁平数郡；此时黄巾余党赵弘、韩忠、孙仲聚众数万烧劫，朝廷命朱儁征讨。
8. 朱儁攻宛城，韩忠出战，朱儁使玄德等攻西南角，自引铁骑取东北角，韩忠回防时被玄德从背后掩杀大败入城。
9. 韩忠派人投降被拒，玄德建议撤东南围兵独攻西北，韩忠果弃城而逃，被射死，赵弘、孙仲引众赶到与朱儁交战，朱儁暂退。
10. 孙坚率一千五百人来助战，朱儁分兵四面攻打，孙坚率先登城斩二十余人，张弘被孙坚刺死，孙仲被玄德射死，南阳十数郡平。
11. 朱儁班师回京受封，表奏孙坚、刘备等功，孙坚有人情得官，刘备久候不得除授，与关张郁郁不乐。
12. 刘备遇见郎中张钧，自陈功绩，张钧入朝直言天下大乱由十常侍卖官鬻爵所致，帝怒令逐张钧。
13. 十常侍商议后让刘备得授定州中山府安喜县尉，刘备到任后与民秋毫无犯，与关张食同桌寝同床。
14. 朝廷降诏沙汰军功为长吏者，刘备恐在遣中；督邮行部至县，态度傲慢，责刘备诈称皇亲虚报功绩。
15. 张飞饮闷酒路过馆驿，见老人痛哭诉说督邮逼勒县吏害刘备，大怒，闯入馆驿将督邮绑于马桩鞭打，打断十数枝柳条。
16. 玄德闻讯赶来喝止，关羽建议杀督邮弃官，玄德取印绶挂督邮颈上离去，三人投代州刘恢，刘恢因刘备是汉室宗亲留匿家中。
17. 十常侍掌权，索贿不成便奏罢皇甫嵩、朱儁官职；赵忠等封车骑将军，张让等封列侯，朝政愈坏。
18. 长沙区星、渔阳张举张纯作乱，十常侍匿而不报；谏议大夫刘陶哭谏，被十常侍诬陷下狱处死；司徒陈耽苦谏，亦下狱被杀。
19. 朝廷假诏封孙坚为长沙太守讨区星，封刘虞为幽州牧讨张举张纯；刘恢荐刘备见刘虞，刘备助平渔阳，获赦鞭督邮之罪。
20. 刘备先任下密丞，迁高堂尉，后被公孙瓒荐为别部司马、守平原县令，在平原重整气象。
21. 灵帝病笃召何进入宫，何进因妹为皇后得权重任；灵帝宠幸王美人所生皇子协，欲立为太子，蹇硕建议先诛何进。
22. 何进至宫门被司马潘隐告知蹇硕欲谋害，急归召大臣商议诛宦官，曹操建议谨慎，何进叱之。
23. 灵帝崩，蹇硕秘不发丧欲立协为帝，袁绍请命带五千兵入宫，扶立太子辩即皇帝位。
24. 蹇硕被郭胜所杀，袁绍建议乘势尽诛宦官，张让等求何太后庇护，何太后以出身寒微为由不准何进诛宦官。
25. 董太后与何太后争权，董太后封协为陈留王，何太后使何进逼董太后迁河间，董重自刎，何进鸩杀董太后。
26. 袁绍建议何进诛阉宦，何进犹豫不决，袁绍提议召四方英雄入京，何进采纳，主簿陈琳与曹操反对，何进不听。

## 简化版总结
1. 刘关张投朱儁，助其破张宝妖法，射伤张宝；黄巾余党复起，朱儁、孙坚、刘备合兵讨平。
2. 孙坚因有人情得官，刘备久候不得除授，后经张钧进言得授安喜县尉。
3. 朝廷降诏沙汰官员，督邮至县傲慢索贿，张飞怒鞭督邮，刘备挂印弃官，投代州刘恢。
4. 十常侍专权乱政，索贿卖官，忠臣进谏反被害；长沙区星等作乱，朝廷派孙坚、刘虞征讨。
5. 刘备助平渔阳获赦，历任县丞、县尉，后为平原令。
6. 灵帝崩，何进谋立太子辩为帝，蹇硕欲害何进反被杀；董太后与何太后争权，何进鸩杀董太后。
7. 何进采纳袁绍建议召四方英雄入京诛宦官，陈琳与曹操反对，何进不听。

## 极简版总结
1. 刘关张投朱儁破张宝
2. 黄巾余党再起被讨平
3. 刘备得授安喜县尉
4. 张飞怒鞭贪婪督邮
5. 刘备挂印弃官离县
6. 十常侍专权乱朝政
7. 孙坚刘虞平乱有功
8. 刘备获赦任平原令
9. 灵帝崩何进立辩为帝
10. 蹇硕被杀董后争权
11. 何进鸩杀董太后
12. 何进召诸侯入京

## 校验报告

### 完整性 (9/10)
评价：三个版本总结覆盖了第二回的主要情节，包括刘关张投朱儁、破张宝、张飞怒鞭督邮、何进谋诛宦官等核心内容。细节版本全面详细，简化版和极简版保留了关键事件。
扣分原因：个别次要但有意义的细节在简化版和极简版中未体现，如皇甫嵩平张角、孙坚率先登城等。

