【标题】
议温明董卓叱丁原　馈金珠李肃说吕布

【详细事件列表】
1. 曹操劝何进不要召外兵，何进不听，暗发密诏召董卓
2. 董卓得诏大喜，点兵二十万向洛阳进发，上表要除十常侍
3. 郑泰、卢植劝何进不要召董卓，何进不听，二人弃官而去
4. 十常侍得知外兵将至，先下手为强，设伏杀害何进
5. 袁绍久等何进不出，见何进首级被掷出，率兵诛杀宦官
6. 张让等劫持少帝和陈留王逃出宫中，卢植救下何太后
7. 张让投河自尽，少帝和陈留王藏于北邙山草丛中
8. 兄弟二人随流萤指引，被崔毅救到庄中
9. 闵贡找到段珪，杀之后来到崔毅庄，接少帝回京
10. 百官接驾途中遇董卓，陈留王质问董卓，董卓下马拜见
11. 董卓见陈留王聪明，已怀废立之意，屯兵城外横行街市
12. 鲍信劝袁绍、王允除董卓，二人犹豫，鲍信投泰山而去
13. 董卓欲废帝立陈留王，李儒建议在温明园召集百官宣布
14. 董卓在温明园提出废立，丁原当面反对，吕布持戟威慑
15. 卢植也反对废立，董卓大怒欲杀，被蔡邕、彭伯劝阻
16. 次日丁原引军搦战，吕布大败董卓军
17. 董卓爱吕布之才，李肃自荐去说降吕布
18. 李肃带赤兔马和金珠玉带去见吕布，以利诱之
19. 吕布见利心动，与李肃约定次日投降
20. 当夜吕布提刀入帐，杀死丁原，率军投董卓

【简要事件列表】
1. 何进召董卓入京，反被十常侍杀害
2. 袁绍诛杀宦官，张让劫少帝出逃
3. 董卓救驾，见陈留王聪明，已怀废立之心
4. 董卓欲废立，丁原反对，吕布助战大败董卓
5. 李肃用赤兔马和金珠说降吕布
6. 吕布杀丁原投董卓，董卓势力大增

【极简事件列表】
1. 何进召董卓被杀，十常侍之乱
2. 董卓救驾得势，欲废立皇帝
3. 吕布杀丁原投董卓
4. 董卓威势更大，准备废立
