【标题】
甘宁百骑劫魏营 左慈掷杯戏曹操

【详细事件列表】
1. 孙权(东吴主公)在濡须口布防，准备迎战曹操(魏国丞相)的四十万大军
2. 凌统(东吴将领)请战三千人去哨探，甘宁(东吴将领)认为只需百骑就够了，两人争执
3. 凌统与张辽(魏国将领)交战五十回合不分胜负，孙权派吕蒙(东吴将领)接应
4. 甘宁请求带一百人劫营，孙权同意并赏赐酒肉
5. 甘宁激励士兵后，半夜带百骑突入曹营，左冲右突，成功杀出无人敢挡
6. 凌统再次出战张辽，曹操派曹休放冷箭射中凌统马匹和乐进(魏国将领)面部
7. 甘宁射箭救了凌统，两人因此结为生死兄弟
8. 曹操分兵五路进攻，董袭(东吴将领)在船上督战时因风暴翻船而死
9. 陈武(东吴将领)与庞德(魏国将领)交战失败被杀
10. 孙权亲自与周泰(东吴将领)出战被围困，许褚(魏国虎卫)冲散孙权军队
11. 周泰多次冲入敌阵救出孙权，后又救出徐盛(东吴将领)，自己身受重伤
12. 陆逊(东吴将领)率军出现击退曹军，夺回大量战马
13. 孙权厚葬阵亡将领，设宴犒劳周泰，赐予青罗伞表彰其功绩
14. 孙权与曹操对峙月余无法取胜，最终选择求和撤军
15. 曹操被群臣拥立为魏王，在邺郡建造王宫
16. 曹操确立长子曹丕(未来皇帝)为王世子，放弃才华横溢的曹植(文学家)
17. 孙权派人送柑子给曹操，途中遇到左慈(神仙方士)帮忙挑担
18. 左慈展示神奇能力，让曹操剖开的柑子都是空壳，自己剖的却有果肉
19. 左慈在宴会上展示各种神通：画龙取肝、催生牡丹、钓鲈鱼、取得紫芽姜
20. 左慈掷杯化白鸠飞走，曹操派人追捕未果，最后左慈复活被斩之人攻击曹操

【简要事件列表】
1. 甘宁率百骑成功劫营，威震曹军
2. 周泰多次冲入敌阵救出孙权和徐盛
3. 孙权与曹操对峙后求和撤军
4. 曹操称王并立曹丕为世子
5. 神仙左慈出场戏弄曹操展示神通
6. 左慈逃脱追捕并复活死者攻击曹操

【极简事件列表】
1. 东吴将领浴血奋战击退魏军
2. 曹操称王确立继承人
3. 神仙左慈戏弄权臣曹操
