# 《三国演义》第七十一回事件列表

## 回目：占对山黄忠逸待劳　据汉水赵云寡胜众

## 详细事件列表（20条）

1. 孔明派法正助黄忠，赵云接应
2. 黄忠法正领兵取定军山
3. 曹操起兵四十万亲征汉中
4. 曹操过蓝田访蔡琰，观曹娥碑
5. 杨修解"黄绢幼妇"隐语
6. 夏侯渊轻躁出战，生擒陈式
7. 黄忠用反客为主计，生擒夏侯尚
8. 黄忠射伤夏侯尚，激怒夏侯渊
9. 法正献计占对山，黄忠夜袭夺山
10. 法正举旗指挥，黄忠以逸待劳
11. 黄忠斩夏侯渊，曹兵大溃
12. 赵云截击张郃，刘封夺定军山
13. 曹操亲统大军报仇，移粮北山
14. 黄忠请命劫粮草，与赵云拈阄
15. 黄忠先往劫粮，被张郃徐晃围困
16. 张著被文聘围困，黄忠危急
17. 赵云午时不到，引兵接应
18. 赵云救黄忠，杀透重围
19. 赵云救张著，空营计退曹兵
20. 曹操再遣大军，徐晃王平进兵

## 简要事件列表（6条）

1. 黄忠法正取定军山，用计斩夏侯渊
2. 曹操亲征报仇，移粮北山脚下
3. 黄忠劫粮被困，赵云接应救援
4. 赵云救黄忠张著，空营计退敌
5. 刘备大胜，赵云号虎威将军
6. 曹操再遣大军，徐晃王平进兵

## 极简事件列表（4条）

1. 黄忠斩夏侯渊，夺取定军山
2. 黄忠劫粮被困，赵云救援成功
3. 赵云空营计退曹操，大获全胜
4. 曹操再派大军，继续争夺汉中

## 关键人物

- **黄忠**：老当益壮，斩夏侯渊立大功
- **赵云**：一身是胆，救黄忠退曹兵
- **夏侯渊**：曹操爱将，轻躁出战被杀
- **法正**：献计夺对山，助黄忠成功
- **曹操**：亲征报仇，屡败于蜀将
- **诸葛亮**：运筹帷幄，安排接应

## 关键地点

- **定军山**：夏侯渊屯兵之所，黄忠夺取
- **对山**：法正建议占据，俯视定军山
- **汉水**：赵云据水退敌之地
- **北山**：曹操屯粮之所，黄忠劫粮
- **蓝田**：蔡琰居所，曹操途经之地
- **米仓山**：曹操粮草转运之地

## 关键物品

- **夏侯渊首级**：黄忠战功证明
- **粮草**：曹操北山屯积，黄忠欲劫
- **曹娥碑**：蔡琰家中古碑，杨修解隐语
- **白旗红旗**：法正指挥信号

## 典故成语

- **以逸待劳**：黄忠占对山战术
- **反客为主**：法正献计之策
- **一身是胆**：刘备赞赵云之语
- **致之死地而后生**：徐晃背水阵引用
- **拈阄**：黄忠赵云决定先后方式

## 精彩对白

1. "某虽老，两臂尚开三石之弓，浑身还有千斤之力：岂不足敌张郃匹夫耶！" ——黄忠
2. "子龙一身都是胆也！" ——刘备
3. "休闭寨门！汝岂不知吾昔在当阳长坂时，单枪匹马，觑曹兵八十三万如草芥！" ——赵云
4. "黄绢乃颜色之丝也：色傍加丝，是绝字。幼妇者，少女也：女傍少字，是妙字。" ——杨修
5. "占了吾对山，观吾虚实，如何不出战？" ——夏侯渊

## 情节特点

1. **老将风采**：黄忠年近七十仍勇冠三军
2. **智勇结合**：法正献计，黄忠执行，完美配合
3. **以少胜多**：赵云寡胜众，显神勇
4. **空营计**：赵云用计退曹操，经典战术
5. **英雄相惜**：黄忠赵云互相救援，显兄弟情深

## 战略意义

1. **夺取汉中**：斩夏侯渊为取汉中奠定基础
2. **鼓舞士气**：老将立功，激励全军
3. **削弱曹操**：曹操损兵折将，势力受损
4. **巩固地位**：刘备在汉中地位更加稳固
5. **彰显人才**：蜀汉人才济济，老将仍有用武之地

## 章回总结

本回通过黄忠斩夏侯渊和赵云救黄忠两个主要战役，展现了蜀汉老将的英勇和智慧。黄忠在法正辅助下，用"以逸待劳"之计斩杀曹操爱将夏侯渊；赵云更是"一身是胆"，在危急时刻救出黄忠，并用空营计大败曹操。此回充分体现了"老骥伏枥，志在千里"的精神，也为刘备最终夺取汉中奠定了重要基础。
