【标题】
治风疾神医身死 传遗命奸雄数终

【详细事件列表】
1. 汉中王刘备(蜀国主公)听说关羽父子被杀，悲痛欲绝昏倒在地
2. 诸葛亮(蜀国丞相)劝刘备节哀，认为关羽刚愎自用才招致祸患
3. 关兴(关羽之子)前来报丧，刘备再次痛哭昏倒
4. 刘备连续多日痛哭，不进饮食，泪血斑斑
5. 诸葛亮分析东吴将关羽首级献给曹操是想嫁祸，曹操厚葬关羽是为让刘备怨恨东吴
6. 刘备决心讨伐东吴报仇，但被诸葛亮劝阻，建议等待吴魏不和时再行动
7. 曹操(魏国丞相)在洛阳每夜梦见关羽，十分惊惧
8. 众官建议曹操建造新宫殿，曹操欲建建始殿但缺少栋梁之材
9. 工匠苏越推荐跃龙祠旁的大梨树作栋梁，曹操亲自前往砍伐
10. 神树锯解不开斧砍不入，乡老劝阻说树有神灵居住
11. 曹操不信邪亲自砍树，溅血满身，当晚被梨树神托梦警告
12. 曹操头痛难忍，遍求良医不得治愈
13. 华歆(魏国大臣)推荐神医华佗，介绍其神奇医术
14. 曹操召华佗入宫诊治，华佗说要开颅取风涎才能根治
15. 曹操怀疑华佗要害他，认为是为关羽报仇，将华佗下狱拷问
16. 华佗在狱中将《青囊书》托付给吴押狱，希望传承医术
17. 华佗死后，吴押狱妻子烧毁《青囊书》，只留下一两页
18. 曹操病势加重，收到孙权称臣的书信，但拒绝称帝
19. 曹操封孙权为骠骑将军、南昌侯、荆州牧
20. 曹操梦见三马同槽，又见伏皇后等人索命，头痛加剧

【简要事件列表】
1. 刘备闻关羽死讯悲痛欲绝
2. 诸葛亮劝阻刘备暂不伐吴
3. 曹操砍神树遭报应病重
4. 华佗建议开颅治病被曹操怀疑下狱而死
5. 《青囊书》被焚毁失传
6. 曹操拒绝称帝但封孙权官职

【极简事件列表】
1. 关羽之死引发刘备悲痛
2. 曹操砍神树遭报应病重
3. 神医华佗被曹操杀害
