【标题】
难张温秦宓逞天辩 破曹丕徐盛用火攻

【详细事件列表】
1. 东吴陆逊退魏兵后被拜为辅国将军，军权归于逊
2. 魏主曹丕遣使至东吴，欲联吴伐蜀，孙权不能决
3. 陆逊建议暂且应允，观察四路如何
4. 孙权得知四路兵败消息，知陆逊神算
5. 蜀遣邓芝至东吴，张昭设计欲烹杀邓芝
6. 邓芝面对油鼎毫无惧色，以理说服孙权
7. 孙权以上宾之礼待邓芝，愿与蜀连和
8. 张温自荐为使入蜀，孙权重赏并派其与邓芝入川
9. 诸葛亮预料吴必有人来答礼，可通盟好
10. 张温至蜀，见后主施礼，后主赐宴待之
11. 秦宓酒席间与张温辩论天事，对答如流
12. 张温被秦宓辩倒，承认蜀中多出俊杰
13. 诸葛亮派邓芝入吴答礼，与张温同行
14. 孙权设宴待邓芝，邓芝阐述吴蜀连和之利
15. 孙权厚赠邓芝还蜀，自此吴蜀通好
16. 曹丕得知吴蜀连和大怒，欲起兵伐吴
17. 辛毗劝谏养兵屯田十年再用兵，曹丕不听
18. 曹丕造龙舟战船，起兵三十余万伐吴
19. 东吴细作报魏兵来犯，孙权聚文武商议
20. 徐盛请缨守江南一带，孙权封其为安东将军

【简要事件列表】
1. 邓芝使吴舌战群臣
2. 秦宓酒席辩难张温
3. 吴蜀达成联盟协议
4. 曹丕起兵伐吴
5. 徐盛受命守江南
6. 孙韶违令渡江

【极简事件列表】
1. 邓芝使吴成功
2. 吴蜀联盟建立
3. 魏兵大举伐吴
