【标题】
征南寇丞相大兴师 抗天兵蛮王初受执

【详细事件列表】
1. 诸葛亮在成都事无大小亲自决断，两川太平繁荣
2. 益州飞报蛮王孟获起兵十万犯境，雍闿等结连造反
3. 诸葛亮请缨亲征南蛮，后主担心吴魏来攻
4. 诸葛亮安排李严守白帝城，关兴、张苞为救应
5. 王连谏议大夫劝阻诸葛亮不要亲征，孔明不从
6. 诸葛亮令蒋琬、费祎等为参军长史，赵云、魏延为大将
7. 关羽第三子关索投军见诸葛亮，愿为前部先锋
8. 诸葛亮统军五十万前望益州进发
9. 高定令鄂焕为前部先锋迎敌，与魏延交战被生擒
10. 诸葛亮以酒食待鄂焕，放其回去劝降高定
11. 雍闿怀疑高定与诸葛亮有勾结，两人产生嫌隙
12. 诸葛亮用反间计，故意认作雍闿之人，使其互相猜疑
13. 高定设计请雍闿赴宴，鄂焕埋伏杀雍闿献首级
14. 高定引军降诸葛亮，献雍闿首级
15. 诸葛亮怀疑高定诈降，令其擒朱褒来表真心
16. 高定杀朱褒献首级投降，三路军马已平
17. 永昌太守王伉迎接诸葛亮，推荐吕凯献《平蛮指掌图》
18. 马谡奉诏来赐酒帛，诸葛亮请教破蛮之策
19. 马谡建议"攻心为上，攻城为下"，孔明赞赏
20. 孟获聚三洞元帅分兵三路迎敌

【简要事件列表】
1. 诸葛亮亲征南蛮
2. 用计分化雍闿、高定、朱褒
3. 吕凯献《平蛮指掌图》
4. 马谡建议攻心为上
5. 孟获分兵三路迎战
6. 赵云、魏延深入敌后

【极简事件列表】
1. 诸葛亮南征开始
2. 巧计平定三路叛军
3. 孟获兵分三路迎敌
