【标题】
渡泸水再缚番王 识诈降三擒孟获

【详细事件列表】
1. 诸葛亮释放孟获，众将不解，孔明说要降伏其心
2. 孟获回到泸水，聚集十余万蛮兵，依泸水之险筑土城防守
3. 诸葛亮大军至泸水，见无船筏且水势甚急，天气炎热
4. 诸葛亮令军士依山傍树扎寨避暑，派吕凯分作四个寨子
5. 蒋琬担心寨子地势不好，孔明自有妙算
6. 马岱解暑药粮米到，孔明令其断蛮军粮道
7. 马岱渡泸水时士兵中毒而死，土人告知需夜静水冷时渡水
8. 马岱半夜成功渡水，占夹山峪断蛮军粮道
9. 孟获以为蜀军必死于水中，不设防备，饮酒取乐
10. 蛮兵报马岱断粮道，孟获派忙牙长迎敌被马岱斩杀
11. 董荼那出战不敌，孟获怒斥其卖阵，责打一百大棍
12. 董荼那等受孔明恩惠，决定生擒孟获投奔诸葛亮
13. 董荼那趁孟获大醉入帐，与二将一起擒获孟获
14. 孔明再次释放孟获，孟获不服说手下自相残害
15. 孔明带孟获观看营寨粮草军器，劝其早降
16. 孟获假意投降，回寨后杀董荼那、阿会喃灭口
17. 孟获令弟孟优带宝贝诈降孔明，欲里应外合
18. 孔明识破诈降计，令马谡、吕凯等人设宴款待，酒中下药
19. 孟获引三万蛮兵分三队夜袭蜀寨，中计被围
20. 马岱、魏延、赵云三路夹攻，马岱扮蛮兵诱擒孟获

【简要事件列表】
1. 诸葛亮巧渡泸水断敌粮道
2. 董荼那等受恩生擒孟获
3. 孔明三擒孟获仍释放
4. 孟获诈降被孔明识破
5. 蜀军设伏全歼蛮兵
6. 马岱扮蛮兵擒获孟获

【极简事件列表】
1. 蜀军巧渡泸水成功
2. 蛮将反叛擒获孟获
3. 诸葛亮三擒三纵
