【标题】
祭泸水汉相班师 伐中原武侯上表

【详细事件列表】
1. 孔明班师回国，孟获率众相送至泸水
2. 泸水阴风大起，波涛汹涌，土人说是猖神作祸
3. 孔明决定亲自祭泸水，不用杀人祭祀
4. 孔明制作馒头代替人头，设香案祭物祭奠亡魂
5. 孔明读祭文痛哭，感动三军，鬼魂随风而散
6. 次日风静浪平，蜀兵安然渡泸水
7. 孔明留王伉、吕凯守四郡，嘱咐孟获勤政爱民
8. 孔明引大军回成都，后主出郭三十里迎接
9. 孔明自责未能速平南方，后主扶起并设宴庆贺
10. 远邦进贡来朝者二百余处，蜀中朝野清平
11. 曹丕病重，召曹真、陈群、司马懿三人入寝宫托孤
12. 曹丕立曹睿为平原王，不久病逝，在位七年
13. 曹真、陈群、司马懿等拥立曹睿为大魏皇帝
14. 曹睿封司马懿为骠骑大将军，督雍、凉等处兵马
15. 细作报司马懿督雍、凉兵马，孔明认为是蜀中大患
16. 马谡献计散布司马懿欲反流言，使其被贬
17. 邺城贴出司马懿告示天下榜文，曹睿大惊
18. 华歆、王朗奏请杀司马懿，曹真劝阻
19. 曹睿用伪游云梦之计试探，司马懿请兵先破蜀后伐吴
20. 曹睿削司马懿职回乡，孔明闻之大喜

【简要事件列表】
1. 孔明祭泸水班师回朝
2. 后主出城迎接设宴庆贺
3. 曹丕病逝曹睿即位
4. 司马懿被贬回乡
5. 孔明上《出师表》北伐
6. 赵云请为前部先锋
7. 夏侯楙请缨迎敌蜀军

【极简事件列表】
1. 诸葛亮班师回朝
2. 曹魏皇帝更替
3. 司马懿遭贬
4. 诸葛亮北伐中原
