【标题】
姜伯约归降孔明 武乡侯骂死王朝

【详细事件列表】
1. 姜维献计马遵伏兵郡后赚蜀兵出城，乘虚袭之
2. 孔明遣赵云引兵埋伏，只待天水人马离城便乘虚袭击
3. 赵云引兵至天水城下叫战，姜维出马与赵云交战
4. 马遵、梁虔引军杀回，赵云首尾不能相顾，被姜维击败
5. 孔明得知姜维之名，惊叹其为真将才，决定取天水
6. 姜维回见马遵，分兵四路埋伏准备迎敌
7. 孔明大军至天水城下，见城上旗帜整齐未敢轻攻
8. 半夜四下火光冲天，姜维兵到，蜀兵乱窜，孔明杀出重围
9. 孔明问安定人姜维母所在，得知在冀县，令魏延诈取冀县
10. 孔明教赵云引军攻上邽，自离城三十里下寨
11. 姜维闻蜀兵分三路，乞兵往救冀城兼保老母
12. 夏侯楙脱身寻路，遇百姓言姜维已降蜀，天水城中乃马遵
13. 夏侯楙至天水城下叫门，马遵开门迎接
14. 姜维在城下叫夏侯楙答话，言其降蜀加为上将不回魏
15. 孔明令部卒假扮姜维攻城，夏侯楙不辨真伪
16. 孔明引兵攻冀城，姜维出城劫粮被魏延袭了城池
17. 姜维夺路归天水城，城上乱箭射下不纳
18. 姜维奔上邽城，梁虔乱箭射下，维仰天长叹
19. 关兴截住姜维去路，孔明小车转出劝降
20. 姜维无路可走，下马投降孔明

【简要事件列表】
1. 姜维巧设计败赵云
2. 孔明识才欲得姜维
3. 姜维保母出城求救
4. 孔明巧计赚取三城
5. 姜维走投无路降蜀
6. 王朗阵前被骂而死

【极简事件列表】
1. 姜维初显将才
2. 孔明智取三城
3. 姜维归降蜀汉
