【标题】
孔明挥泪斩马谡 周鲂断发赚曹休

【详细事件列表】
1. 尚书孙资献计分兵据守险要，养精蓄锐待吴蜀自相残害
2. 司马懿分拨诸将守险要，留郭淮、张郃守长安
3. 孔明回到汉中，赵云、邓芝无损归来受赏
4. 王平入帐请罪，详述马谡不听劝谏失街亭经过
5. 马谡自缚请罪，孔明变色责其违命失地陷城
6. 马谡求丞相思舜帝殛鲧用禹之义，孔明挥泪斩之
7. 蒋琬求情，孔明以孙武用法明为例坚持斩谡
8. 孔明亲作祭文享祀马谡，加意抚恤其家小
9. 孔明自作表文请贬丞相之职，后主诏贬为右将军
10. 孔明在汉中惜军爱民，励兵讲武预备后图
11. 魏主曹睿召司马懿商议收川，懿荐郝昭守陈仓道口
12. 扬州司马曹休上表说东吴鄱阳太守周鲂愿降
13. 建威将军贾逵进言周鲂必是诈降诱兵
14. 孙权召陆逊统兵迎敌，封为辅国大将军
15. 陆逊令朱桓、全琮分兵迎三路魏军
16. 朱桓献策伏兵夹石挂车二路擒曹休
17. 周鲂见曹休，割发掷地表忠心
18. 贾逵劝曹休不可轻进，被削兵权
19. 曹休率军赴石亭驻扎，哨马报吴兵据山口
20. 陆逊令朱桓、全琮抄到魏寨后放火为号

【简要事件列表】
1. 孔明挥泪斩马谡
2. 自贬丞相之职
3. 司马懿荐将守陈仓
4. 周鲂诈降曹休
5. 陆逊调兵遣将
6. 朱桓全琮设伏
7. 曹休中计深入

【极简事件列表】
1. 斩马谡明军法
2. 周鲂诈降成功
3. 陆逊设伏待敌
