【标题】
出陇上诸葛妆神 奔剑阁张郃中计

【详细事件列表】
1. 孔明用减兵添灶之法退兵到汉中，司马懿恐有埋伏不敢追赶
2. 孔明回成都见后主，查明被召回原因，诛戮妄奏宦官
3. 孔明接受杨仪建议，分兵两班轮换制，再次出师伐魏
4. 司马懿大会诸路人马计议破蜀兵之策，令张郃为先锋总督大军
5. 孔明兵至祁山，因军粮不足决定割陇上小麦
6. 孔明用"妆神"之计，三辆四轮车迷惑司马懿，使其惊惧退入上邽
7. 孔明成功割尽陇上小麦，运回卤城打晒
8. 司马懿与郭淮合兵夜攻卤城，中孔明埋伏大败而归
9. 孔明以信为本，坚持让换班士兵回家，士兵感念恩德主动留下作战
10. 孔明得知东吴可能犯蜀，决定退兵回汉中
11. 孔明在木门道设伏，准备对付可能的追兵
12. 司马懿见蜀兵退去起初不敢追击，但张郃坚持请战
13. 张郃不听司马懿劝阻，执意引兵追赶蜀军
14. 魏延、关兴轮流诱敌，张郃中计深入木门道
15. 蜀军发动伏击，万弩齐发射杀张郃及其百余部将
16. 张郃死于木门道中，魏军追兵急退
17. 孔明在山上宣告胜利，司马懿闻知张郃死讯悲伤不已，引军回洛阳
18. 孔明回汉中后欲归成都，发现李严谎报军情，大怒
19. 孔明处理李严事件，将其贬为庶人流放梓潼郡
20. 孔明回成都后休养生息三年，然后再次准备北伐

【简要事件列表】
1. 孔明用减兵添灶之法退兵到汉中，司马懿不敢追赶
2. 孔明分兵两班轮换出师，以三个月为期循环相转
3. 司马懿令张郃为先锋总督大军，郭淮守陇西诸郡
4. 孔明兵至祁山知司马懿在渭滨提备决定割陇上小麦
5. 孔明妆神吓退魏兵，张郃中计被射死于木门道

【极简事件列表】
1. 孔明退兵汉中用减兵添灶之法
2. 孔明分兵两班轮换出师
3. 孔明妆神割麦吓退魏兵
4. 张郃中计死于木门道
