【标题】
司马懿占北原渭桥 诸葛亮造木牛流马

【详细事件列表】
1. 谯周官居太史颇明天文见孔明又欲出师乃奏后主曰近有群鸟数万自南飞来投于汉水而死此不祥之兆
2. 谯周又观天象见奎星躔于太白之分盛气在北不利伐魏又成都人民皆闻柏树夜哭有此数般灾异丞相只宜谨守不可妄动
3. 孔明曰吾受先帝托孤之重当竭力讨贼岂可以虚妄之灾氛而废国家大事耶遂命有司设太牢祭于昭烈之庙涕泣拜告
4. 孔明誓竭力尽心剿灭汉贼恢复中原鞠躬尽瘁死而后已祭毕拜辞后主星夜至汉中聚集诸将商议出师
5. 忽报关兴病亡孔明放声大哭昏倒于地半晌方苏众将再三劝解孔明叹曰可怜忠义之人天不与以寿我今番出师又少一员大将也
6. 孔明引蜀兵三十四万分五路而进令姜维魏延为先锋皆出祁山取齐令李恢先运粮草于斜谷道口伺候
7. 魏国因旧岁有青龙自摩坡井内而出改为青龙元年此时乃青龙二年春二月也近臣奏曰边官飞报蜀兵三十余万分五路复出祁山
8. 魏主曹睿大惊急召司马懿至谓曰蜀人三年不曾入寇今诸葛亮又出祁山如之奈何懿奏曰臣夜观天象见中原旺气正盛奎星犯太白不利于西川
9. 司马懿保夏侯渊四子夏侯霸夏侯威为左右先锋夏侯惠夏侯和为行军司马共赞军机以退蜀兵
10. 曹睿即命司马懿为大都督凡将士悉听量才委用各处兵马皆听调遣懿受命辞朝出城睿又以手诏赐懿曰卿到渭滨宜坚壁固守勿与交锋
11. 司马懿即日到长安聚集各处军马共四十万皆来渭滨下寨又拨五万军于渭水上搭起九座浮桥令先锋夏侯霸夏侯威过渭水安营
12. 司马懿又于大营之后东原筑起一城以防不虞懿正与众将商议间忽报郭淮孙礼来见淮曰今蜀兵现在祁山倘跨渭登原接连北山阻绝陇道大可虞也
13. 司马懿曰所言甚善公可就总督陇西军马据北原下寨深沟高垒按兵休动只待彼兵粮尽方可攻之郭淮孙礼领命引兵下寨去了
14. 孔明复出祁山下五个大寨按左右中前后自斜谷直至剑阁一连又下十四个大寨分屯军马以为久计每日令人巡哨
15. 忽报郭淮孙礼领陇西之兵于北原下寨孔明谓诸将曰魏兵于北原安营者惧吾取此路阻绝陇道也吾今虚攻北原却暗取渭滨
16. 孔明令人扎木筏百余只上载草把选惯熟水手五千人驾之我夤夜只攻北原司马懿必引兵来救彼若少败我把后军先渡过岸去然后把前军下于筏中
17. 孔明又令魏延马岱引兵渡渭水攻北原令吴班吴懿引木筏兵去烧浮桥令王平张嶷为前队姜维马忠为中队廖化张翼为后队兵分三路去攻渭水旱营
18. 孙礼哨见魏延马岱将近北原天色已昏便弃营而走魏延知有准备急退军时四下喊声大震左有司马懿右有郭淮两路兵杀来
19. 魏延马岱奋力杀出蜀兵多半落于水中余众奔逃无路幸得吴懿兵杀来救了败兵过岸拒住吴班分一半兵撑筏顺水来烧浮桥却被张虎乐綝在岸上乱箭射住
20. 吴班中箭落水而死余军跳水逃命木筏尽被魏兵夺去此时王平张嶷不知北原兵败直奔到魏营已有二更天气只听得喊声四起

【简要事件列表】
1. 谯周劝阻孔明出师孔明不听设祭昭烈庙誓师出征忽闻关兴病亡悲痛不已
2. 孔明引蜀兵三十四万分五路进攻祁山司马懿受命为大都督率四十万军迎敌
3. 司马懿在渭滨下寨搭浮桥筑城防备又令郭淮孙礼据北原下寨以防蜀兵
4. 孔明设计夺取渭水浮桥失败魏延马岱吴班等将领折损甚重
5. 孔明制造木牛流马运输粮草司马懿仿制并设计夺取却被孔明将计就计

【极简事件列表】
1. 孔明五出祁山伐魏
2. 司马懿率军迎敌
3. 孔明攻渭桥失败
4. 孔明造木牛流马运粮
