【标题】
上方谷司马受困 五丈原诸葛禳星

【详细事件列表】
1. 司马懿被张翼、廖化击败后逃脱，廖化夺得金盔献功，魏延因未得头功心生不满
2. 东吴三路伐魏，曹睿亲率大军迎敌，满宠设计火烧吴军水寨获胜，诸葛瑾败退沔口
3. 陆逊见计谋泄露，施计缓缓撤军，假装进攻襄阳实则准备退回江东，成功骗过魏军
4. 曹睿得知吴军撤退，听从建议不追击，东吴三路兵马安全退回，魏主感叹陆逊用兵如孙吴
5. 孔明在祁山欲作长久打算，令蜀兵与魏民杂处屯田，司马师建议决战被司马懿拒绝
6. 魏延带金盔到魏寨骂战挑衅，司马懿坚守不出，孔明密令马岱在葫芦谷布置火攻陷阱
7. 孔明安排魏延诱敌深入葫芦谷，令高翔驱木牛流马诱魏军抢劫，准备火攻司马懿
8. 夏侯惠、夏侯和建议趁蜀军屯田时出击，司马懿虽疑为计但仍派二人出战
9. 夏侯兄弟屡次获胜，擒获蜀兵后释放以示宽厚，司马懿得知孔明在上方谷后设计反击
10. 司马懿佯攻祁山大寨，实则引兵直取上方谷烧蜀军粮草，中了孔明诱敌之计
11. 魏延引司马懿进入葫芦谷后撤入谷中，司马懿追入后谷口被烧断，陷入绝境
12. 蜀军放火焚烧葫芦谷，干柴地雷齐发，火势冲天，司马懿以为必死抱住二子大哭
13. 忽然狂风暴雨骤降，满谷大火被浇灭，司马懿趁机突围逃回渭南大寨
14. 孔明见上方谷火攻失败，感叹"谋事在人，成事在天"，知司马懿已逃脱
15. 司马懿失了渭南营寨，下令坚守不出，诸将再言出战者斩，郭淮报告孔明屯五丈原
16. 孔明多次搦战魏军不出，乃送巾帼妇人衣物羞辱司马懿，欲激其出战
17. 司马懿佯装大怒实则接受衣物，询问孔明寝食情况，得知其食少事烦判断其寿命不长
18. 司马懿众将不甘受辱请战，司马懿上表请求出战，实则想借魏主之命压制众将
19. 曹睿识破司马懿用心，派辛毗持节传旨禁止出战，司马懿暗赞辛毗知其心意
20. 孔明知司马懿用意，告知姜维此乃安定军心之法，非真心请战

【简要事件列表】
1. 东吴三路伐魏被满宠火烧水寨击败，陆逊施计安全撤军
2. 孔明设计诱司马懿入葫芦谷，上方谷火攻几乎成功但因天降大雨而失败
3. 孔明送巾帼衣物羞辱司马懿，司马懿将计就计稳定军心
4. 司马懿上表请战实则借魏主旨意压制众将，最终仍坚守不出
5. 孔明知天命将尽，移寨五丈原开始禳星求寿
6. 司马懿观天文知孔明将死，派夏侯霸哨探蜀营动静

【极简事件列表】
1. 上方谷火攻司马懿几近成功但因天雨失败
2. 孔明送巾帼羞辱司马懿反被其利用稳军心
3. 孔明移寨五丈原观天文知将星欲坠
4. 孔明禳星求寿至第六夜主灯被魏延扑灭
