【标题】
陨大星汉丞相归天 见木像魏都督丧胆

【详细事件列表】
1. 孔明临终前安排后事，嘱咐姜维继承兵法，将连弩之法传授给他，并特别叮嘱阴平之地需仔细防守
2. 孔明召马岱授以密计，又召杨仪交代斩魏延之事，告知魏延必反，届时可开锦囊自有斩魏延之人
3. 尚书李福奉后主之命问安并询问后事，孔明推荐蒋琬、费祎可继重任，写遗表表达忠诚
4. 孔明强撑病体巡视各营后病情加重，交代杨仪退军安排：缓缓退兵、令忠义之士委以重任、不可发丧等
5. 孔明手书遗表上奏后主，表明自己一生清廉无私，死后不使内有余帛外有赢财
6. 孔明传授退军密计：将尸身坐于龛中口含米粒脚点明灯、令将星不坠、司马懿必惊疑、推出木像安于车上可吓退敌军
7. 孔明仰观北斗见将星昏暗摇摇欲坠，以剑指之口中念咒后昏然归天，时年五十四岁
8. 姜维、杨仪遵孔明遗命不敢举哀，依法成殓安置龛中，令心腹将卒守护，各营寨缓缓退去
9. 司马懿夜观天文见大星坠落于蜀营，惊喜认为孔明已死，但又怀疑是诈死诱敌，只派夏侯霸暗中探查
10. 魏延梦见头上生二角请赵直解梦，赵直表面说是吉兆实际认为是凶兆，费祎告知孔明已逝并传达遗令
11. 魏延不服杨仪安排，认为自己官职高于杨仪不应断后，欲自率大军攻司马懿，令费祎游说杨仪让权
12. 杨仪告知费祎这是试探魏延，实则依孔明遗令行事，领兵扶柩先行令姜维断后，依遗令徐徐退军
13. 魏延不见费祎回复心生疑惑，令马岱探查得知杨仪已领军先行，怒斥杨仪欺他，决心起兵讨伐
14. 夏侯霸探知蜀兵退尽回报司马懿，司马懿确认孔明真死后引兵追击，到蜀寨中果无一人
15. 司马懿追到山脚下遭遇埋伏，蜀军回旗返鼓推出孔明木像，司马懿见之大惊以为孔明未死，急忙勒马逃走
16. 姜维大叫揭露是丞相遗计，魏军魂飞魄散弃甲丢盔自相践踏，司马懿奔走五十余里才敢停下
17. 两日后乡民报告孔明已死真相，车上乃木人，蜀军已更衣发丧扬幡举哀，死者众多
18. 司马懿确认孔明死讯后引兵追赶，到赤岸坡见蜀兵已远才返回，感叹"死诸葛能走生仲达"
19. 杨仪、姜维退入栈阁道口后发丧，蜀军哭声震天，至有哭死者
20. 蜀军前队回栈阁道口时遭遇一彪军拦路，不知来者何人

【简要事件列表】
1. 诸葛亮临终安排后事，传授兵法给姜维，交代退军密计后病逝五丈原
2. 孔明遗命不可发丧，安排杨仪领军缓缓退兵，令姜维断后
3. 司马懿追击蜀军时遭遇孔明木像埋伏，被吓得狼狈逃窜
4. 魏延不服杨仪安排起兵叛乱，杨仪依孔明遗计准备应对
5. 蜀军正式发丧，哭声震天，司马懿确认孔明死讯后班师回朝
6. 杨仪、姜维退军途中遭遇不明军马拦截

【极简事件列表】
1. 诸葛亮病逝五丈原，安排身后事
2. 孔明遗计吓退司马懿追兵
3. 魏延不服杨仪起兵叛乱
4. 蜀军发丧退入栈阁道遭遇拦截
