【标题】
武侯预伏锦囊计 魏主拆取承露盘

【详细事件列表】
1. 杨仪得知魏延烧绝栈道阻断归路，与费祎商议对策，决定表奏天子说明魏延反情，同时抄小路进发
2. 后主刘禅梦见锦屏山崩倒，谯周解释为孔明有大凶之事，正惊疑间李福奏报孔明已亡
3. 魏延表奏杨仪造反，后主疑惑为何烧绝栈道，吴太后提醒先帝曾言孔明识魏延脑后有反骨
4. 杨仪紧急表奏说明魏延不遵遗命、自提本部人马、放火烧断栈道、劫丞相灵车等反情
5. 蒋琬、董允等大臣为杨仪辩护，认为魏延恃功务高常有不平之心，杨仪必非背反之人
6. 魏延与杨仪接连上表互相指责，费祎到后详细奏明魏延反情，后主命董允假节安抚
7. 魏延屯兵南谷自以为得计，不料杨仪、姜维抄小路引兵抄到南谷之后
8. 何平引兵到南谷搦战，魏延怒而出战，何平诈败而走，魏延追赶时众军散去大半
9. 魏延收聚残军与马岱商议投魏，马岱劝其自图霸业先取汉中再攻西川，魏延大喜同意
10. 魏延与马岱引兵直取南郑，姜维坚守城池，请杨仪商议退敌之策
11. 杨仪取出孔明遗下锦囊，见题曰"待与魏延对敌，马上方许拆开"，依计而行
12. 杨仪依锦囊计策，当阵对魏延喊话激将，魏延大叫"谁敢杀我"，马岱应声而出斩之
13. 原来孔明临终授马岱密计，只待魏延喊叫时便出其不意斩之，杨仪依计成功
14. 后主降旨名正魏延之罪但仍念前功赐棺椁葬之，杨仪扶孔明灵柩到成都安葬
15. 后主亲自出城二十里迎接孔明灵柩，文武官僚及百姓皆挂孝痛哭，哀声震地
16. 杨仪自缚请罪，后主嘉奖其依丞相遗教保全大事之功，加为中军师，马岱因功封爵
17. 后主依孔明遗言安葬定军山，不用墙垣砖石祭物，建庙沔阳四时享祭，谥号忠武侯
18. 宗预奉命出使东吴报丧，孙权解释增兵巴丘为防魏人乘虚而入，折箭为誓不背盟约
19. 后主依孔明遗言加蒋琬、费祎、吴懿、姜维等官职，杨仪因怨言被密奏，后主欲斩之
20. 蒋琬求情废杨仪为庶人，杨仪羞惭自刎而死；曹睿大兴土木建承露盘求长生，拆取长安铜人

【简要事件列表】
1. 魏延烧绝栈道叛乱，杨仪依孔明遗计成功斩杀魏延
2. 后主处理魏延事件，依孔明遗言加封重臣，杨仪因怨言被贬自杀
3. 孔明灵柩运回成都隆重安葬，宗预出使东吴维护吴蜀同盟
4. 曹睿大兴土木建承露盘求长生不老，拆取长安铜人，不顾群臣劝谏
5. 毛皇后因触怒曹睿被赐死，毋丘俭报称公孙渊造反

【极简事件列表】
1. 杨仪依孔明遗计杀魏延
2. 孔明葬于定军山，宗预使吴
3. 杨仪被贬自杀，曹睿建承露盘
4. 毛皇后被赐死，公孙渊造反
