【标题】
公孙渊兵败死襄平 司马懿诈病赚曹爽

【详细事件列表】
1. 公孙渊乃辽东公孙度之孙，夺其叔公孙恭之位，曹睿封其为扬烈将军、辽东太守
2. 孙权遣张弥、许晏赍金珠珍玉赴辽东封渊为燕王，渊惧中原斩二人送首与曹睿
3. 曹睿封渊为大司马、乐浪公，渊心不足自号燕王，改元绍汉元年
4. 副将贾范、参军伦直谏渊不可背反，渊大怒斩之，令大将军卑衍为元帅起兵十五万杀奔中原
5. 边官报知魏主曹睿，睿召司马懿入朝计议，懿请命兴师征讨公孙渊
6. 司马懿令胡遵为先锋引前部兵到辽东下寨，公孙渊令卑衍、杨祚分八万兵屯于辽隧围堑二十余里
7. 司马懿识破公孙渊围堑是欲老魏兵，决定弃辽隧径奔襄平，趁其巢穴空虚击之
8. 卑衍、杨祚商议欲待魏兵粮尽退时击之，忽报魏兵南去，恐襄平有失遂拔寨随后追赶
9. 司马懿设伏兵于辽水之滨，夏侯霸、夏侯威两下齐出，大败辽兵，斩卑衍，公孙渊败入襄平城
10. 时值秋雨连绵一月不止，平地水深三尺，魏兵皆在水中行坐不安，左都督裴景请移营被斩
11. 司马懿解释不移营之理：贼饥我饱，放开一条路容彼自走，然后乘机击之
12. 司马懿遣人赴洛阳催粮，魏主曹睿不听众臣劝谏，坚持支持司马懿用兵
13. 雨止天晴夜，司马懿仰观天文见大星坠于襄平东南，预言五日之后必斩公孙渊
14. 魏兵四面围合日夜攻打，公孙渊城中粮尽宰牛马为食，人人怨恨欲斩渊首献城归降
15. 公孙渊慌令相国王建、御史大夫柳甫请降，司马懿怒斩二人，又斩侍中卫演
16. 公孙渊选一千人马夜走东南，被司马懿父子及胡遵、夏侯兄弟等四面围得铁桶相似
17. 公孙渊父子下马纳降被斩，司马懿勒兵取襄平，将公孙渊宗族同谋官僚俱杀之，计首级七十余颗
18. 司马懿出榜安民，封贾范、伦直之墓荣其子孙，赏劳三军班师回洛阳
19. 魏主曹睿病重，召司马懿还朝托孤，执懿手嘱咐辅佐幼子曹芳，言讫而卒，在位十三年寿三十六岁
20. 太子曹芳即皇帝位，改元正始元年，司马懿与曹爽辅政，爽事懿甚谨

【简要事件列表】
1. 公孙渊自立为燕王造反，司马懿受命征讨
2. 司马懿巧设奇兵，弃辽隧径取襄平，大败公孙渊军队
3. 司马懿围困襄平城，斩杀请降使者，最终生擒公孙渊父子并处死
4. 魏明帝曹睿病重托孤司马懿，幼主曹芳即位，司马懿与曹爽辅政
5. 司马懿诈病麻痹曹爽，曹爽开始专权，任用心腹掌控朝政

【极简事件列表】
1. 司马懿平定公孙渊叛乱，斩杀公孙渊父子
2. 魏明帝托孤司马懿，曹芳即位
3. 司马懿诈病赚曹爽，曹爽开始专权
