【标题】
困司马汉将奇谋 废曹芳魏家果报

【详细事件列表】
1. 蜀汉延熙十六年秋，姜维起兵二十万伐魏，令廖化、张翼为左右先锋，夏侯霸为参谋
2. 姜维与夏侯霸商议先取南安为本，遣郤正为使结好羌王，羌王迷当起兵五万令俄何烧戈为先锋
3. 魏左将军郭淮飞奏洛阳，司马师令徐质为先锋、司马昭为大都督领兵望陇西进发
4. 徐质出马挑战，廖化、张翼先后败回，徐质驱兵掩杀蜀兵大败退三十余里
5. 姜维与夏侯霸商议用诈败埋伏之计擒徐质，令军士撒下铁蒺藜排鹿角示以久计
6. 司马昭闻蜀兵在铁笼山后运粮，令徐质引兵五千断其粮道，徐质中计被围
7. 徐质奋死只身而走，被姜维一枪刺倒座下马，众军乱刀砍死，所分押粮兵亦被夏侯霸擒降
8. 夏侯霸令降兵穿魏衣甲打着魏军旗号从小路径奔回魏寨，蜀兵就寨中杀起
9. 司马昭慌忙上马走时被廖化杀来，急退时姜维引兵从小路杀到，昭只得上铁笼山据守
10. 山上惟有一泉止够百人之饮，昭手下六千人泉水不敷人马枯渴，昭仰天长叹将死于此
11. 主簿王韬建议效耿恭拜井得甘泉，昭再拜祝天后果泉水涌出取之不竭，人马不死
12. 郭淮欲提兵救司马昭，陈泰建议诈降羌人于中取事，遂令陈泰引兵径到羌王寨内诈降
13. 陈泰与俄何烧戈劫魏寨时中计跌入陷坑，郭淮从左边杀来，羌兵大乱自相践踏
14. 俄何烧戈自刎而死，郭淮、陈泰引兵杀到羌人寨中，迷当被生擒活捉来见郭淮
15. 郭淮说迷当去解铁笼山之围，迷当引羌兵在前魏兵在后径奔铁笼山
16. 姜维教请迷当入相见，魏将从背后杀将起来，蜀兵四分五落各自逃生
17. 姜维手无器械腰间只有一副弓箭，望山中而走时被郭淮引兵赶来
18. 维虚拽弓弦连响十余次，淮知其无箭乃拈弓搭箭射之，维急闪过顺手接箭射中淮面门
19. 淮应弦落马，维勒回马杀郭淮时魏军骤至，维只掣得淮枪而去，淮血流不止而死
20. 司马昭下山引兵追赶半途而回，夏侯霸逃至与姜维一齐奔走，维自回汉中

【简要事件列表】
1. 姜维联合羌兵伐魏，用计大败魏军，射死魏将郭淮，杀死徐质
2. 司马昭被围困于铁笼山，几乎被困死，后得泉水涌出才得以生存
3. 郭淮用计诈降羌兵，反被姜维击败，羌王迷当被擒
4. 姜维虽最终退兵回汉中，但射死郭淮杀死徐质，挫动魏国之威
5. 曹芳密谋除掉司马师被发现，司马师废黜曹芳另立曹髦为帝

【极简事件列表】
1. 姜维伐魏射死郭淮杀死徐质
2. 司马昭被困铁笼山几乎丧命
3. 郭淮诈降羌兵反被击败
4. 司马师废黜曹芳立曹髦为帝
