【标题】
救寿春于诠死节 取长城伯约鏖兵

【详细事件列表】
1. 司马昭闻诸葛诞会合吴兵前来决战，召裴秀、钟会商议破敌之策，钟会建议以利诱之
2. 司马昭令石苞、州泰在石头城埋伏，王基、陈骞领精兵在后，偏将成倅引兵数万先去诱敌
3. 诸葛诞令吴将朱异在左，文钦在右，见魏阵中人马不整乃大驱士马径进，成倅退走
4. 忽然一声炮响，两路兵杀来：左有石苞，右有州泰，王基、陈骞精兵杀到，诞兵大败
5. 司马昭又引兵接应，诞引败兵奔入寿春闭门坚守，昭令兵四面围困并力攻城
6. 钟会建议三面攻之留南门大路容贼自走，走而击之可全胜，昭抚会背曰君真吾之子房也
7. 吴兵屯于安丰，孙綝唤朱异责之曰量一寿春城不能救安可并吞中原，叱武士推出斩之
8. 全怿、全端、文钦等愿入城助诸葛诞守城，于诠愿领一军从南门入去，与魏兵决一死战
9. 王基、陈骞截断朱异来路从背后击之，吴兵大败，朱异回见孙綝被斩
10. 全祎引兵欲入寿春见魏兵势大寻思进退无路遂降司马昭，修家书劝父叔降魏
11. 全怿、全端引数千人开门出降，诸葛诞大怒欲斩劝战之蒋班、焦彝，二人逾城降魏
12. 城中粮少兵多不能久守，文钦建议将北方之兵尽放出城以省其食，诞怒杀之
13. 文鸯、文虎见父被杀各拔短刀立杀数十人飞身越壕赴魏寨投降，司马昭欲斩之
14. 钟会谏曰罪在文钦今文钦已亡二子势穷来归若杀降将是坚城内人之心也，昭从之
15. 文鸯、文虎拜谢上马绕城大叫曰我二人蒙大将军赦罪赐爵汝等何不早降，城内人皆欲投降
16. 诸葛诞闻之大怒日夜巡城以杀为威，钟会知城中人心已变入帐告昭可乘此时攻城
17. 守将曾宣献了北门放魏兵入城，诞引麾下数百人突出至吊桥边被胡奋斩于马下
18. 王基引兵杀到西门遇吴将于诠，诠大怒曰受命而出为人救难既不能救又降他人义所不为也
19. 于诠掷盔于地大呼曰人生在世得死于战场者幸耳，急挥刀死战三十余合为乱军所杀
20. 司马昭入寿春将诸葛诞老小尽皆枭首灭其三族，武士缚诞部卒数百人问曰汝等降否

【简要事件列表】
1. 司马昭用计大败吴兵，平定诸葛诞叛乱
2. 朱异被孙綝斩杀，全祎、全端、文钦父子相继投降魏国
3. 诸葛诞被杀，于诠死节不降，展现忠义精神
4. 姜维攻取长城遇邓艾，两军对峙
5. 邓艾据渭水下寨，姜维跨两山安营，双方准备决战

【极简事件列表】
1. 司马昭平定诸葛诞叛乱
2. 于诠死节不降被杀
3. 文鸯、文虎降魏
4. 姜维攻长城遇邓艾
