【标题】
丁奉定计斩孙綝 姜维斗阵破邓艾

【详细事件列表】
1. 姜维恐救兵到先将军器车仗一应军需步兵先退然后将马军断后，邓艾识破其计不追
2. 东吴大将军孙綝听知全端、唐咨等降魏勃然大怒将各人家眷尽皆斩之，吴主孙亮心甚不然
3. 孙亮因食生梅令黄门取蜜发现蜜内有鼠粪数块，巧断此案识破黄门之诈
4. 孙亮与全纪密谋杀孙綝，全纪密告其父全尚，全尚妻私报孙綝
5. 孙綝当夜点起精兵围大内，将全尚、刘丞等杀讫，入内指孙亮骂之无道昏君
6. 孙綝废孙亮为会稽王，自选有德者立之，命夺其玺绶，孙亮大哭而去
7. 孙綝遣孙楷、董朝往虎林迎请琅琊王孙休为君，休字子烈乃孙权第六子
8. 孙休即天子位改元永安元年，封孙綝为丞相、荆州牧，孙綝一门五侯权倾人主
9. 孙綝奉牛酒入宫上寿被拒怒，乃以牛酒诣张布府中共饮，言早晚教你看
10. 张布密奏孙休，休大惧日夜不安，魏邈、施朔密奏孙綝调兵在外又搬尽武库军器
11. 孙休召丁奉计议，奉献计只推大会群臣召綝赴席自有调遣，休大喜
12. 是夜狂风大作飞沙走石将老树连根拔起，天明风定使者奉旨请孙綝入宫赴会
13. 孙綝起床平地如人推倒心中不悦，家人止之曰恐非吉兆不可赴会，綝曰吾弟兄共典禁兵谁敢近身
14. 孙綝入宫赴会，酒行数巡宫外望有火起，綝欲起身被张布拔剑引武士三十余人抢上殿来
15. 张布厉声言有诏擒反贼孙綝，綝急欲走时被武士擒下叩头奏愿徙交州归田里
16. 孙休叱曰尔何不徙滕胤、吕据、王惇耶，命推下斩之，张布牵孙綝下殿东斩讫
17. 丁奉、魏邈、施朔擒孙綝兄弟至，休命尽斩于市，宗党死者数百人灭其三族
18. 吴使薛珝回蜀报信言司马昭不日篡魏将侵吴蜀，姜维忻然上表再议出师伐魏
19. 姜维与夏侯霸商议当先攻取祁山，遂令三军并望祁山进发至谷口下寨
20. 邓艾先度地脉留蜀兵下寨之地早挖地道待蜀兵至时于中取事，唤子邓忠与师纂各引一万兵为左右冲击

【简要事件列表】
1. 孙綝废黜孙亮立孙休为帝，掌握东吴大权
2. 丁奉设计斩杀孙綝，为吴主孙休除掉权臣
3. 姜维再次兴兵伐魏，与邓艾在祁山斗阵
4. 邓艾用计挖地道袭击蜀军，姜维识破其计
5. 姜维与邓艾斗阵法，用计赚邓艾引兵袭山后

【极简事件列表】
1. 丁奉设计斩杀孙綝
2. 姜维与邓艾斗阵
3. 邓艾用计赚姜维回朝
