【标题】
钟会分兵汉中道 武侯显圣定军山

【详细事件列表】
1. 司马昭谓西曹掾邵悌曰钟会独建伐蜀之策心不怯则破蜀必矣，蜀既破则蜀人心胆已裂
2. 钟会升帐大集诸将听令，许褚之子许仪愿为先锋，会令其领中路出斜谷，左军出骆谷，右军出子午谷
3. 邓艾受伐蜀之诏一面令司马望往遏羌人，又遣诸葛绪、王颀、牵弘、杨欣各调本部兵听令
4. 邓艾夜作一梦梦见登高山望汉中忽于脚下迸出一泉水势上涌，爰邵解曰蹇卦不利东北其道穷也
5. 邓艾遣诸葛绪引兵一万五千先断姜维归路，王颀引兵一万五千从左攻沓中，牵弘引兵一万五千从右攻沓中
6. 姜维具表申奏后主请降诏遣张翼领兵守护阳安关，廖化领兵守阴平桥，一面遣使入吴求救
7. 后主改景耀六年为炎兴元年，日与宦官黄皓在宫中游乐，皓荐师婆问之吉凶
8. 师婆披发跣足在殿上跳跃数十遍盘旋于案上，大叫曰数年之后魏国疆土亦归陛下矣
9. 后主深信师婆之说不听姜维之言，每日只在宫中饮宴欢乐，姜维累申告急表文皆被黄皓隐匿
10. 许仪领兵至南郑关，守关蜀将卢逊伏下军士装起武侯所遗十矢连弩，矢石如雨射倒数十骑
11. 钟会自提甲士百余骑来看，过桥时陷住马蹄几乎堕桥，荀恺回身一箭射卢逊落马
12. 钟会麾众乘势抢关夺了山关，以荀恺为护军赐以全副鞍马铠甲
13. 钟会责许仪违军令按军法斩之，诸将告曰其父许褚有功于朝廷，会曰军法不明何以令众
14. 钟会令前军李辅围乐城，护军荀恺围汉城，自引大军取阳安关
15. 守关蜀将傅佥与蒋舒商议战守之策，佥曰魏兵远来必然疲困我等若不下关战时汉、乐二城休矣
16. 钟会扬鞭大叫曰吾今统十万之众到此早早出降各依品级升用，傅佥大怒令蒋舒把关自引兵杀下关来
17. 蒋舒已降魏也，傅佥大怒厉声骂曰忘恩背义之贼有何面目见天下人乎，身被数枪血盈袍铠自刎而死
18. 钟会得了阳安关犒赏三军，夜闻西南上喊声大震，次夜三更又起，回报曰远哨十余里并无一人
19. 钟会自引数百骑望西南巡哨至定军山，忽然狂风大作背后数千骑突出随风杀来，会大惊引众纵马而走
20. 钟会知是武侯之灵不胜惊异，传令前军立一白旗上书保国安民四字，所到之处妄杀一人者偿命

【简要事件列表】
1. 钟会、邓艾分兵多路伐蜀，许仪为先锋抢关被斩
2. 钟会夺取阳安关，傅佥战死，蒋舒投降
3. 钟会至定军山遇武侯显圣，下令保国安民秋毫无犯
4. 姜维在沓中被邓艾、诸葛绪等围困，四面受敌
5. 姜维闻汉中已失，与张翼、廖化合兵退守剑阁

【极简事件列表】
1. 钟会、邓艾分兵伐蜀
2. 许仪抢关被斩，傅佥战死
3. 武侯显圣钟会下令保民
4. 姜维退守剑阁
