【标题】
邓士载偷度阴平 诸葛瞻战死绵竹

【详细事件列表】
1. 辅国大将军董厥引二万兵守住剑阁，姜维、廖化、张翼来会合，董厥哭诉后主黄皓之事
2. 姜维曰公勿忧虑若有维在必不容魏来吞蜀也，且守剑阁徐图退敌之计
3. 钟会离剑阁二十里下寨，诸葛绪自来伏罪，会怒曰吾令汝守把阴平桥头以断姜维归路如何失了
4. 会大怒叱令斩之，监军卫瓘劝曰绪虽有罪乃邓征西所督之人不争将军杀之恐伤和气
5. 会乃将诸葛绪用槛车载赴洛阳，随将绪所领之兵收在部下调遣
6. 邓艾闻之大怒曰吾与汝官品一般吾久镇边疆于国多劳汝安敢妄自尊大耶
7. 邓艾引十数骑来见钟会，会令帐上帐下列武士数百人，艾见军容甚肃心中不安
8. 艾以言挑之曰将军得了汉中乃朝廷之大幸也可定策早取剑阁，会曰将军明见若何
9. 艾答曰可引一军从阴平小路出汉中德阳亭用奇兵径取成都姜维必撤兵来救将军乘虚就取剑阁
10. 会大喜曰将军此计甚妙可即引兵去吾在此专候捷音，二人饮酒相别
11. 会回本帐与众将曰人皆谓邓艾有能今日观之乃庸才耳，众问其故会曰阴平小路皆高山峻岭
12. 邓艾出辕门上马回顾从者曰钟会待吾若何，从者曰观其辞色甚不以将军之言为然但以口强应而已
13. 艾笑曰彼料我不能取成都我偏欲取之，回到本寨聚诸将于帐下问曰吾今乘虚去取成都与汝等立功名于不朽汝等肯从乎
14. 艾乃先令子邓忠引五千精兵不穿衣甲各执斧凿器具凡遇峻危之处凿山开路搭造桥阁以便军行
15. 约行百余里选下三千兵就彼扎寨又行百余里又选三千兵下寨，是年十月自阴平进兵至于巅崖峡谷之中
16. 前至一岭名摩天岭马不堪行艾步行上岭正见邓忠与开路壮士尽皆哭泣，艾问其故忠告曰此岭西皆是峻壁巅崖不能开凿虚废前劳因此哭泣
17. 艾曰吾军到此已行了七百余里过此便是江油岂可复退，乃唤诸军曰不入虎穴焉得虎子吾与汝等来到此地若得成功富贵共之
18. 艾令先将军器撺将下去，艾取毡自裹其身先滚下去，副将有毡衫者裹身滚下无毡衫者各用绳索束腰攀木挂树鱼贯而进
19. 邓艾、邓忠并二千军及开山壮士皆度了摩天岭，方才整顿衣甲器械而行忽见道傍有一石碣上刻丞相诸葛武侯题
20. 其文云二火初兴有人越此二士争衡不久自死，艾观讫大惊慌忙对碣再拜曰武侯真神人也艾不能以师事之惜哉

【简要事件列表】
1. 邓艾与钟会不和，钟会夺取诸葛绪兵权
2. 邓艾偷度阴平小路，克服摩天岭天险
3. 邓艾取江油城，守将马邈投降，其妻李氏自缢而死
4. 邓艾攻取涪城，兵临成都城下
5. 诸葛瞻父子战死绵竹，邓艾乘虚攻打成都

【极简事件列表】
1. 邓艾偷度阴平小路
2. 江油守将马邈投降
3. 诸葛瞻父子战死绵竹
