【标题】
假投降巧计成虚话 再受禅依样画葫芦

【详细事件列表】
1. 钟会请姜维计议收邓艾之策，维曰可先令监军卫瓘收艾艾若杀瓘反情实矣，会大喜遂令卫瓘引数十人入成都收邓艾父子
2. 瓘先发檄文二三十道曰奉诏收艾其余各无所问若早来归爵赏如先敢有不出者灭三族，随备槛车两乘星夜望成都而来
3. 比及鸡鸣艾部将见檄文者皆来投拜于卫瓘马前，时邓艾在府中未起瓘引数十人突入大呼曰奉诏收邓艾父子
4. 艾大惊滚下床来瓘叱武士缚于车上其子邓忠出问亦被捉下缚于车上，府中将吏大惊欲待动手抢夺早望见尘头大起哨马报说钟司徒大兵到了
5. 众各四散奔走钟会与姜维下马入府见邓艾父子已被缚，会以鞭挞邓艾之首而骂曰养犊小儿何敢如此姜维亦骂曰匹夫行险徼幸亦有今日耶艾亦大骂
6. 会将艾父子送赴洛阳会入成都尽得邓艾军马威声大震乃谓姜维曰吾今日方趁平生之愿矣
7. 维密与后主书曰望陛下忍数日之辱维将使社稷危而复安日月幽而复明必不使汉室终灭也
8. 忽报司马昭有书到书中言吾恐司徒收艾不下自屯兵于长安相见在近以此先报，会大惊曰吾兵多艾数倍若但要我擒艾晋公知吾独能办之今日自引兵来是疑我也
9. 遂与姜维计议维曰君疑臣则臣必死岂不见邓艾乎，会曰吾意决矣事成则得天下不成则退西蜀亦不失作刘备也
10. 维曰近闻郭太后新亡可诈称太后有遗诏教讨司马昭以正弑君之罪据明公之才中原可席卷而定，会曰伯约当作先锋成事之后同享富贵
11. 维曰愿效犬马微劳但恐诸将不服耳，会曰来日元宵佳节于故宫大张灯火请诸将饮宴如不从者尽杀之
12. 数巡后会执杯大哭诸将惊问其故会曰郭太后临崩有遗诏在此为司马昭南阙弑君大逆无道早晚将篡魏命吾讨之汝等各自佥名共成此事
13. 众皆大惊面面相觑会拔剑出鞘曰违令者斩众皆恐惧只得相从画字已毕会乃困诸将于宫中严兵禁守
14. 维曰我见诸将不服请坑之会曰吾已令宫中掘一坑置大棒数千如不从者打死坑之
15. 时有心腹将丘建在侧建乃护军胡烈部下旧人也时胡烈亦被监在宫，建乃密将钟会所言报知胡烈烈大惊泣告曰吾儿胡渊领兵在外安知会怀此心耶
16. 建曰恩主勿忧容某图之遂出告会曰主公软监诸将在内水食不便可令一人往来传递，会素听丘建之言遂令丘建监临
17. 烈报知诸将却说钟会请姜维问曰吾夜梦大蛇数千条咬吾主何吉凶，维曰梦龙蛇者皆吉庆之兆也会喜信其言乃谓维曰器伏已备放诸将出问之若何
18. 维曰此辈皆有不服之心久必为害不如乘早戮之会从之即命姜维领武士往杀众魏将，维领命方欲行动忽然一阵心疼昏倒在地左右扶起半晌方苏
19. 忽报宫外人声沸腾会方令人探时喊声大震四面八方无限兵到，维曰此必是诸将作恶可先斩之忽报兵已入内
20. 会令闭上殿门使军士上殿屋以瓦击之互相杀死数十人宫外四面火起外兵砍开殿门杀入，会自掣剑立杀数人却被乱箭射倒众将枭其首

【简要事件列表】
1. 钟会设计收邓艾，卫瓘成功将邓艾父子擒获
2. 钟会与姜维密谋反叛，诈称郭太后遗诏讨司马昭
3. 钟会设宴困诸将于宫中，欲杀不从者
4. 胡烈密报其子胡渊，胡渊率兵攻入宫中救出诸将
5. 钟会、姜维、邓艾三人相继被杀，司马炎建立晋朝

【极简事件列表】
1. 钟会收邓艾被反杀
2. 钟会姜维谋反被杀
3. 司马炎受禅称帝
