【标题】
荐杜预老将献新谋 降孙皓三分归一统

【详细事件列表】
1. 吴主孙休闻司马炎已篡魏知其必将伐吴忧虑成疾卧床不起乃召丞相濮阳兴入宫中令太子孙雨下单出拜
2. 孙休把兴臂手指雨下单而卒兴出与群臣商议欲立太子雨下单为君左典军万彧曰雨下单幼不能专政不若取乌程侯孙皓立之
3. 丞相濮阳兴不能决入奏朱太后太后曰吾寡妇人耳安知社稷之事卿等斟酌立之可也兴遂迎皓为君
4. 皓字元宗大帝孙权太子孙和之子当年七月即皇帝位改元为元兴元年封太子雨下单为豫章王追谥父和为文皇帝尊母何氏为太后加丁奉为右大司马
5. 皓凶暴日甚酷溺酒色宠幸中常侍岑昏濮阳兴张布谏之皓怒斩二人灭其三族由是廷臣缄口不敢再谏
6. 陆凯上疏谏曰今无灾而民命尽无为而国财空臣窃痛之昔汉室既衰三家鼎立今曹刘失道皆为晋有此目前之明验也
7. 皓不悦又大兴土木作昭明宫令文武各官入山采木又召术士尚广令筮蓍问取天下之事尚对曰陛下筮得吉兆庚子岁青盖当入洛阳
8. 皓欲兼并汉土以为蜀主复仇问当取何地为先华覈谏曰今成都不守社稷倾崩司马炎必有吞吴之心陛下宜修德以安吴民乃为上计
9. 皓大怒曰朕欲乘时恢复旧业汝出此不利之言若不看汝旧臣之面斩首号令叱武士推出殿门华覈出朝叹曰可惜锦绣江山不久属于他人矣遂隐居不出
10. 皓令镇东将军陆抗部兵屯江口以图襄阳早有消息报入洛阳晋主司马炎与众官商议贾充出班奏曰臣闻吴国孙皓不修德政专行无道陛下可诏都督羊祜率兵拒之俟其国中有变乘势攻取东吴反掌可得也
11. 炎大喜即降诏遣使到襄阳宣谕羊祜祜奉诏整点军马预备迎敌自是羊祜镇守襄阳甚得军民之心吴人有降而欲去者皆听之
12. 羊祜在军尝着轻裘系宽带不披铠甲帐前侍卫者不过十余人部将入帐禀祜曰哨马来报吴兵皆懈怠可乘其无备而袭之必获大胜祜笑曰汝众人小觑陆抗耶此人足智多谋日前吴主命之攻拔西陵斩了步阐及其将士数十人吾救之无及此人为将我等只可自守候其内有变方可图取
13. 羊祜引诸将打猎正值陆抗亦出猎羊祜下令我军不许过界众将得令止于晋地打围不犯吴境陆抗望见叹曰羊将军有纪律不可犯也日晚各退
14. 祜归至军中察问所得禽兽被吴人先射伤者皆送还吴人皆悦来报陆抗抗召来人入问曰汝主帅能饮酒否来人答曰必得佳酿则饮之抗笑曰吾有斗酒藏之久矣今付与汝持去拜上都督此酒陆某亲酿自饮者特奉一勺以表昨日出猎之情
15. 来人领诺携酒而去左右问抗曰将军以酒与彼有何主意抗曰彼既施德于我我岂得无以酬之众皆愕然
16. 来人回见羊祜以抗所问并奉酒事一一陈告祜笑曰彼亦知吾能饮乎遂命开壶取饮部将陈元曰其中恐有奸诈都督且宜慢饮祜笑曰抗非毒人者也不必疑虑竟倾壶饮之自是使人通问常相往来
17. 抗遣人候祜祜问曰陆将军安否来人曰主帅卧病数日未出祜曰料彼之病与我相同吾已合成熟药在此可送与服之来人持药回见抗众将曰羊祜乃是吾敌也此药必非良药抗曰岂有鸩人羊叔子哉汝众人勿疑遂服之次日病愈众将皆拜贺
18. 抗曰彼专以德我专以暴是彼将不战而服我也今宜各保疆界而已无求细利众将领命忽报吴主遣使来到抗接入问之使曰天子传谕将军作急进兵勿使晋人先入抗曰汝先回吾随有疏章上奏使人辞去抗即草疏遣人赍到建业
19. 近臣呈上皓拆观其疏疏中备言晋未可伐之状且劝吴主修德慎罚以安内为念不当以黩武为事吴主览毕大怒曰朕闻抗在边境与敌人相通今果然矣遂遣使罢其兵权降为司马却令左将军孙冀代领其军群臣皆不敢谏
20. 羊祜闻陆抗罢兵孙皓失德见吴有可乘之机乃作表遣人往洛阳请伐吴其略曰夫期运虽天所授而功业必因人而成今江淮之险不如剑阁孙皓之暴过于刘禅吴人之困甚于巴蜀而大晋兵力盛于往时不于此际平一四海而更阻兵相守使天下困于征戍经历盛衰不可长久也

【简要事件列表】
1. 孙皓即位后暴政日甚，杀忠臣濮阳兴、张布等，群臣不敢谏
2. 羊祜镇守襄阳与陆抗对峙，以德服人，陆抗病愈后被孙皓罢兵权
3. 羊祜上表请伐吴，推荐杜预为将，后病危临终仍念念不忘伐吴大业
4. 晋主司马炎拜杜预为镇南大将军，王濬造楼船准备顺流而下伐吴
5. 孙皓造铁索铁锥阻拦晋军，王濬用大筏和火炬破之，吴军大败

【极简事件列表】
1. 孙皓暴政失德
2. 羊祜荐杜预伐吴
3. 王濬顺流破吴
4. 孙皓投降，三国归晋
