《三国演义》第四十七回事件列表

回目：阚泽密献诈降书　庞统巧授连环计

---

## 详细事件列表（120条）

1. 阚泽介绍：会稽山阴人，家贫好学，有过目不忘之才
2. 阚泽口才辨给，少有胆气，被孙权召为参谋
3. 阚泽与黄盖交情深厚，黄盖知其能言有胆
4. 黄盖欲使阚泽献诈降书，阚泽欣然应诺
5. 阚泽表示大丈夫不能立功建业，与草木同腐
6. 黄盖滚下床来拜谢阚泽
7. 阚泽事不宜迟，当夜便行
8. 黄盖已修好诈降书交给阚泽
9. 阚泽当夜扮作渔翁，驾小舟望北岸而行
10. 是夜寒星满天，三更时分到达曹军水寨
11. 巡江军士拿住阚泽，连夜报知曹操
12. 曹操询问是否是奸细，军士回答是东吴参谋阚泽
13. 曹操教引阚泽入帐，帐上灯烛辉煌
14. 曹操凭几危坐，询问阚泽来意
15. 阚泽讥讽曹操求贤若渴之名不实
16. 阚泽说明黄盖被周瑜毒打，欲投降报仇
17. 阚泽呈上黄盖的诈降书
18. 曹操就灯下观看降书
19. 降书内容：黄盖受孙氏厚恩，但众寡不敌
20. 降书内容：东吴将吏皆知不可敌，周瑜自负其能
21. 降书内容：黄盖被无端摧辱，心实恨之
22. 降书内容：黄盖愿率众归降，粮草军仗随船献纳
23. 曹操反复观看十余次，突然拍案大怒
24. 曹操识破是苦肉计和诈降书，要斩阚泽
25. 左右将阚泽簇下，阚泽面不改容仰天大笑
26. 曹操教牵回阚泽，询问为何发笑
27. 阚泽说笑黄盖不识人
28. 曹操说自幼熟读兵书，深知奸伪之道
29. 曹操指出诈降书破绽：没有约定日期
30. 阚泽大笑曹操无学，不如早收兵
31. 阚泽说曹操不识机谋，不明道理
32. 曹操要求阚泽说出不对之处
33. 阚泽说曹操无待贤之礼，但有死而已
34. 曹操说若说得有理，自然敬服
35. 阚泽解释背主作窃不可定期的道理
36. 阚泽说若约定日期，急切下不得手，事必泄漏
37. 曹操闻言改容下席而谢，承认见事不明
38. 阚泽表示与黄盖倾心投降，如婴儿望父母
39. 曹操大喜，许诺他日受爵必在诸人之上
40. 阚泽说非为爵禄而来，实应天顺人
41. 曹操取酒待阚泽
42. 有人入帐于曹操耳边私语
43. 曹操观看密书，颜色颇喜
44. 阚泽暗思是蔡中、蔡和来报黄盖受刑消息
45. 曹操请阚泽再回江东与黄盖约定
46. 阚泽推辞不可复还，请别遣机密人
47. 曹操说若他人去恐泄漏
48. 阚泽再三推辞后答应
49. 曹操赐金帛，阚泽不受
50. 阚泽辞别出营，驾扁舟重回江东
51. 阚泽来见黄盖，细说前事
52. 黄盖说非阚泽能辩，则徒受苦矣
53. 阚泽要去甘宁寨中探蔡中、蔡和消息
54. 阚泽至甘宁寨，甘宁接入
55. 阚泽说甘宁为救黄盖被周瑜所辱，甚不平
56. 甘宁笑而不答
57. 蔡和、蔡中来到
58. 阚泽以目送甘宁，甘宁会意
59. 甘宁说周瑜自恃其能，不以他们为念
60. 甘宁说被辱羞见江左诸人，咬牙切齿
61. 阚泽虚与甘宁耳边低语
62. 甘宁低头不言，长叹数声
63. 蔡和、蔡中见二人有反意，以言挑之
64. 蔡和问是否欲背吴投曹
