《三国演义》第五十三回事件列表

回目：关云长义释黄汉升　孙仲谋大战张文远

---

## 详细事件列表（120条）

1. 孔明谓张飞说前者子龙取桂阳郡时责下军令状而去
2. 孔明说今日翼德要取武陵必须也责下军令状方可领兵去
3. 张飞遂立军令状欣然领三千军星夜投武陵界上来
4. 金旋听得张飞引兵到乃集将校整点精兵器械出城迎敌
5. 从事巩志谏说刘玄德乃大汉皇叔仁义布于天下
6. 巩志说加之张翼德骁勇非常不可迎敌不如纳降为上
7. 金旋大怒说汝欲与贼通连为内变耶喝令武士推出斩之
8. 众官皆告说先斩家人于军不利，金旋乃喝退巩志
9. 金旋自率兵出离城二十里正迎张飞
10. 飞挺矛立马大喝金旋，旋问部将谁敢出战
11. 众皆畏惧莫敢向前，旋自骤马舞刀迎之
12. 张飞大喝一声浑如巨雷金旋失色不敢交锋拨马便走
13. 飞引众军随后掩杀，金旋走至城边城上乱箭射下
14. 旋惊视之见巩志立于城上说汝不顺天时自取败亡
15. 巩志说吾与百姓自降刘矣，言未毕一箭射中金旋面门
16. 金旋坠于马下军士割头献张飞，巩志出城纳降
17. 飞就令巩志赍印绶往桂阳见玄德，玄德大喜
18. 玄德遂令巩志代金旋之职，玄德亲至武陵安民毕
19. 玄德驰书报云长言翼德、子龙各得一郡
20. 云长乃回书上请说闻长沙尚未取如兄长不以弟为不才
21. 云长说教关某干这件功劳甚好，玄德大喜
22. 玄德遂教张飞星夜去替云长守荆州令云长来取长沙
23. 云长既至入见玄德、孔明，孔明说子龙取桂阳翼德取武陵
24. 孔明说都是三千军去，今长沙太守韩玄固不足道
25. 孔明说只是他有一员大将乃南阳人姓黄名忠字汉升
26. 孔明说是刘表帐下中郎将与刘表之侄刘磐共守长沙
27. 孔明说后事韩玄，虽今年近六旬却有万夫不当之勇
28. 孔明说不可轻敌，云长去必须多带军马
29. 云长说军师何故长别人锐气灭自己威风
30. 云长说量一老卒何足道哉，关某不须用三千军
31. 云长说只消本部下五百名校刀手决定斩黄忠、韩玄之首
32. 云长说献来麾下，玄德苦挡云长不依只领五百校刀手而去
33. 孔明谓玄德说云长轻敌黄忠只恐有失主公当往接应
34. 玄德从之随后引兵望长沙进发
35. 长沙太守韩玄平生性急轻于杀戮众皆恶之
36. 韩玄听知云长军到便唤老将黄忠商议
37. 忠说不须主公忧虑凭某这口刀这张弓一千个来一千个死
38. 原来黄忠能开二石力之弓百发百中
39. 言未毕阶下一人应声而出说不须老将军出战
40. 此人说只就某手中定活捉关某，韩玄视之乃管军校尉杨龄
41. 韩玄大喜遂令杨龄引军一千飞奔出城
42. 约行五十里望见尘头起处云长军马早到
43. 杨龄挺枪出马立于阵前骂战，云长大怒更不打话
44. 云长飞马舞刀直取杨龄，龄挺枪来迎
45. 不三合云长手起刀落砍杨龄于马下
46. 云长追杀败兵直至城下，韩玄闻之大惊便教黄忠出马
47. 玄自来城上观看，忠提刀纵马引五百骑兵飞过吊桥
48. 云长见一老将出马知是黄忠把五百校刀手一字摆开
49. 云长横刀立马而问说来将莫非黄忠否
50. 忠说既知我名焉敢犯我境，云长说特来取汝首级
51. 言罢两马交锋斗一百余合不分胜负
