《三国演义》第五十五回事件列表

回目：玄德智激孙夫人　孔明二气周公瑾

---

## 详细事件列表（120条）

1. 玄德见孙夫人房中两边枪刀森列，侍婢皆佩剑不觉失色
2. 管家婆进说贵人休得惊惧，夫人自幼好观武事
3. 管家婆说居常令侍婢击剑为乐故尔如此
4. 玄德说非夫人所观之事吾甚心寒可命暂去
5. 管家婆禀覆孙夫人说房中摆列兵器娇客不安今且去之
6. 孙夫人笑说厮杀半生尚惧兵器乎，命尽撤去
7. 孙夫人令侍婢解剑伏侍，当夜玄德与孙夫人成亲
8. 两情欢洽，玄德又将金帛散给侍婢以买其心
9. 玄德先教孙乾回荆州报喜，自此连日饮酒
10. 国太十分爱敬，孙权差人来柴桑郡报周瑜
11. 孙权说我母亲力主已将吾妹嫁刘备，不想弄假成真
12. 孙权说此事还复如何，瑜闻大惊行坐不安
13. 周瑜乃思一计修密书付来人持回见孙权
14. 权拆书视之，周瑜说瑜所谋之事不想反覆如此
15. 周瑜说既已弄假成真又当就此用计
16. 周瑜说刘备以枭雄之姿有关张赵云之将
17. 周瑜说更兼诸葛用谋必非久屈人下者
18. 周瑜说愚意莫如软困之于吴中，盛为筑宫室以丧其心志
19. 周瑜说多送美色玩好以娱其耳目
20. 周瑜说使分开关张之情隔远诸葛之契各置一方
21. 周瑜说然后以兵击之大事可定矣
22. 周瑜说今若纵之恐蛟龙得云雨终非池中物也
23. 周瑜说明公熟思之，孙权看毕以书示张昭
24. 张昭说公瑾之谋正合愚意，刘备起身微末
25. 张昭说奔走天下未尝受享富贵，今若以华堂大厦
26. 张昭说子女金帛令彼享用自然疏远孔明关张等
27. 张昭说使彼各生怨望然后荆州可图也
28. 张昭说主公可依公瑾之计而速行之
29. 权大喜即日修整东府广栽花木盛设器用
30. 权请玄德与妹居住，又增女乐数十余人
31. 权并金玉锦绮玩好之物，国太只道孙权好意
32. 国太喜不自胜，玄德果然被声色所迷
33. 玄德全不想回荆州，赵云与五百军在东府前住
34. 赵云终日无事只去城外射箭走马，看看年终
35. 赵云猛省孔明分付三个锦囊与我
36. 赵云说教我一到南徐开第一个，住到年终开第二个
37. 赵云说临到危急无路之时开第三个
38. 赵云说于内有神出鬼没之计可保主公回家
39. 赵云说此时岁已将终主公贪恋女色并不见面
40. 赵云说何不拆开第二个锦囊看计而行
41. 赵云遂拆开视之原来如此神策
42. 赵云即日径到府堂要见玄德
43. 侍婢报说赵子龙有紧急事来报贵人
44. 玄德唤入问之，赵云佯作失惊之状
45. 赵云说主公深居画堂不想荆州耶
46. 玄德问有甚事如此惊怪，赵云说今早孔明使人来报
47. 赵云说曹操要报赤壁鏖兵之恨起精兵五十万
48. 赵云说杀奔荆州甚是危急请主公便回
49. 玄德说必须与夫人商议，赵云说若和夫人商议
50. 赵云说必不肯教主公回不如休说今晚便好起程
51. 赵云说迟则误事，玄德说你且暂退我自有道理
52. 赵云故意催逼数番而出，玄德入见孙夫人暗暗垂泪
53. 孙夫人问丈夫何故烦恼，玄德说念备一身飘荡异乡
54. 玄德说生不能侍奉二亲又不能祭祀宗祖
55. 玄德说乃大逆不孝也，今岁旦在迩使备悒怏不已
