《三国演义》第五十六回事件列表

回目：曹操大宴铜雀台　孔明三气周公瑾

---

## 详细事件列表（120条）

1. 周瑜被诸葛亮预先埋伏关公黄忠魏延三枝军马一击大败
2. 黄盖韩当急救下船折却水军无数
3. 遥观玄德孙夫人车马仆从都停住于山顶之上
4. 周瑜如何不气，箭疮未愈因怒气冲激
5. 周瑜疮口迸裂昏绝于地，众将救醒开船逃去
6. 孔明教休追赶自和玄德归荆州庆喜赏赐众将
7. 周瑜自回柴桑，蒋钦等一行人马自归南徐报孙权
8. 孙权不胜忿怒欲拜程普为都督起兵取荆州
9. 周瑜又上书请兴兵雪恨，张昭谏曰不可
10. 张昭说曹操日夜思报赤壁之恨因恐孙刘同心
11. 张昭说故未敢兴兵，今主公若以一时之忿
12. 张昭说自相吞并操必乘虚来攻国势危矣
13. 顾雍说许都岂无细作在此，若知孙刘不睦
14. 顾雍说操必使人勾结刘备，备惧东吴必投曹操
15. 顾雍说若是则江南何日得安，为今之计
16. 顾雍说莫若使人赴许都表刘备为荆州牧
17. 顾雍说曹操知之则惧而不敢加兵于东南
18. 顾雍说且使刘备不恨于主公，然后使心腹用反间之计
19. 顾雍说令曹刘相攻吾乘隙而图之斯为得耳
20. 孙权说元叹之言甚善但谁可为使
21. 雍说此间有一人乃曹操敬慕者可以为使
22. 权问何人，雍说华歆在此何不遣之
23. 权大喜即遣歆赍表赴许都，歆领命起程
24. 歆径到许都来见曹操，闻操会群臣于邺郡
25. 歆闻操庆赏铜雀台，歆乃赴邺郡候见
26. 操自赤壁败后常思报仇只疑孙刘并力
27. 操因此不敢轻进，时建安十五年春
28. 操造铜雀台成，操乃大会文武于邺郡设宴庆贺
29. 其台正临漳河，中央乃铜雀台
30. 左边一座名玉龙台，右边一座名金凤台
31. 各高十丈，上横二桥相通，千门万户
32. 台金碧交辉，是日曹操头戴嵌宝金冠
33. 操身穿绿锦罗袍玉带珠履凭高而坐
34. 文武侍立台下，操欲观武官比试弓箭
35. 操乃使近侍将西川红锦战袍一领挂于垂杨枝上
36. 操下设一箭垛以百步为界，分武官为两队
37. 曹氏宗族俱穿红，其余将士俱穿绿
38. 各带雕弓长箭跨鞍勒马听候指挥
39. 操传令说有能射中箭垛红心者即以锦袍赐之
40. 操说如射不中罚水一杯，号令方下
41. 红袍队中一个少年将军骤马而出众视之
42. 乃曹休也，休飞马往来奔驰三次
43. 休扣上箭拽满弓一箭射去正中红心
44. 金鼓齐鸣众皆喝采，曹操于台上望见大喜
45. 操说此吾家千里驹也，方欲使人取锦袍与曹休
46. 只见绿袍队中一骑飞出叫曰丞相锦袍
47. 文聘说合让俺外姓先取宗族中不宜搀越
48. 操视其人乃文聘也，众官说且看文仲业射法
49. 文聘拈弓纵马一箭亦中红心，众皆喝采
50. 金鼓乱鸣，聘大呼曰快取袍来
51. 只见红袍队中又一将飞马而出厉声曰
52. 曹洪说文烈先射汝何得争夺看我与你两个解箭
53. 曹洪拽满弓一箭射去也中红心，众人齐声喝采
54. 视其人乃曹洪也，洪方欲取袍
55. 只见绿袍队里又一将出扬弓叫曰
56. 张郃说你三人射法何足为奇看我射来
57. 众视之乃张郃也，郃飞马翻身背射一箭
