《三国演义》第六十四回事件列表
回目：孔明定计捉张任　杨阜借兵破马超

【详细事件列表（120条）】
1. 严颜为张飞前部，所到之处尽皆投降
2. 严颜说服迟疑者归顺，望风而降
3. 孔明申报起程日期，教众官聚于雒城
4. 玄德与众官商议进兵成都
5. 黄忠建议夜间劫寨，胜如白昼厮杀
6. 玄德从黄忠之计，分三路劫寨
7. 黄忠引兵取左路，魏延取右路，玄德取中路
8. 二更时分，三路军马齐发
9. 张任果然不做准备，汉军拥入大寨
10. 汉军放火烧寨，烈焰腾空
11. 蜀兵奔走，汉军连夜追至雒城
12. 城中兵接应汉军入城
13. 玄德中路下寨，次日围攻雒城
14. 张任按兵不出，坚守雒城
15. 攻到第四日，玄德亲自攻打西门
16. 黄忠、魏延攻打东门，留南北门不围
17. 南门一带都是山路，北门有涪水
18. 张任望见玄德在西门指挥，从辰至未
19. 玄德人马渐渐力乏，教后军先退
20. 张任教吴兰、雷铜出北门转东门
21. 张任自己引军出南门转西门迎玄德
22. 城内民兵上城擂鼓助喊
23. 张任径来军中捉玄德，玄德军中大乱
24. 黄忠、魏延被吴兰、雷铜敌住，两下不能相顾
25. 玄德敌不住张任，拨马往山僻小路而走
26. 张任从背后追赶，看看赶上
27. 玄德独自一人一马，前有伏兵后有追兵
28. 张飞从那条路上来，正撞着张任
29. 张飞与张任交马，战到十余合
30. 严颜引兵大进，张任火速回身
31. 张飞直追到城下，张任退入城拽起吊桥
32. 张飞向玄德夸耀夺了头功
33. 玄德询问张飞如何无军阻当长驱大进
34. 张飞诉说义释严颜之事，四十五处关隘皆降
35. 张飞引严颜见玄德，玄德脱黄金锁子甲赐之
36. 哨马回报黄忠、魏延败阵投东而去
37. 张飞请玄德分兵两路救援
38. 张飞在左，玄德在右，杀奔前来
39. 吴懿、刘璝见后面喊声起，慌退入城中
40. 吴兰、雷铜追赶黄忠、魏延，被玄德、张飞截住
41. 黄忠、魏延回马转攻，吴兰、雷铜投降
42. 玄德准降，收兵近城下寨
43. 张任失了二将，心中忧虑
44. 吴懿、刘璝建议决一死战，差人去成都告急
45. 张任定计：诈败引转城北，城内冲出截断
46. 刘将军辅公子守城，吴懿引兵冲出助战
47. 次日张任引数千人马出城搦战
48. 张飞出迎，与张任交锋十余合
49. 张任诈败绕城而走，张飞尽力追赶
50. 吴懿一军截住，张任引军复回围张飞
51. 赵云一队军从江边杀出，与吴懿交锋
52. 赵云一合生擒吴懿，救出张飞
53. 张飞问军师何在，赵云说军师已与主公相见
54. 张飞、赵云回寨见孔明、简雍、蒋琬
55. 孔明惊问如何先到，玄德具述义释严颜之事
56. 孔明贺曰：张将军能用谋，皆主公之洪福
