《三国演义》第六十五回事件列表
回目：马超大战葭萌关　刘备自领益州牧

【详细事件列表（120条）】
1. 阎圃劝张鲁勿助刘璋，马超挺身出请战
2. 马超感张鲁之恩，愿领军攻取葭萌关
3. 马超要生擒刘备，务要刘璋割二十州奉还
4. 张鲁大喜，先遣黄权从小路而回
5. 张鲁点兵二万与马超，庞德卧病留于汉中
6. 张鲁令杨柏监军，马超与马岱选日起程
7. 玄德军马在雒城，法正下书人回报
8. 郑度劝刘璋烧野谷仓廪，率巴西之民避涪水西
9. 玄德、孔明闻之大惊，若用此计势危矣
10. 法正笑曰此计虽毒，刘璋必不能用
11. 人传刘璋不肯迁动百姓，不从郑度之言
12. 玄德闻之方始宽心，孔明说速进兵取绵竹
13. 孔明遣黄忠、魏延领兵前进
14. 费观听知玄德兵来，差李严出迎
15. 李严领三千兵布阵，黄忠出马与李严战
16. 黄忠与李严战四五十合，不分胜败
17. 孔明在阵中教鸣金收军
18. 黄忠问正待要擒李严，军师何故收兵
19. 孔明说已见李严武艺，不可力取
20. 孔明教黄忠来日诈败，引入山峪出奇兵
21. 次日李严再引兵来，黄忠出战不十合诈败
22. 李严追赶，迤逦赶入山峪，猛然省悟
23. 李严急待回来，前面魏延引兵摆开
24. 孔明在山头说公如不降，两下已伏强弩
25. 孔明说要为庞士元报仇，李严慌下马卸甲投降
26. 军士不曾伤害一人，孔明引李严见玄德
27. 玄德待李严甚厚，李严说费观与某甚密
28. 李严愿往说费观投降，玄德即命李严回城
29. 李严入绵竹城，对费观赞玄德仁德
30. 李严说今若不降必有大祸，费观从其言
31. 费观开门投降，玄德遂入绵竹
32. 玄德商议分兵取成都
33. 流星马急报，孟达、霍峻守葭萌关被攻打
34. 东川张鲁遣马超与杨柏、马岱领兵攻打甚急
35. 救迟则关隘休矣，玄德大惊
36. 孔明说须是张、赵二将方可与敌
37. 玄德说子龙引兵在外未回，翼德已在此
38. 孔明说主公且勿言，容亮激之
39. 张飞闻马超攻关，大叫而入说要辞了哥哥去战
40. 孔明佯作不闻，对玄德说无人可敌
41. 孔明说除非往荆州取关云长来方可与敌
42. 张飞说军师何故小觑吾，曾独拒曹操百万之兵
43. 孔明说翼德拒水断桥是因曹操不知虚实
44. 孔明说马超之勇天下皆知，杀得曹操割须弃袍
45. 孔明说云长且未必可胜，张飞说只今便去
46. 张飞说如胜不得马超，甘当军令
47. 孔明说既尔肯写文书，便为先锋
48. 孔明请主公亲自去一遭，留亮守绵竹
49. 魏延说某亦愿往，孔明令魏延带五百哨马先行
50. 张飞第二，玄德后队，望葭萌关进发
51. 魏延哨马先到关下，正遇杨柏
