《三国演义》第六十七回事件列表

回目：曹操平定汉中地　张辽威震逍遥津

=== 详细事件列表（120条） ===

1. 曹操兴师西征汉中，分兵三队进发
2. 前部先锋夏侯渊、张郃先行
3. 曹操自领诸将居中调度
4. 后部曹仁、夏侯惇押运粮草
5. 细作报知汉中张鲁曹操来攻
6. 张鲁与弟张卫商议退敌之策
7. 张卫建议在阳平关设防
8. 张鲁遣大将杨昂、杨任往阳平关
9. 杨昂、杨任在关下十余寨栅
10. 夏侯渊、张郃前军到阳平关
11. 曹兵离关十五里下寨歇息
12. 杨昂、杨任夜劫曹寨
13. 夏侯渊、张郃大败退见曹操
14. 曹操欲斩二将，众官告免
15. 曹操次日引兵为前队探路
16. 曹操见山势险恶恐有伏兵
17. 曹操带许褚、徐晃看张卫寨栅
18. 杨昂、杨任从后杀出
19. 许褚力敌二将保护曹操
20. 夏侯渊、张郃接应杀退敌军
21. 两边相拒五十余日不交战
22. 曹操传令退军
23. 贾诩问曹操为何退军
24. 曹操说以退为进之计
25. 曹操令夏侯渊、张郃轻骑抄袭
26. 曹操引大军拔寨佯退
27. 杨昂欲乘势追击
28. 杨任苦谏杨昂不可追
29. 杨昂不听劝阻领兵前进
30. 当日大雾迷漫难行
31. 夏侯渊误入杨昂寨中
32. 曹军放火占领五寨
33. 杨任领兵来救已迟
34. 张郃从后夹攻杨任
35. 杨任杀条血路奔回南郑
36. 杨昂被张郃杀死
37. 张卫弃关奔回南郑
38. 曹操得阳平关并诸寨
39. 张卫、杨任回见张鲁请罪
40. 张鲁欲斩杨任
41. 杨任请战立功赎罪
42. 杨任领二万军下寨挑战
43. 夏侯渊哨探遇杨任军马
44. 昌奇出战被夏侯渊斩杀
45. 杨任出战与夏侯渊交锋
46. 夏侯渊用拖刀计斩杨任
47. 曹操进兵直抵南郑
48. 阎圃保举庞德出战
49. 张鲁召庞德厚加赏劳
50. 庞德领一万军马出战
51. 曹操知庞德勇武欲收降
52. 曹操令诸将与庞德缓斗
53. 张郃、夏侯渊、徐晃、许褚轮战
54. 庞德力战四将不惧
55. 众将夸赞庞德武艺
56. 贾诩献计贿赂杨松离间
57. 曹操选精细军校扮作汉中军士
58. 徐晃诈败弃寨
59. 庞德夺寨设宴庆贺
60. 三路曹军夜劫庞德寨
61. 庞德退入城中
62. 细作入城见杨松
63. 杨松收金甲答应离间
64. 杨松入见张鲁谮庞德
65. 张鲁大怒欲斩庞德
66. 阎圃苦谏免死
67. 庞德次日出战
68. 许褚诈败诱庞德
69. 曹操呼庞德投降
70. 庞德跌入陷坑被擒
71. 曹操亲释庞德之缚
72. 庞德情愿投降
73. 张鲁见庞德与操并马
