《三国演义》第六十八回事件列表

回目：甘宁百骑劫魏营　左慈掷杯戏曹操

=== 详细事件列表（120条） ===

1. 孙权在濡须口收拾军马
2. 曹操领四十万大军救合淝
3. 孙权令董袭、徐盛埋伏濡须口
4. 陈武引军巡哨江岸
5. 张昭建议先挫曹操锐气
6. 孙权问谁敢当先破敌
7. 凌统请战带三千军马
8. 甘宁只须百骑便可破敌
9. 凌统与甘宁当众争竞
10. 孙权命凌统带三千军哨探
11. 凌统遇张辽交锋五十合
12. 孙权令吕蒙接应凌统回营
13. 甘宁请命百骑劫曹营
14. 甘宁立军令状不折一人一骑
15. 孙权调拨百骑精锐付甘宁
16. 孙权赏酒五十瓶羊肉五十斤
17. 甘宁回营与百人共饮酒肉
18. 甘宁拔剑怒叱激励士气
19. 百人皆愿效死力
20. 约二更时劫寨以白鹅翎为号
21. 甘宁百骑飞奔曹营
22. 拔开鹿角杀入寨中
23. 曹兵惊慌自相扰乱
24. 甘宁百骑纵横驰骤逢人便杀
25. 从南门杀出无人敢当
26. 周泰引兵接应甘宁
27. 甘宁百骑回濡须不折一人
28. 营门前击鼓吹笛称万岁
29. 孙权亲自迎接甘宁
30. 孙权赐绢千匹利刀百口
31. 孙权赞甘宁足以敌张辽
32. 次日张辽引兵搦战
33. 凌统奋然请敌张辽
34. 凌统领兵五千出战
35. 孙权与甘宁临阵观战
36. 乐进出战与凌统交锋
37. 两将酣斗五十合不分胜败
38. 曹操亲自策马观战
39. 曹休暗放冷箭射中凌统马
40. 凌统被掀翻在地
41. 乐进持枪来刺凌统
42. 甘宁放箭救凌统
43. 箭中乐进而门落马
44. 两军各救主将回营
45. 凌统拜谢孙权
46. 孙权告知放箭者是甘宁
47. 凌统顿首拜谢甘宁
48. 凌统与甘宁结为生死之交
49. 曹操令乐进回帐调治
50. 曹操分兵五路袭濡须
51. 曹操自领中路
52. 左路张辽、李典
53. 右路徐晃、庞德
54. 董袭、徐盛在楼船观敌
55. 徐盛引数百人渡江杀入李典军
56. 董袭在船上擂鼓助威
57. 江上猛风大作白浪掀天
58. 军士争下脚舰逃命
59. 董袭立斩下船军士十余人
60. 风急船覆董袭死于江中
61. 陈武引军来助战
62. 陈武与庞德相遇混战
63. 孙权亲与周泰引军助战
64. 徐盛在李典军中搅杀
65. 张辽、徐晃困住孙权
66. 曹操令许褚杀入冲散孙权军
67. 周泰杀出寻不见孙权
68. 周泰复杀入阵中寻主公
69. 周泰寻见孙权奋力冲突
70. 周泰救孙权到江边
71. 周泰回头又不见孙权
72. 周泰复杀入重围救孙权
73. 周泰身被数枪箭透重铠
74. 吕蒙引水军接应下船
75. 周泰复入重围救徐盛
