《三国演义》第六十九回事件列表

回目：卜周易管辂知机　讨汉贼五臣死节

=== 详细事件列表（120条） ===

1. 曹操见群尸惊倒成疾
2. 许芝推荐神卜管辂
3. 许芝讲述管辂生平事迹
4. 管辂幼时喜观星不肯寐
5. 管辂与邻儿画地为天文
6. 管辂深明周易善相术
7. 琅琊太守单子春召见管辂
8. 管辂饮三升美酒谈易理
9. 管辂与子春论易从晓至暮
10. 众宾客叹服管辂为神童
11. 郭恩兄弟三人得躄疾
12. 管辂卜卦知女鬼作祟
13. 管辂说出郭家伯叔母害人往事
14. 郭恩涕泣伏罪
15. 安平太守王基延管辂至家
16. 信都令妻患头风子患心痛
17. 管辂卜知堂西角有二死尸
18. 掘地八尺果得二棺
19. 棺中有矛弓箭木已朽烂
20. 徙骸骨埋城外妻子无恙
21. 诸葛原迁新兴太守管辂送行
22. 诸葛原不信管辂覆射之术
23. 暗取燕卵蜂窠蜘蛛三物
24. 管辂卜卦各写四句于盒上
25. 燕卵诗：含气须变依乎宇堂
26. 蜂窠诗：家室倒悬门户众多
27. 蜘蛛诗：觳觫长足吐丝成罗
28. 满座惊骇
29. 老妇失牛求卜
30. 管辂判曰北溪之滨七人宰烹
31. 老妇寻见七人煮食皮肉尚存
32. 告本郡太守刘?捕七人罪之
33. 刘?不信请管辂至府
34. 取印囊山鸡毛藏盒中令卜
35. 管辂卜印囊诗：内方外圆五色成文
36. 管辂卜山鸡毛诗：岩岩有鸟锦体朱衣
37. 刘?大惊待管辂为上宾
38. 管辂郊行见少年赵颜耕田
39. 管辂见赵颜眉间有死气
40. 预言三日内必死
41. 赵颜父哭求救子
42. 管辂教赵颜备酒脯往南山
43. 寻大树盘石下二人弈棋
44. 穿白袍者貌恶穿红袍者貌美
45. 赵颜跪进酒脯二人贪棋不觉
46. 赵颜哭拜求寿
47. 穿红袍者说必管子之言
48. 穿白袍者取簿籍检看
49. 赵颜十九岁当死添一九字可至九十九
50. 二人化作白鹤冲天而去
51. 管辂解说穿红者南斗穿白者北斗
52. 北斗注死南斗注生
53. 管辂从此不轻为人卜
54. 曹操差人召管辂
55. 管辂至参拜曹操
56. 管辂说此幻术不必为忧
57. 曹操心安病渐可
58. 管辂卜天下之事
59. 卜辞：三八纵横黄猪遇虎
60. 定军之南伤折一股
61. 卜传祚修短之数
62. 卜辞：狮子宫中以安神位
63. 王道鼎新子孙极贵
64. 曹操欲封管辂为太史
65. 管辂辞谢命薄相穷
66. 管辂自相额无主骨眼无守睛
67. 鼻无梁柱脚无天根
68. 背无三甲腹无三壬
69. 只可泰山治鬼不能治生人
70. 曹操问管辂相己若何
71. 管辂答位极人臣何必相
