##标题：
卷九十 魏豹彭越列传第三十

##详细版：
1. 魏咎立为魏王：魏咎本是原魏国宁陵君，秦灭魏后沦为平民。陈胜起义后，魏咎追随陈胜，周市攻占魏地后拒绝自立为王，五次往返迎接魏咎，陈王最终立魏咎为魏王。

2. 魏咎自焚殉国：章邯打败陈王后进兵临济攻打魏王，魏咎派周市向齐楚求救，援军被章邯击败，周市战死。魏咎为保全百姓签订投降盟约后自焚而死。

3. 魏豹再起：魏豹逃到楚国，楚怀王给他几千人收复魏地。魏豹攻下二十多座城池，项羽此时已降章邯，便立魏豹为魏王，魏豹随后率精兵随项羽入关。

4. 魏豹改封西魏王：汉元年，项羽分封诸侯，因想占有梁地，将魏王魏豹迁到河东，建都平阳，改称西魏王。

5. 魏豹归汉又反：汉王平定三秦后，魏豹归降汉王并随其攻打楚国。汉王彭城兵败后，魏豹以探母病为由回国，随后断绝黄河渡口背叛汉王。

6. 魏豹拒绝归降：汉王派郦生游说魏豹，魏豹以汉王轻慢侮辱诸侯如同家奴为由拒绝，并表示不愿忍气吞声。

7. 魏豹被俘被杀：汉王派韩信攻打魏豹，将其俘虏用驿车送到荥阳，让他守荥阳。楚军围攻荥阳紧急时，周苛杀了魏豹。

8. 彭越钜野为盗：彭越本是昌邑人，字仲，常居钜野泽中打鱼为盗。陈胜项梁起义时，彭越观察局势暂不行动，等待时机。

9. 彭越立威治军：一年多后，泽中百余名青年执意拥戴彭越为首领。彭越与众人约定日出集合，最后到者斩。最后一人中午才到，彭越杀之立威，设坛祭祀发布命令，众人畏惧不敢仰视。

10. 彭越协助沛公：沛公从砀县北攻昌邑时，彭越曾协助，但昌邑未攻下。沛公西去后，彭越继续在钜野泽收编魏国散兵。

11. 彭越攻楚扬名：项籍分封诸侯后，彭越万余人马无所属。汉元年秋，齐王田荣背叛项王，赐彭越将军印信，彭越击败楚将萧公角。

12. 彭越归汉封相：汉王二年春，彭越率三万余人在外黄归附汉王，被任命为魏国相国，专掌军队，平定梁地。

13. 彭越游兵破楚：汉王彭城失败后，彭越失去所占城邑，率部在黄河边继续抵抗。汉王三年，彭越为游兵，在梁地断绝楚军粮草。

14. 彭越攻城略地：汉四年冬，彭越攻下睢阳、外黄等十七座城邑。项王东攻收复失地后，彭越北逃谷城。

15. 彭越供给军粮：汉五年秋，项王南逃阳夏，彭越又攻下昌邑附近二十多座城邑，获得谷物十万多斛，供给汉王军粮。

16. 彭越受封梁王：汉王派使者召彭越共击楚军，彭越托词魏地初定未赴。在留侯建议下，汉王许诺封彭越为梁王，彭越才率军会师垓下，打败楚国，后被正式封为梁王，定都定陶。

17. 彭越朝见皇帝：汉六年、九年、十年，彭越都到长安朝见汉高帝，保持臣属礼节。

18. 彭越称病惹祸：汉十年秋，陈豨在代地造反，高帝亲征到邯郸，向彭越征兵。彭越声称有病，只派部将率兵前往，高帝大怒派人责备。

19. 彭越拒绝谋反：彭越害怕欲亲自谢罪，部将扈辄劝其造反，彭越未听仍称病。后彭越恼怒太仆欲斩之，太仆逃至高帝处告发彭越谋反。

20. 彭越流放遇祸：高帝派使者逮捕彭越，将其囚禁在洛阳。经审理后，高帝赦免其死罪，废为平民流放到蜀郡青衣县。

21. 彭越惨遭灭族：彭越西行至郑地，遇到从长安来的吕后，向其哭诉无罪，请求回昌邑。吕后表面答应，却将其带回洛阳，劝说高帝除掉彭越。吕后让彭越家臣告其再次谋反，廷尉王恬开奏请灭族，最终彭越被灭族，封国废除。

##简化版：
1. 魏氏兄弟兴亡：魏咎为保全百姓自焚殉国，魏豹被楚怀王重用收复魏地，后被项羽改封西魏王，因不满汉王轻慢而背叛，最终被韩信俘虏，后在荥阳被杀。

2. 彭越崛起：彭越本在钜野泽为盗，后受青年拥戴，通过严格治军立威，协助沛公作战，在齐楚之争中崭露头角。

3. 彭越归汉立功：彭越率部归汉后任魏国相国，在楚汉战争中多次切断楚军粮草，攻下多座城邑，供给汉王军粮，为汉平定天下立下大功。

4. 彭越封王受宠：彭越在垓下之战前因汉王封王许诺而参战，战后被封为梁王，多次到长安朝见皇帝，地位尊崇。

5. 彭越冤死：陈豨造反时彭越称病未亲征，被太仆告发谋反，虽经审理后高帝仅判流放蜀地，却在途中遇到吕后，最终被设计再次谋反罪，遭灭族，封国废除，结局悲惨。

##极简版：
1. 魏豹反复：魏豹先随项羽后投汉王，又背叛汉王，最终被韩信俘虏，在荥阳被杀。

2. 彭越军功：彭越从钜野泽盗匪到魏国相国，在楚汉战争中切断楚军粮道，供给汉军粮草，为汉王朝建立立下大功。

3. 彭越之死：彭越封梁王后，因称病未亲自带兵平叛陈豨，被太仆告发谋反，虽判流放蜀地，最终被吕后设计以再次谋反罪灭族。

##绘图提示词：
彭越在钜野泽设坛立威场景，清晨旷野中，彭越身着粗布战袍，手持长剑，严肃斩杀迟到者，身后树立简易祭坛，青年们惊恐畏惧不敢仰视，晨光透过云层照射在众人身上，气氛威严而紧张。
