卷九十二 淮阴侯列传第三十二

详细版事件：
1. 韩信少时虽贫，母死即寻高敞地安葬，志与众异
2. 韩信无以为生，常从人寄食，下乡南昌亭长妻厌之，晨炊蓐食
2. 韩信受漂母赠食数十日，承诺将来重报
3. 韩信受胯下之辱，隐忍不发
4. 项梁渡淮，韩信仗剑从之，默默无闻
5. 项梁败死后，韩信归属项羽，任郎中，多次献策不被采纳
6. 刘邦入蜀，韩信逃亡归汉，任连敖，后因事当斩，临刑呼救被滕公救下
7. 滕公(夏侯婴)向刘邦推荐韩信，称其为壮士，韩信升为治粟都尉
8. 韩信与萧何多次交谈，得到萧何赏识
9. 汉军至南郑，诸将逃亡，韩信亦逃亡，萧何连夜追回
10. 萧何力荐韩信，刘邦择日设坛拜韩信为大将
11. 韩信分析楚汉形势，建议刘邦北取三秦
12. 刘邦用韩信计，举兵东出陈仓，平定三秦
13. 刘邦兵败彭城后，韩信收兵与刘邦会于荥阳，击破楚军
14. 韩信破魏豹，平定魏地，改为河东郡
15. 韩信与张耳东下井陉击赵，背水列阵破赵军二十万
16. 韩信斩陈余，擒赵王歇，平定赵国
17. 韩信采纳广武君李左车之计，遣使说降燕国
18. 刘邦成皋兵败，夺韩信军权，命其收赵兵攻齐
19. 韩信乘齐不备袭破历下军，直逼临淄
20. 齐王烹杀郦生，走高密向楚求救
21. 龙且率楚军二十万救齐，与韩信夹潍水对阵
22. 韩信壅水破楚军，杀龙且，平定齐地
23. 韩信遣使请为假齐王，刘邦封其为齐王
24. 武涉说韩信叛汉联楚，韩信拒绝
25. 蒯通以相术说韩信三分天下，韩信犹豫不忍背汉
26. 刘邦围项羽于垓下，韩信率军会师，最终灭楚
27. 刘邦袭夺韩信军权，改封其为楚王，都下邳
28. 韩信至楚，赐漂母千金，赐南昌亭长百钱
29. 韩信任曾侮辱自己的少年为楚中尉
30. 钟离昧投韩信，刘邦下诏追捕
31. 有人告韩信谋反，刘邦伪游云梦，擒韩信
32. 刘邦赦韩信罪，降为淮阴侯
33. 韩信称病不朝，羞与绛灌等同列，曾过樊啥，哙跪拜迎送称臣，信出门笑曰："生乃与哙等为伍"
34. 刘邦与韩信论诸将才能，韩信言刘邦能将十万，自己多多益善
35. 陈豨拜钜鹿守，韩信与之密谋：若有人告变，可起兵响应，韩信将从内部协助
36. 陈豨反，刘邦亲征，韩信称病不从
37. 韩信谋诈诏赦官徒奴，欲袭吕后、太子
38. 韩信舍人弟告发，吕后与萧何设计，伪称陈豨已死，群臣皆贺，萧何骗韩信入宫庆贺
39. 韩信被斩于长乐宫钟室，临死悔不用蒯通计
40. 刘邦回朝，闻韩信死，且喜且怜之
41. 刘邦擒蒯通，蒯通以狗吠尧喻之，得赦免
42. 太史公论韩信：言其少时志与众异，母死虽贫仍寻高敞地；惜其不能学道谦让，天下既定仍谋反，宗族夷灭宜哉

简化版事件：
1. 韩信早年贫困受辱，后投刘邦，经萧何力荐拜为大将
2. 韩信率军定三秦、破魏赵、降燕、平齐，功高盖世
3. 韩信拒武涉、蒯通之劝，助刘邦灭楚，后被徙为楚王
4. 韩信被告谋反，降为淮阴侯，终因谋反而被吕后诛杀
5. 太史公评韩信不能谦让，故至宗族夷灭

极简版事件：
1. 韩信经萧何推荐，拜为大将
2. 韩信定三秦、破魏赵、平齐地，战功卓著
3. 韩信被疑谋反，降为淮阴侯，最终被吕后所杀
4. 太史公论韩信成败，惋惜其结局

绘图提示词：
韩信背水一战：战场场景，韩信立高处指挥，汉军背水列阵，士气激昂，对面是赵王歇和陈余的赵军。远处可见井陉口地形，战场氛围紧张激烈。突出韩信的指挥若定与汉军的决死一战精神。
