卷九十四 田儋列传第三十四

详细版事件：
1. 田儋出身狄县田氏宗族，与堂弟田荣、田横均为豪强，宗族势力强大
2. 陈涉起义时，田儋假称要杀家奴求见县令，借机杀死狄县县令，自立为齐王
3. 田儋率兵击退周市军队，向东平定齐地
4. 秦将章邯围攻临济的魏王魏咎，田儋率兵救援，被章邯夜袭杀死
5. 田荣收拾残部逃至东阿，齐人立田假为齐王，田角为相，田闲为将
6. 章邯追击包围田荣于东阿，项梁率军救援击败章邯
7. 田荣怨恨齐国立田假为王，回齐驱逐田假，田假逃楚，田角逃赵，田闲留赵
8. 田荣立田儋之子田市为齐王，自任相国，田横为将，平定齐地
9. 项梁追击章邯时兵力不足，要求齐赵发兵相助，田荣提出杀田假、田角、田闲的条件
10. 楚怀王和赵王拒绝田荣条件，田荣拒绝出兵，导致项梁被章邯击败杀死
11. 项羽分封诸侯时，改封田市为胶东王，封田都为齐王，田安为济北王，未封田荣
12. 田荣派兵帮助陈余在赵地造反，同时抗击田都，田都败逃楚国
13. 田荣扣留田市不让其去胶东即位，田市恐惧逃往胶东
14. 田荣追杀田市于即墨，攻杀济北王田安，自立为齐王，兼并三齐之地
15. 项羽大怒北伐齐国，田荣兵败逃至平原被杀，项羽烧平齐国城郭，屠杀人众
16. 田横收聚齐军散卒数万，在城阳反攻项羽
17. 刘邦攻占彭城，项羽回师攻汉，田横收复齐地，立田荣之子田广为齐王，自任相国独揽大权
18. 田横平定齐国三年后，刘邦派郦食其劝降，田横解除历下守备
19. 韩信采纳蒯通计谋，趁齐无备袭击历下，攻占临淄
20. 田横烹杀郦食其，田广逃高密，田横逃博地，田光逃城阳，田既守胶东
21. 楚国派龙且救援齐国，田广与龙且在高密会师
22. 韩信、曹参打败齐楚联军，杀死龙且，俘虏田广
23. 灌婴追击抓获田光，田横听说田广已死，自立为齐王
24. 田横回兵攻打灌婴，在赢县城下被打败，逃往梁地归附彭越，此时彭越占据梁地，保持中立，既帮汉，又帮楚
25. 曹参进军胶东杀死田既，灌婴在千乘杀死田吸，韩信平定齐国
26. 刘邦消灭项羽后称帝，封彭越为梁王，田横怕遭杀害，率五百余人逃入海岛
27. 刘邦派使者赦免田横并召见，田横以烹杀郦食其、惧怕郦商为由拒绝
28. 刘邦命令郦商不得伤害田横，再次派使者威胁如不肯来将派兵征讨
29. 田横与两个门客前往洛阳，距洛阳三十里到尸乡驿站
30. 田横认为向刘邦称臣是耻辱，且愧对郦商，决定自杀以保持尊严
31. 田横自刎前称"陛下所以想见我，不过想看看我的面貌，现在割下头颅奔驰三十里，面容还不会腐败"，随后自刎，门客捧着他的头颅快马送至高祖面前
32. 高祖赞叹田横气节，为之落下眼泪，任命其两门客为都尉，发兵二千人，用国王的礼仪安葬田横
33. 安葬田横后，两门客在其墓旁挖洞自杀殉死
34. 高祖派人召岛上其余五百人，他们得知田横已死，全部自杀
35. 太史公评价蒯通的计谋太过分了，它败乱了齐国、骄纵了淮阴侯，最终把田横和韩信这两个人送上死路
36. 蒯通擅长纵横术，著书八十一篇，与安期生交好
37. 安期生曾向项羽献计未被采纳，后拒绝项羽封拜而逃走
38. 太史公称赞田横高风亮节，能得士人之心

简化版事件：
1. 田儋杀狄县县令自立为齐王，后救援魏咎时被章邯所杀
2. 田荣立田市为齐王，拒绝出兵助楚攻秦，导致项梁兵败被杀
3. 田荣不满项羽分封，追杀田市、田安，自立为齐王，后被项羽击败杀死
4. 田横收复齐地立田广为王，后因韩信突袭，田广被俘，田横逃往海岛
5. 田横不愿向刘邦称臣，在尸乡驿站自杀，其门客五百余人亦追随自杀

极简版事件：
1. 田儋自立为齐王，战死
2. 田荣逐田假，拒救楚，后败亡
3. 田横收复齐地，韩信破齐，田横逃往海岛
4. 田横不愿降汉自杀，五百门客殉死

绘图提示词：
田横五百士：描绘田横与五百门客在海岛上的场景，田横身材魁梧，表情坚毅，门客们围绕四周，有人持剑，有人捧书，背景是浩瀚大海和孤岛。画面应体现出悲壮的英雄气概和深厚的主客情谊。
