卷九十六 张丞相列传第三十六

详细版事件：
1. 张苍是阳武人，喜好音律历法书籍，秦朝时曾任御史，主管柱下史的各地文书
2. 张苍因犯罪逃回家乡，沛公攻打南阳时路过阳武，他以门客身份跟随沛公
3. 张苍曾犯法被判斩首，因身材高大肥白如葫芦，王陵惊奇而向沛公求情赦免
4. 张苍跟随沛公西入武关，一直打到咸阳，随汉王进入汉中，回师平定三秦
5. 陈余打跑张耳后，张耳投奔汉王，张苍被任命为常山郡郡守，跟随韩信攻打赵国
6. 张苍跟随淮阴侯韩信进攻赵国，俘获陈余，赵地平定后被任命为代国丞相
7. 张苍改任赵国丞相，辅佐赵王张耳，张耳死后辅佐赵王张敖，后又调去辅佐代王
8. 燕王臧荼反叛，张苍以代国丞相身份跟随高祖征讨有功，汉六年被封为北平侯，食邑一千二百户
9. 张苍提升为计相，一个月后以列侯身份改任主计达四年之久，在相国府统管郡县侯国户口钱粮账目
10. 黥布反叛被杀后，高祖立刘长为淮南王，任命张苍辅佐淮南王
11. 十四年后张苍被提升为御史大夫，后与绛侯等人共同尊立代王为孝文皇帝
12. 文帝四年丞相灌婴逝世，张苍担任丞相，整理订正音律历法，推演五德运转规律
13. 张苍认为汉代正值水德时期，仍然崇尚黑色，用律管调节音值，制定律令条文
14. 张苍生性爱好读书，无所不读，尤其擅长音律历法，完成汉代音律历法基础工作
15. 张苍非常感激王陵，显贵后仍像侍奉父亲那样对待王陵，王陵死后常先拜见王陵夫人
16. 张苍任丞相十几年后，鲁国人公孙臣上书说汉朝应属土德时期，有黄龙出现征兆
17. 张苍认为公孙臣议论不对而罢斥不用，后黄龙在成纪出现，文帝召见公孙臣任命为博士，与诸生申明土德，草拟改制历法服饰等事
18. 张苍因保举的中候贪赃枉法被文帝责备，于是告病免职，担任丞相十五年而免官，时年百余岁
19. 张苍孝景帝前元五年逝世，谥号文侯，其子康侯继嗣，继位八年去世
20. 张苍孙子张类继嗣，继位八年因给诸侯吊丧迟到犯不敬之罪，封国被废除
21. 张苍父亲身高不满五尺，张苍身高八尺有余，封侯拜相，其子也长得高，孙子只有六尺多
22. 张苍免职后年老齿落，只能吃人奶，妻妾数以百计，怀孕者不再交合，活到一百多岁去世
23. 周昌是沛县人，堂兄周苛，秦朝时都在泗水郡当卒史
24. 高祖在沛县起兵后，周昌、周苛以卒史身份跟随，周昌管理徽章旗帜，周苛为随从门客
25. 汉王四年，楚军包围汉王于荥阳，汉王逃出，留周苛守卫荥阳城
26. 楚军攻破荥阳，项羽想让周苛做楚军将领，周苛拒绝并辱骂项羽，被烹杀
27. 汉王任命周昌为御史大夫，跟随击败项羽，汉六年与萧何、曹参同时受封为汾阴侯
28. 周苛儿子周成因父为汉而死被封为高景侯
29. 周昌为人强悍有力，在皇帝面前敢直言，萧何、曹参等人都敬畏他
30. 周昌在高帝休息时进宫奏事，见高帝抱着戚姬转身就走，高帝骑在他脖子上问话
31. 周昌仰头说高帝是夏桀、商纣那样的君主，高帝笑了但特别敬畏周昌
32. 高帝打算废黜太子立戚姬儿子如意为太子，周昌在朝廷上极力争谏
33. 周昌有口吃毛病，愤怒中说"期期不能奉命"，高帝高兴笑了，废太子事作罢
34. 吕后在东厢房偷听，事后对周昌欠身道谢，说若没有周昌太子几乎被废
35. 戚姬儿子如意被封为赵王，才十岁，高祖担忧死后赵王不能保全
36. 赵尧担任符玺御史，方舆公赵广对周昌说赵尧年岁虽少却是奇才，将来要代替周昌职位
37. 赵尧侍奉高祖时，看出高祖闷闷不乐是因为担心赵王年小而戚夫人与吕后有矛盾
38. 赵尧建议给赵王派地位尊贵强有力的丞相，推荐周昌，高祖采纳
39. 高祖召见周昌，请他勉力辅佐赵王，周昌流泪说陛下怎么忍心中途把他扔到诸侯国
40. 高祖说这是降级使用但担心赵王，非周昌不能当此重任，调周昌为赵国丞相
41. 周昌走后，高祖任命赵尧为御史大夫，赵尧随高祖征讨陈豨立功，高祖逝世后赵尧继续侍奉惠帝
42. 高祖逝世后，吕后召赵王，周昌让赵王推说生病不去，往返三次周昌仍坚持
43. 吕后召周昌进京，愤怒大骂周昌不知道怨恨戚氏，周昌被召进京后赵王果然来京
44. 赵王到长安一个多月被用药毒死，周昌告病不上朝，三年后去世
45. 吕后得知赵尧在高祖时订下保全赵王计划，怨恨赵尧不帮助吕氏，把赵尧治罪免职，任命任敖为御史大夫
46. 任敖是秦朝沛县狱吏，高祖逃避官司时狱吏拘捕吕后且不礼貌，任敖打伤狱吏
47. 高祖起兵时，任敖以宾客身份跟从担任御史，守卫丰邑两年，后被提升为上党郡守
48. 陈豨反叛时任敖坚守上党，被封为广阿侯，食邑一千八百户
49. 吕后当政时任敖做御史大夫，三年后被免职，任命平阳侯曹窋为御史大夫
50. 吕后逝世后，曹窋和大臣们共同诛杀吕禄等人，后被免职，任命张苍为御史大夫
51. 申屠嘉是梁人，以能开硬弓的材官身份跟随高祖攻打项羽，被提升为队长，淮阴侯韩信攻下代地后申屠嘉为代国丞相
52. 申屠嘉随高祖征讨黥布叛军担任都尉，孝惠帝时任淮阳郡郡守
53. 孝文帝元年，申屠嘉因跟随高皇帝官至二千石被封为关内侯，得到食邑五百户
54. 张苍担任丞相后，申屠嘉升为御史大夫，张苍被免职后申屠嘉被任命为丞相
55. 申屠嘉被封为故安侯，为人清廉正直，在家不接待私人拜访
56. 太中大夫邓通深受文帝宠幸，赏赐钱财累计万万，在文帝身旁礼节怠慢
57. 申屠嘉上朝时进言说陛下宠幸臣子可让他富贵，但朝廷礼节不可不严肃
58. 申屠嘉回到丞相府召邓通前来，若不来就要杀头，邓通恐惧进宫告诉文帝
59. 文帝让邓通去丞相府，邓通摘帽赤脚叩头谢罪，申屠嘉斥责他犯大不敬之罪应处斩首
60. 邓通叩头满头出血，文帝派使者带符节召邓通，对丞相道歉说他是供我狎玩的臣子
61. 邓通回宫对文帝哭说丞相差点儿把他杀了
62. 申屠嘉任丞相五年后孝文帝逝世，孝景帝继位，二年后晁错担任内史受宠当权
63. 晁错建议用贬降处罚办法削弱诸侯国势力，申屠嘉惭愧意见不被采纳，怨恨晁错
64. 晁错因内史衙门不便在南面另开一门，正对太上皇庙外墙，申屠嘉想借此法办晁错
65. 晁错门客告知此事，晁错连夜进宫向景帝自首，第二天申屠嘉奏请诛杀晁错
66. 景帝说晁错打穿的不是宗庙正式围墙而是外墙，是景帝让他做的，晁错没有罪
67. 申屠嘉后悔没有先斩晁错而先奏请，被晁错出卖，回家吐血而死，谥号节侯
68. 申屠嘉儿子共侯继位，继位三年逝世，其子申屠去病继位，继位三十一年逝世
69. 申屠去病儿子申屠臾继位，继位六年因在九江太守任上接受原先属官馈赠犯罪，侯国被废除
70. 申屠嘉死后，景帝时开封侯陶青、桃侯刘舍相继担任丞相，武帝时柏至侯许昌、平棘侯薛泽、武强侯庄青翟相继为相
71. 武帝时车千秋丞相死后，韦丞相韦贤代替，韦贤由读书起家做小吏，官至大鸿胪
72. 相面先生给韦贤看相说他会做丞相，韦贤有四子，相面先生说次子韦玄成将来会受封
73. 韦贤果然做了丞相，长子有罪不得继嗣，立韦玄成袭爵，韦玄成装疯不肯袭爵
74. 韦玄成最终继承爵位，博得辞让封国好名声，后因骑马到皇帝宗庙犯不敬之罪降为关内侯
75. 韦丞相死后，魏丞相代替，魏相从办事文官做到丞相，喜欢武艺，要求手下官员佩剑
76. 京兆尹赵君被魏相上奏检举有罪，派人抓住魏相想让其开脱，魏相不听
77. 赵君又派人威吓魏相，拿魏相夫人杀害女仆事上奏，派官兵包围丞相府抓人
78. 丞相司直繁君劾奏赵君威胁丞相诬告，查出赵君擅自遣散骑士，赵京兆被判处腰斩
79. 魏相最后病死在丞相任上，其子继嗣后因骑马到皇帝宗庙犯不敬之罪降为关内侯
80. 魏丞相死后，邴吉代替，邴吉靠读书熟悉法令做到御史大夫，孝宣帝时因旧交情被封为列侯
81. 邴吉接着做丞相，明察事理有智慧，后世称颂，病死在丞相任上
82. 邴吉儿子邴显继承爵位，官至太仆，因耗费钱财和贪赃枉法被罢黜为百姓
83. 邴丞相死后，黄霸代替，黄霸是淮阳人，由读书做小吏官至颍川太守
84. 黄霸治理颍川用礼义和律令教化百姓，劝谕犯人自杀，教化畅行名声传到朝廷
85. 孝宣帝下诏称赞黄霸，赐关内侯爵位黄金百斤，后征调为京兆尹并做到丞相
86. 黄霸死在丞相任上，其子继嗣后升为列侯，黄丞相死后于定国代替，于定国后韦玄成代替
87. 于丞相离位后，韦玄成代替担任丞相，韦玄成是邴丞相兄子，年轻时喜欢读书
88. 韦玄成从小吏做到卫尉，升为太子太傅，后升为御史大夫，于丞相辞去后担任丞相
89. 韦玄成被封为扶阳侯，几年后生病去世，孝元帝亲自祭奠赏赐很多东西
90. 韦玄成治理政事随波逐流，被批评为谄媚乖巧，其子继嗣侯爵
