##标题：
卷一百三 万石张叔列传第四十三

##详细版：
1. 石奋初入仕途：石奋十五岁为小官吏侍奉高祖，因恭敬有礼被喜爱，姐姐被召为美人，石奋任中涓负责文书。
2. 累积功升至大夫：到孝文帝时，石奋积累功劳官至大中大夫，虽无文才学问但恭敬谨慎无人能比。
3. 担任太子太傅：文帝时束阳侯张相如被免职，众人推举石奋任太子太傅，景帝即位后升为九卿。
4. 万石君称号由来：石奋四个儿子都做到二千石官，景帝称"石君和四个儿子都做到二千石"，故称万石君。
5. 告老还家生活：孝景帝末年万石君按上大夫俸禄告老，过宫门必下车，见天子车马必俯按横木示敬。
6. 严格家教规矩：子孙为官回家拜见，万石君必着朝服接见，子孙有过失不责备，坐偏座对案不食。
7. 石建孝行突出：石建为郎中令，每五日休假回家，亲自为父亲洗涤内衣溺器，不敢让父亲知道。
8. 石庆醉酒受责：内史石庆醉归入外门不下车，万石君不食，石庆恐惧袒身请罪，全家请罪才得原谅。
9. 万石君去世：万石君元朔五年去世，长子石建痛哭哀伤扶杖行走，一年多后石建也去世。
10. 石建谨慎过度：石建上书奏事，发现"马"字少写一笔非常惶恐，做事谨慎小心到了极点。
11. 石庆数马答问：石庆为太仆驾车，皇上问几匹马，用马鞭点数后举手答"六匹马"，最为随便仍如此谨慎。
12. 石庆治理齐国：石庆任齐相，齐国人都倾慕其家德，不用发话齐国安定，人为建石相祠。
13. 石庆升任丞相：元鼎五年丞相被罢免，皇上令御史大夫石庆任丞相封牧丘侯，因万石君受先帝尊重。
14. 石庆为相九年：石庆为相时国家多事，政事不经丞相决定，只是忠厚谨慎，九年无匡辅朝政言论。
15. 流民事件辞职：元封四年关东流民二百万，石庆惭愧上书辞职，皇上责备后石庆又上朝处理政事。
16. 石庆去世家衰：太初二年石庆去世谥号恬侯，子孙做官二千石者十三人，死后有人免职家风衰落。
17. 卫绾忠厚得宠：卫绾凭车技为郎官，文帝临死嘱咐景帝善待卫绾，景帝即位一年多未责备卫绾。
18. 卫绾封侯拜相：卫绾率军平吴楚叛乱有功封建陵侯，后任御史大夫，五年后代替刘舍为丞相。
19. 卫绾罢免去世：卫绾为相三年景帝去世，武帝建元年间因景帝病时囚犯无辜受累被免职，后去世。
20. 直不疑代人受过：直不疑同屋错拿金子，被疑为直不疑所拿，直不疑买金偿还，后真相大白人称忠厚长者。
21. 直不疑受封：吴楚叛乱时直不疑率军攻击，景帝后元元年任御史大夫，因功封塞侯，建元年间与卫绾同被罢免。
22. 周仁谨慎守密：周仁为郎中令，不泄露别人私事，常穿破衣湿裤受宠，景帝去世后无建树。
23. 张欧仁爱为官：张欧为御史大夫，未曾说要查办人，专门以诚恳忠厚态度做官，流着眼泪封不可退回案件。
24. 太史公评论：万石君等人言语迟钝行动敏捷，教化不峻严而成功，不苛刻而治理好，可称敦厚君子。

##简化版：
1. 万石君家族兴起：石奋十五岁侍奉高祖，因恭敬有礼得赏识，四子皆官至二千石，故称万石君，以孝谨闻名。
2. 严格家教授业：万石君告老后仍严守礼节，子孙有过失坐偏座不食，石建亲自为父洗溺器，石庆醉归不下车受责。
3. 石庆官至丞相：石庆从齐相升任太子太傅，后任丞相九年，国家多事时只是忠厚谨慎，无匡辅朝政言论。
4. 卫绾忠厚封侯：卫绾凭车技为郎，文帝临死嘱景帝善待，平吴楚叛乱有功封建陵侯，后任丞相三年。
5. 直不疑德行：直不疑代人受过偿还金子，人称忠厚长者，平叛有功封塞侯，学习老子不喜立名。
6. 周仁张欧为官：周仁为郎中令不泄私事受宠，张欧为御史大夫仁爱为官，流着眼泪封案。
7. 家风传承衰落：万石君子孙多官至二千石，石庆去世后有人免职家风衰落，各人子孙皆做到大官。
8. 太史公评价：万石君等人言语迟钝行动敏捷，教化不严而成功，治理不苛而很好，可称敦厚君子。

##极简版：
1. 万石君孝谨传家：石奋以恭敬谨慎得高祖赏识，四子皆官至二千石，家族以孝谨严教闻名，子孙多显贵。
2. 石庆忠厚为相：石庆继承家风，官至丞相九年，国家多事时忠厚谨慎，流民事件中欲辞职被责备。
3. 卫绾直不疑德行：卫绾忠厚得文帝临终嘱托，平叛封侯拜相；直不疑代人受过，人称忠厚长者封塞侯。
4. 周仁张欧仁厚：周仁为郎中令不泄私事受宠，张欧为御史大夫仁爱为官，皆以敦厚著称。
5. 家风兴衰启示：万石君家族以孝谨兴起，子孙多显贵，但后期家风衰落，体现敦厚君子品格。

##绘图提示词：
汉初敦厚君子群像图：画面中央万石君石奋身着朝服端坐，左侧长子石建手持溺器体现孝行，右侧四子石庆驾车数马显谨慎；上方卫绾手持宝剑体现清廉，直不疑手捧金子代人受过；下方周仁穿破衣湿裤，张欧流泪封案。背景是汉代宫殿，有"孝谨传家"、"敦厚君子"匾额，整体体现言语迟钝行动敏捷、教化不严而成功、不苛刻而治理好的主题。采用汉代壁画风格，色彩古朴，人物表情庄重慈祥。
