##标题：
卷一百四 田叔列传第四十四

##详细版：
1. 田叔初入仕途：田叔是赵国陉城人，喜好剑术，研习黄老学术，为人严正清廉，被赵国人举荐给丞相赵午。
2. 赵王举荐为郎中：赵午将田叔汇报给赵王张敖，赵王让他做了郎中，几年间切峻正直廉洁公平，赵王认为他贤能。
3. 贯高谋反事件：高祖路过赵国时傲慢骂赵王，赵午等人欲反上，赵王咬指阻止，但贯高等人私下密谋杀高祖。
4. 田叔忠心护主：贯高谋反事发，赵王张敖被捕，田叔等十几人穿囚衣剃发钳颈，自称赵王家奴跟随到长安。
5. 孟舒云中太守：赵王出狱后举荐田叔等人，皇上召见后任命他们为郡守或诸侯国丞相，田叔任汉中郡守十多年。
6. 孝文帝问忠厚长者：文帝即位后召见田叔询问天下忠厚长者，田叔推荐原云中太守孟舒。
7. 为孟舒辩护：孟舒因匈奴入侵被免职，田叔解释孟舒不忍心驱使疲劳士卒作战，实为忠厚长者。
8. 孟舒复职：皇上听后认为孟舒贤能，重新召见他任命为云中太守。
9. 田叔丢官：几年后田叔因犯法丢了官职。
10. 查办梁孝王：景帝召见田叔派他去梁国查办梁孝王刺杀袁盎案，田叔了解案情后回来报告。
11. 保护梁王：田叔建议皇上不要追究梁王，否则太后忧虑，景帝认为他贤能任命他为鲁国丞相。
12. 鲁国百姓控诉：田叔刚到任，百姓控诉鲁王夺取财物，田叔笞打为首者并责备他们谈论君主。
13. 鲁王惭愧还钱：鲁王听说后很惭愧，拿出内库钱让丞相偿还，田叔拒绝参与，鲁王自己全部偿还。
14. 陪伴鲁王打猎：鲁王喜好打猎，田叔经常跟随，烈日下等待鲁王，鲁王因此不大经常出外游猎。
15. 田叔去世：几年后田叔在任期间去世，鲁国用百斤黄金祭祀，其子田仁不肯接受。
16. 田仁初入仕途：田仁身体强健做卫将军舍人，数次抗击匈奴，被举荐为郎中，后任丞相长史。
17. 任安早年经历：任安年少丧父贫困，替人驾车到长安，定居武功做求盗亭卒，后任亭长。
18. 任安公平分配：任安替人分配猎物，公平安排老人小孩壮丁，百姓称赞他公平有智谋。
19. 两人同做家臣：田仁任安都做卫将军家臣，因贫寒无钱奉承家监，被派去喂养烈马。
20. 割席另坐：拜访平阳公主时，管家让他们与家奴同席，两人拔刀割席另坐，公主家人惊异。
21. 赵禹举荐：赵禹拜访卫将军，批评他只举荐富家子弟，发现田仁任安可用，其余皆无智谋。
22. 武帝赏识：武帝召见询问才能，田仁说自己激励士卒不如任安，任安说自己决断是非不如田仁。
23. 两人受重用：武帝派任安监护北军，田仁监护边塞屯田，两人立刻名扬天下。
24. 任安益州刺史：任安被任命为益州刺史，田仁担任丞相长史。
25. 田仁检举三河：田仁上书说郡太守多违法，三河最严重，请求首先整治以警戒天下。
26. 整治权贵：河南河内太守是杜周亲属，河东太守是石丞相子孙，田仁屡次上书，石氏派人谢罪。
27. 三河太守处死：田仁检举后三河太守全被处死，武帝很高兴任命田仁为丞相司直。
28. 太子起兵事件：太子起兵时丞相率军，派田仁主管城门，田仁认为父子事外人不好介入离开。
29. 田仁被处死：武帝派御史责问丞相，田仁被交法官审理处死。
30. 任安受节不发：太子召任安交符节发兵，任安接受后闭门不出，武帝认为他心怀二意处死。
31. 太史公评论：孔子称述住在某国要与闻政事，说的大概是田叔，讲仁义不忘举贤，显明君主美德。

##简化版：
1. 田叔忠心护主：田叔为赵王家奴跟随到长安，后任汉中太守，向文帝推荐孟舒为忠厚长者。
2. 查办梁案显智：田叔查办梁孝王刺杀袁盎案，建议不追究以保护太后，被任命为鲁国丞相。
3. 鲁国治理有方：田叔在鲁国既维护君主尊严又保护百姓利益，陪伴鲁王打猎时烈日等待感化君主。
4. 田仁任安受赏识：两人为卫将军家臣，被赵禹举荐给武帝，各展所长，任安监护北军，田仁监护边塞。
5. 整治权贵显威：田仁任丞相司直检举三河太守违法，不畏强暴处死权贵，威振天下。
6. 太子事件结局：太子起兵时田仁放走被处死，任安受节不发也被处死，两人结局悲惨。
7. 任安早年经历：任安从亭长做起，公平分配猎物得民心，后与田仁同做家臣经历坎坷。
8. 历史教训深刻：月亮圆后亏缺，事物盛后衰败，知进不知退久居富贵会招灾祸，范蠡辞官美名流传。

##极简版：
1. 田叔忠厚传家：田叔以严正清廉著称，忠心护主，查办案件显智慧，治理鲁国有方，体现忠厚长者品格。
2. 田仁任安才俊：两人从家臣做起，各展所长受武帝重用，整治权贵显威风，但太子事件中双双遇害。
3. 权贵整治艰难：田仁不畏强暴检举三河太守，处死权贵震动朝野，体现整治腐败的艰难与危险。
4. 太子事件悲剧：太子起兵时田仁放走、任安受节不发，两人都因处理不当被处死，显示政治斗争残酷。
5. 历史教训深远：月亮圆后必亏缺，事物盛后必衰败，知进不知退久居富贵招灾祸，范蠡辞官明智。

##绘图提示词：
汉初忠臣才俊命运图：画面中央田叔身着官服手持笏板，左侧孟舒云中抗敌体现忠厚，右侧鲁王惭愧还钱；上方田仁任安同做家臣喂养烈马，中段两人割席另坐显骨气，下方赵禹举荐武帝赏识；背景三河太守被处死场景，太子起兵时田仁离开城门、任安闭门不出，整体体现忠厚传家、才俊命运、政治残酷主题。采用汉代壁画风格，色彩庄重，人物表情坚毅悲壮。
