# 《史记·日者列传第六十七》事件列表

## 详细版（20条）

1. 韩非子对儒侠的评价：韩非子认为儒者以文乱法，而侠者以武犯禁，两者都对法治有害
2. 太史公为游侠辩护：太史公认为游侠虽不与文人交往，但言必信、行必果，已诺必诚
3. 朱家的事迹：朱家以助人为乐，曾救助豪士以百数，普通人以千数，但从不夸耀
4. 田仲的品格：田仲虽为游侠，但终身不仕，以钓鱼为生，品格高洁
5. 剧孟的名声：剧孟以游侠闻名，洛阳人以其为荣，称其有助人而不求回报的美德
6. 郭解的早年经历：郭解年少时以任侠闻名，常为朋友报仇，不珍惜生命
7. 郭解的为人处世：郭解长大后改变行为，以德报怨，常急人之难，不居功自傲
8. 郭解的影响力：郭解出入不乘车，人们都认识他，争相为他效力
9. 郭解调解纠纷：有人被郭解的门人侮辱，郭解得知后亲自上门道歉，化解矛盾
10. 郭解的谦逊品格：郭解从不接受别人的感谢，认为这是自己的本分
11. 郭解迁居茂陵：汉武帝下令豪族迁居茂陵，郭解因家贫不在名单中，但官员仍将其列入
12. 卫青为郭解求情：卫青向汉武帝为郭解求情，认为郭解家贫不应迁居
13. 汉武帝对郭解的态度：汉武帝认为一个平民能让将军为他求情，说明其家境不贫
14. 公孙弘弹劾郭解：公孙弘认为郭解虽未被定罪，但其行为比杀人犯更恶劣，应以大逆无道罪论处
15. 郭解全族被诛：汉武帝听从公孙弘建议，诛杀郭解全族
16. 游侠的社会地位：游侠虽不入仕途，但在民间有很高威望，能影响社会风气
17. 游侠的道德准则：真正的游侠重义轻利，救人于危难，不求回报
18. 太史公对游侠的评价：太史公认为游侠是社会正义的补充，值得记录和传颂
19. 游侠与文人的对比：游侠重实践而轻理论，文人重理论而轻实践，两者各有价值
20. 游侠精神的历史意义：游侠精神体现了中国传统文化中的侠义精神和民间正义

## 简要版（9条）

1. 韩非子对儒侠的批评：认为儒者以文乱法，侠者以武犯禁，都对法治有害
2. 太史公为游侠正名：认为游侠言必信、行必果，有值得称道的道德品格
3. 朱家的助人精神：以助人为乐，救助无数人但从不夸耀自己的功德
4. 剧孟的社会影响：以游侠闻名，洛阳人以他为荣，体现民间对侠义的认可
5. 郭解的成长变化：从年少轻狂到成熟稳重，以德报怨，成为真正的游侠
6. 郭解的社会地位：虽为平民但影响力巨大，连将军卫青都为他求情
7. 郭解的悲剧结局：因公孙弘弹劾，被汉武帝以大逆无道罪诛杀全族
8. 游侠的道德价值：重义轻利，救人危难，体现了民间正义精神
9. 太史公的史学贡献：首次为游侠立传，记录了民间道德力量的历史价值

## 极简版（4条）

1. 游侠的定义：游侠是重义轻利、言必信行必果的民间正义之士
2. 代表人物：朱家、剧孟、郭解等游侠以助人为乐，在社会上有很高威望
3. 郭解的悲剧：因影响力过大被当权者猜忌，最终被诛杀全族
4. 历史意义：太史公首次为游侠立传，记录了民间道德力量的价值

---

## 核心主题

《日者列传第六十七》是中国历史上第一部专门记录民间游侠的传记，体现了太史公对民间道德力量的重视和对传统价值观的突破。通过记录朱家、剧孟、郭解等游侠的事迹，展现了游侠"言必信、行必果、已诺必诚"的道德品格，以及他们"救人于危难而不求回报"的侠义精神。

这篇列传不仅是对游侠群体的历史记录，更是太史公对当时社会价值观的深刻反思。在官方史学传统中，游侠往往被视为"以武犯禁"的破坏力量，但太史公却看到了游侠身上体现的民间正义和道德力量，认为他们是社会正义的重要补充。

郭解的悲剧结局也反映了民间力量与专制权力之间的深刻矛盾，一个真正为民请命的游侠最终难逃被当权者猜忌和消灭的命运。这种历史悲剧至今仍有深刻的启示意义。
