# 《封禅书第六》事件列表

## 详细版（15条）
1. 自古以来承受天命的帝王必举行封禅大典，然因功业不足、德化不周或无闲暇，封禅实少举行，礼仪渐至湮没。
2. 舜帝以美玉仪器观察天文，类祭上帝，禋祭六宗，遥祭山川，遍祭众神，查验诸侯符瑞，赐给瑞玉。
3. 舜帝五年一巡狩，二月东岳泰山，五月南岳衡山，八月西岳华山，十一月北岳恒山，均行烧柴祭天等礼仪，调和四季，统一度量衡。
4. 禹遵舜制，后传十四代至孔甲，行为放荡谄事鬼神，渎慢神，二龙飞去；又传三代至汤，伐桀后作《夏社》。
5. 汤后八代至太戊，廷中桑谷共生于一夜之间，太戊惧，伊陟劝其修德，桑谷遂死，巫咸之术自此盛行。
6. 太戊后十四代至武丁，得傅说为相，殷复兴；有野鸡鸣于鼎耳，武丁惧，祖己劝其修德，帝位得安。
7. 武丁后五世至武乙，怠慢神灵被雷震死；又传三代至纣，淫乱失国，武王伐之，可见开国君主皆谨慎，末代渐怠慢。
8. 《周官》载冬至南郊祭天，夏至祭地，均用乐舞；天子祭天下名山大川，五岳巡三公，四渎巡诸侯；祭祀之地，天子称明堂辟雍，诸侯称泮宫。
9. 周公辅成王，郊祭天以稷配，明堂祭祖以文王配；祭祀土地神始于禹，祭祀谷神始于后稷，祭天地由来已久。
10. 周亡后，秦襄公因救周被封诸侯，居西部边疆，自认为应主持祭祀少嗥，建西峙祭白帝，用赤身黑鬣马驹、黄牛、公羊各一头。
11. 秦文公东猎至沂渭间，梦黄蛇自天而降，史敦言为上帝征兆，遂建鄘峙，用三牲祭白帝；后得玉石宝物，在陈仓北筑城祭祀，称陈宝。
12. 秦德公居雍，建伏日祭祀神庙，分解狗肢体悬于城邑四门御厉鬼；秦宣公在渭水南建密峙祭青帝。
13. 秦穆公病卧五日不醒，醒言梦上帝命其平晋国内乱，史官记藏秘府，后人传其曾到天上。
14. 齐桓公称霸欲封禅，管仲列举古代七十二家封禅者，言封禅需祥瑞之物如部上黍、北里禾、江淮间一茅三脊、东海比目鱼、西海比翼鸟等，桓公无奈作罢。
15. 秦始皇统一天下后，上泰山封禅，中途遇风雨，儒生讥之；又东游海上，求神仙不死药，派徐福带童男女入海，后因方士欺骗，坑杀术士于咸阳。

## 简化版（5条）
1. 封禅大典为古代帝王承受天命的重要仪式，舜帝首创五年一巡狩，祭祀五岳四渎的制度。
2. 从夏禹至商周，历代君王因德行不同而有不同的神示，谨慎修德者得福，怠慢神灵者遭祸。
3. 秦国立国后，历代君主相继建立西峙、鄘峙、密峙等祭祀场所，祭祀白帝、青帝等神灵。
4. 齐桓公欲行封禅而不得，秦始皇虽成封禅却遇风雨，显示封禅需天命与德行兼备。
5. 秦始皇晚年沉迷求仙，派徐福入海求药，最终被方士欺骗，反映了封禅文化中的迷信成分。

## 极简版（3条）
1. 封禅为古代帝王祭天告地的大典，象征承受天命，国泰民安。
2. 从尧舜至秦汉，封禅制度随朝代变迁而演变，与帝王德行密切相关。
3. 秦始皇封禅与求仙，体现了封禅文化的政治意义与宗教色彩。

## 中文绘图提示词
这幅气势恢宏的封禅历史画卷展现《封禅书》中神圣而庄严的祭祀场景。画面中央是泰山极顶，秦始皇身着衮服，在群臣簇拥下举行封禅大典，旁边有儒生持简牍记录，而天空中乌云密布，似乎预示着风雨将至。左侧是远古时代的舜帝巡狩场景：舜帝站在泰山之巅，手持玉圭，烧柴祭天，周围有诸侯大臣虔诚跪拜，远处是壮丽的山川河流。右侧展示秦襄公建西峙祭白帝、秦文公梦黄蛇建鄘峙、秦穆公梦见上帝等场景，层次分明。下方是齐桓公欲封禅而不得，管仲列举祥瑞之物的画面，以及秦始皇派徐福带童男女入海求仙的场景。远处云海中若隐若现地浮现出各路神仙形象，增添神秘色彩。整个画面色彩鲜明：中央封禅场景庄严肃穆，以赤红和金黄为主；左侧远古场景古朴自然，以青绿为主；右侧秦国祭祀场景神秘庄严，以玄黑和暗红为主；下方场景则色彩丰富多变，反映不同故事内容。人物表情刻画细腻：秦始皇的威严自信，儒生的敬畏，舜帝的庄重，齐桓公的失落，徐福的虔诚，展现了《封禅书》中封禅文化的神圣性与复杂性。通过时空交错的构图，将数千年封禅历史的关键节点融为一体，传达"奉天承运，以德配天"的思想精髓。
