# 《史记》卷三十二 齐太公世家第二 事件列表

## 详细版（15条）

1. **姜太公垂钓遇文王**：吕尚年老穷困，在渭水之滨垂钓，得遇周西伯姬昌。西伯与吕尚交谈甚欢，认为他是辅佐周室的贤臣，称其为"太公望"，并任命他为太师。

2. **辅佐文武二王灭商**：吕尚辅佐周文王施行德政，暗中积蓄力量；又协助周武王率领诸侯联军讨伐商纣王，在牧野之战中大败商军，最终推翻商朝统治。

3. **受封营丘建立齐国**：周武王灭商后，封吕尚于营丘（今山东淄博），建立齐国。吕尚到达封地后，修明政治，发展工商渔盐业，使齐国逐渐富强。

4. **桓公争位与管仲为相**：齐襄公被杀后，公子小白与公子纠争夺君位。小白在鲍叔牙辅佐下抢先回国即位，是为齐桓公。齐桓公不计前嫌，任命曾箭射自己的管仲为相，进行全面改革。

5. **管仲改革强盛齐国**：管仲在齐国推行"五家军事组织"制度，实施"轻重法"调节经济，发展渔盐之利，使齐国国力迅速增强，为桓公称霸奠定了基础。

6. **柯邑会盟守信诸侯**：齐桓公与鲁庄公在柯邑会盟，鲁将曹沫劫持桓公要求归还失地，桓公被迫答应。事后虽有臣下主张反悔，但桓公仍信守承诺归还鲁地，由此赢得诸侯信任。

7. **救援燕国征讨山戎**：山戎侵犯燕国，燕国向齐求救。齐桓公率军北伐山戎，击败敌军并开辟道路，事后还将部分土地割让给燕国，进一步树立了霸主威望。

8. **召陵之盟退楚师**：齐桓公率领诸侯联军讨伐楚国，指责楚国不向周王室进贡苞茅。双方在召陵会盟，楚国承认错误并恢复进贡，齐桓公成功阻止楚国北进。

9. **葵丘会盟受周襄王赏赐**：齐桓公在葵丘（今河南兰考）召集诸侯会盟，周襄王派使者赐予桓公祭肉、彤弓矢等物，正式承认其霸主地位。

10. **齐桓公晚年任用奸臣**：管仲去世后，齐桓公不听其临终劝谏，任用易牙、开方、竖刀等奸臣。桓公病重时，五子争位，导致桓公死后六十七天未得安葬。

11. **崔杼弑君与太史直书**：齐庄公与崔杼之妻私通，崔杼设计杀死庄公。太史兄弟三人前仆后继，坚持直书"崔杼弑其君"，最终崔杼无奈放行，成就中国史学史上"秉笔直书"的典范。

12. **庆封专权与家族覆灭**：崔杼自杀后，庆封担任相国独揽大权，但他骄纵无度，最终被田氏、鲍氏等四家联合攻灭，逃亡到吴国。

13. **田氏施惠于民**：田氏家族在齐国暗中发展势力，通过减轻百姓赋税、救济贫困等方式收买人心，晏子预言"齐国之政终将归田氏"。

14. **田乞立悼公掌握实权**：齐景公死后，田乞发动政变，杀死高昭子、国惠子，从鲁国召回公子阳生拥立为悼公，开始掌握齐国实权。

15. **田成子杀简公专齐政**：田常（田成子）与监止争夺权力，最终发动政变杀死齐简公，拥立简公之弟为平公，田氏从此完全控制齐国政权，为后来"田氏代齐"奠定基础。

## 简化版（5条）

1. **姜太公封齐建国**：吕尚辅佐周文王、武王灭商后，受封于营丘建立齐国，修明政治，发展工商渔盐，使齐国逐渐富强。

2. **桓公称霸诸侯**：齐桓公任用管仲进行改革，使齐国国力强盛。通过柯邑会盟、救援燕国、召陵之盟、葵丘会盟等一系列事件，成为春秋五霸之首。

3. **崔杼弑君与太史直书**：齐庄公与崔杼之妻私通被杀，太史兄弟坚持直书史实，体现了史官的刚正不阿。

4. **田氏崛起施惠于民**：田氏家族通过减轻赋税、救济贫困等手段收买人心，逐渐崛起并掌控齐国政权。

5. **田氏代齐**：田成子杀死齐简公，立平公，独揽齐国政权，最终田和被周王室正式列为诸侯，姜姓齐国被田姓齐国取代。

## 极简版（3条）

1. **太公封齐**：吕尚辅佐周室灭商后受封营丘，建立齐国并使其富强。

2. **桓公称霸**：齐桓公任用管仲改革，成为春秋五霸之首。

3. **田氏代齐**：田氏家族经过几代经营，最终取代姜姓吕氏，掌握齐国政权。

## 中文绘图提示词

1. **姜太公垂钓渭水**：白发苍苍的老者在渭水河畔直钩垂钓，远处有骑马的周西伯姬昌正向此处赶来，背景是青山绿水的自然景色，营造出"姜太公钓鱼，愿者上钩"的意境。

2. **管仲相齐改革图**：齐桓公与管仲在齐国宫殿中商议国政，周围有官员正在推行"五家军事组织"和"轻重法"改革，宫外可见百姓安居乐业、渔盐业繁荣的景象，体现齐国的强盛。

3. **葵丘会盟图**：齐桓公在葵丘高坛上接受周襄王使者赐予的祭肉和彤弓矢，周围有各诸侯国的使者和大夫，场面庄严肃穆，体现齐桓公的霸主地位。

4. **太史直书崔杼弑君**：崔杼的宫殿中，太史手持竹简坚持写下"崔杼弑其君"，崔杼面目狰狞，而太史神情坚定，身后有已被杀害的太史兄弟尸体，体现史官的刚正不阿。

5. **田氏代齐**：田成子与大臣们在朝堂上拥立齐平公，田氏族人掌控各处要职，背景可见姜姓齐国宗庙逐渐衰落，而田氏宗庙兴起，象征政权的更迭。
