# 《史记·赵世家第十三》事件列表

## 详细版（23项关键情节）
1. **赵氏起源**：赵氏与秦同祖，中衍为殷帝大戊御车人，季胜后代即为赵氏
2. **造父封赵**：周缪王时造父因平徐偃王叛乱有功，被封于赵城，以赵为氏
3. **叔带奔晋**：周幽王无道，叔带离开周王室至晋国，开始在晋建立赵氏家族
4. **赵夙受封**：晋献公时赵夙攻霍国有功，献公赐耿邑封之
5. **赵衰辅重耳**：赵衰占卜侍奉重耳吉利，追随重耳流亡十九年，助其回国即位为晋文公
6. **赵盾执政**：赵衰去世后，赵盾代替执政，晋襄公死后欲立公子雍，后立灵公
7. **灵公被杀**：晋灵公骄横，欲杀赵盾，赵穿杀灵公立成公，赵盾继续执政
8. **下宫之难**：晋景公三年，屠岸贾以惩治灵公逆贼为名，诛灭赵氏家族
9. **赵氏孤儿**：赵朔妻成公姊怀孕逃亡，程婴、公孙杵臼设计保护赵氏孤儿赵武
10. **赵氏复兴**：晋景公生病占卜，韩厥进言复立赵武，赵武联合韩魏攻灭屠岸贾
11. **简子兴起**：赵简子继位，晋国六卿专权，公室势力削弱
12. **简子异梦**：赵简子生病五日不省人事，梦到天帝预示赵氏未来
13. **姑布子卿相面**：姑布子卿为简子诸子相面，独称毋恤为将军之才
14. **常山得符**：毋恤从常山顶望见代国可夺取，显示其才能，被立为太子
15. **范中行之乱**：赵简子与范氏、中行氏交战，最终获胜，实专晋政
16. **襄子灭代**：襄子即位后宴请代王，设计杀之，平定代地
17. **三家分智**：智伯向韩赵魏索要土地，赵襄子拒绝，三家联合灭智氏，瓜分其地
18. **烈侯建侯**：魏、韩、赵相约立为诸侯，赵烈侯正式称侯
19. **敬侯迁都**：赵国开始在邯郸建都，奠定日后赵国发展基础
20. **武灵王胡服骑射**：赵武灵王推行改革，穿胡服学骑射，增强赵国军事实力
21. **灭中山国**：经过多年战争，赵武灵王最终灭亡中山国，拓展北方领土
22. **沙丘之变**：主父（武灵王）想分赵，导致公子章作乱，最终饿死沙丘宫
23. **长平之战**：赵孝成王中秦国反间计，用赵括代廉颇，四十万赵军被活埋
24. **邯郸之围**：秦国围攻邯郸，平原君求救于楚魏，最终解围
25. **廉颇奔魏**：赵悼襄王时廉颇被乐乘取代，攻打乐乘后逃往魏国
26. **李牧被杀**：赵王迁听信谗言，诛杀名将李牧，自毁长城
27. **赵国灭亡**：公元前228年，秦军攻破邯郸，赵王迁投降，赵亡
28. **代王嘉**：赵国大夫拥立赵嘉为代王，六年后被秦灭亡

## 简化版（6项重要节点）
1. **赵氏兴起**：从造父封赵到赵衰辅重耳，赵氏在晋国逐渐壮大
2. **下宫之难与复兴**：屠岸贾灭赵、程婴救孤、赵武复仇，赵氏经历生死存亡
3. **三家分晋**：赵简子、赵襄子时期，赵氏与韩魏联合灭智氏，奠定赵国基础
4. **武灵王改革**：胡服骑射使赵国军事强大，灭中山国，成为战国七雄之一
5. **长平惨败**：赵括纸上谈兵，四十万赵军被坑杀，赵国由盛转衰
6. **赵国灭亡**：自毁长城杀李牧，最终被秦国所灭

## 极简版（5条核心情节）
1. 赵氏自周初受封，逐渐在晋国发展壮大
2. 下宫之难几乎灭族，赵氏孤儿复仇中兴
3. 三家分晋，赵氏正式建国
4. 武灵王胡服骑射，赵国强盛一时
5. 长平之战惨败，最终被秦所灭

## 场景绘图提示词
1. **下宫之难**：血腥的赵氏宗庙，士兵闯入屠杀赵氏族人，孕妇（赵朔妻）慌张躲藏，天空乌云密布，渲染悲惨氛围
2. **程婴救孤**：深山之中，程婴怀抱婴儿（赵武）与公孙杵臼密谋，表情坚毅而忧虑，背景有追兵搜索的迹象
3. **胡服骑射**：赵武灵王身穿胡服，手持长弓，骑马射箭，身后是训练中的赵国骑兵，展现改革新气象
4. **沙丘之变**：沙丘宫中，主父（武灵王）被困，形容憔悴，窗外是重重包围的士兵，烘托悲剧氛围
5. **长平之战**：战场尸骨遍野，秦军坑杀赵国降卒，赵括被杀，血流成河，天空灰暗，表现战争残酷

## 人物形象描述
1. **赵盾**：晋国正卿，身材高大，面容严肃，手持上朝笏板，眼神锐利，展现权臣风范
2. **程婴**：赵氏门客，中等身材，面容坚毅，身着粗布衣服，怀抱婴儿时眼神中既有忧虑又有坚定
3. **公孙杵臼**：老臣形象，须发皆白，表情庄重，手持拐杖，临危不惧
4. **赵武灵王**：英武君主，身材健壮，身穿胡服，头戴胡冠，眼神中透露出改革者的决心
5. **赵括**：年轻将领，身着华丽盔甲，手持兵书，表情自信但略显稚嫩，缺乏实战经验的样子
6. **廉颇**：老将形象，身材魁梧，须发花白，手持长戈，表情沉稳，久经沙场的老将风范
7. **李牧**：赵国名将，中等身材，面容刚毅，身着战甲，手持长剑，眼神锐利，有军事家的沉稳

## 历史意义总结
《赵世家》详细记载了赵氏从周初受封到赵国灭亡的近千年历史，展现了：
1. 春秋战国时期诸侯纷争、社会变革的历史画卷
2. 家族兴衰与国家命运紧密相连的历史规律
3. 改革创新（如胡服骑射）对国家强盛的重要性
4. 用人得失（如杀李牧）对国家命运的决定性影响
5. 忠诚、智慧、勇气等传统美德的历史传承
