# 《平准书第八》事件列表

## 详细版（15条）
1. 汉朝初立，经济凋敝，天子无同色驷马，将相乘牛车，民间无积蓄，因秦钱太重改用轻钱，物价飞涨，米石万钱，马匹百金。
2. 天下平定后，高祖下令商人不得衣丝乘车，加重租税抑制商人，孝惠、高后时虽放松禁令，但仍禁商人子孙做官。
3. 孝文帝时，民间铸钱泛滥，改铸四铢钱，许民私铸，导致吴王刘濞因铜山铸钱富比天子，邓通因铸钱财产过王侯，后终因币制混乱而禁止私铸。
4. 匈奴侵扰北疆，边境军粮不足，朝廷首创募民输粟边塞拜爵之制，最高可至大庶长。
5. 景帝时上郡以西旱灾，修订卖爵令，降低爵价，允许刑徒输粟免罪，同时增拓苑囿养马，宫室台榭车马日益增多。
6. 武帝即位初期，汉朝七十年间天下太平，府库充实，京师钱累巨万，仓粟陈陈相因，民间富庶，人人自爱重义。
7. 武帝时，严助、朱买臣招徕东瓯，对两越用兵，唐蒙、司马相如通西南夷，彭吴灭朝鲜设沧海郡，王恢马邑之谋后汉匈交恶，战争频繁，天下骚动。
8. 卫青夺取匈奴河南地，筑朔方城，数万人开通西南夷道路，千里运粮，十钟致一石，耗财无数，官府空虚。
9. 府库匮乏，始行纳粟拜爵、入财补官、输钱赎罪之制，选举之法渐坏，吏道杂而多端。
10. 大将军卫青率六将军击匈奴，斩首虏万余级，赏赐将士黄金二十余万斤，战死军马十余万，府库再次空虚。
11. 大农令奏称旧藏钱尽，新税不足，朝廷始卖武功爵十七级，爵至乐卿可免役补吏，导致兵制混乱，吏道益杂。
12. 山东发生水灾，赈济不足，徙贫民七十余万口至关西、朔方，衣食仰给县官数年，耗资以亿计，县官大空。
13. 孔仅、东郭咸阳任大农丞，领盐铁事，实行盐铁官营，招募盐户铁官，严禁私铸铁器煮盐，犯者钛左趾没入器物。
14. 桑弘羊为治粟都尉，领大农事，推行均输法，设置均输官，令远方各以其物贵时商贾所转贩者为赋，官相灌输。
15. 武帝元封元年，桑弘羊推行平准法，在京师设平准官，收天下货物，贵则卖之，贱则买之，使富商大贾无所牟大利，物价稳定，赋税增广。

## 简化版（5条）
1. 汉朝初期经济凋敝，高祖、惠帝、文帝时期采取轻徭薄赋政策，逐渐恢复经济。
2. 文帝时因允许民间铸钱，导致吴王刘濞和邓通因铸钱暴富，后因币制混乱禁止私铸。
3. 武帝时期频繁用兵，北击匈奴，南征两越，通西南夷，导致国库空虚，开始卖爵、入财补官等措施。
4. 武帝时期推行盐铁官营，禁止民间私营盐铁，由政府垄断经营。
5. 桑弘羊推行均输平准法，稳定物价，打击富商大贾，增加政府财政收入。

## 极简版（3条）
1. 汉朝初期经济恢复，武帝时因战争导致财政困难。
2. 武帝实行盐铁官营等经济政策增加财政收入。
3. 桑弘羊推行均输平准法稳定物价，打击富商大贾。

## 中文绘图提示词
这幅历史画卷展现《平准书》中汉代财政经济的风云变幻。画面以时间为轴，从左至右展开汉朝经济的兴衰历程。左侧是汉初经济凋敝的场景：战乱后的废墟中，百姓衣不蔽体，天子的车驾找不到四匹同色马，将相们乘坐简陋的牛车，背景是荒芜的农田和流离失所的难民。中间部分展示文景之治的繁荣：粮仓满溢，铜钱堆积如山，穿钱的绳子都已腐烂，田间地头牛马成群，百姓安居乐业，官员们在粮仓前清点粮食。右侧呈现武帝时期的财政变革：卫青将军率军北击匈奴，士兵们奋勇作战；盐铁官营的场景中，官差监督盐户煮盐、铁官冶铁；桑弘羊在朝堂上向汉武帝陈述均输平准之策，旁边有官员展示物价稳定、税收增长的图表。画面上方浮现着几个关键历史人物：汉高祖颁布抑商政策，汉文帝与大臣商议币制改革，汉武帝听取桑弘羊的财政建议。色彩上，左侧以灰黄为主，象征凋敝；中间以青绿和金黄为主，象征繁荣；右侧以红黑为主，象征战争与变革。人物表情生动：汉初百姓的愁苦，文景时官员的喜悦，武帝时将士的坚毅和桑弘羊的自信。通过这幅时空交错的画卷，展现了汉代从经济凋敝到繁荣再到变革的历史进程，以及国家财政政策对社会经济的深远影响。
