# 《吴太伯世家第一》事件列表

## 详细版（15条）
1. 吴太伯与弟仲雍为让位于贤德的季历（文王之父），毅然断发文身，逃奔荆蛮，自号句吴，荆蛮千余家归附，立为吴太伯，开创吴国基业。
2. 太伯无子，弟仲雍继位，传至周章时，周武王灭商后寻得太伯后代，封周章为吴君，封其弟虞仲于中原夏都故址，列为诸侯。
3. 春秋时期，传至寿梦，吴国开始强盛，国君始称王，寿梦二年，楚大夫申公巫臣来投，教吴用兵车战之法，吴国由此开始与中原交往。
4. 寿梦欲传位贤德的幼子季札，季札坚辞不受，寿梦无奈立长子诸樊，临终遗嘱兄终弟及，务必传位季札。
5. 季札使鲁，观周乐论兴衰，闻《郑风》预言郑将先亡，听《齐风》赞太公风范，赏《韶》乐叹德业至矣，展现其卓越见识。
6. 季札使齐，劝晏平仲纳邑与政以避祸；至郑，见子产如旧交，预言郑政将归子产；适卫，称卫多君子必无患；入晋，断言晋国将为三家所分。
7. 季札使徐，徐君爱其剑而未言，季札心许之，归来时徐君已死，乃解剑挂其墓树而去，传为千古美谈。
8. 吴王余祭去世，传位弟余昧，余昧卒，欲授位季札，季札再次让国逃亡，吴人乃立余昧子僚为王。
9. 吴王诸樊子公子光阴蓄异志，伍子胥荐勇士专诸，乘吴王僚伐楚国内空虚之际，设宴藏甲士于地下室，专诸以鱼肠剑刺杀王僚，公子光自立为吴王阖庐。
10. 阖庐用伍子胥、伯嚭、孙武等贤才，三年败楚取舒邑，九年联合唐、蔡，五战入郢都，楚昭王逃亡，伍子胥掘平王墓鞭尸复仇。
11. 吴国久留楚地，越国乘虚来攻，秦兵救楚，阖庐弟夫概潜回吴国自立为王，阖庐回师平乱，夫概奔楚。
12. 阖庐十九年伐越，越王勾践以死士自刎之计大败吴军，阖庐伤重而死，临终嘱子夫差勿忘杀父之仇。
13. 夫差二年大败越军于夫椒，勾践率五千人困守会稽山，派文种贿伯嚭求和，伍子胥力谏灭越以除心腹之患，夫差不听，许越求和。
14. 夫差北上伐齐，大败齐军于艾陵，会诸侯于黄池欲称霸中原，越乘虚攻入吴都，俘虏太子友，夫差匆忙回师。
15. 夫差听信伯嚭谗言，赐属镂剑令伍子胥自刎，子胥死前预言吴将为越所灭，二十三年，越军围吴，夫差自刎而死，吴国灭亡。

## 简化版（5条）
1. 吴太伯让国奔荆蛮，开创吴国，传至寿梦时开始强盛，与中原交往。
2. 季札贤德让国，出使中原各国，展现卓越见识，挂剑徐君墓传为佳话。
3. 公子光使专诸刺王僚自立为阖庐，任用伍子胥、孙武等贤才，破楚郢都。
4. 阖庐伐越受伤而死，夫差即位，败越后未听伍子胥忠言，许越求和。
5. 夫差北上争霸，赐死伍子胥，越国乘虚而入，最终吴国灭亡。

## 极简版（3条）
1. 吴太伯让国奔荆蛮，建立吴国。
2. 阖庐任用贤才，破楚郢都，吴国盛极一时。
3. 夫差不纳忠言，越国复仇灭吴。

## 中文绘图提示词
这幅波澜壮阔的吴国兴衰图卷，以时间为主轴，展现《吴太伯世家》中那段风云变幻的历史。画面左侧是吴太伯与仲雍断发文身，手持农具，带领荆蛮百姓开荒垦地，建立吴国的场景，背景是烟雨蒙蒙的江南水乡。中间部分是季札的故事：左侧季札观周乐论天下兴衰，神情专注；右侧季札站在徐君墓前，解剑挂于墓树，秋风萧瑟中显得格外悲壮。画面右侧是吴国的兴盛与衰落：上方是阖庐即位，伍子胥、孙武等贤臣环立，吴国军队金戈铁马；中间是专诸刺王僚的惊险瞬间，鱼肠剑寒光一闪，王僚倒地；下方是夫差被困姑苏城，手扶城墙远眺越军，神情悔恨，伍子胥的冤魂在云端叹息。远处可见勾践卧薪尝胆，越国军队攻破吴都的景象。整个画面色彩对比鲜明：左侧吴国初建以青绿为主，象征生机；中间季札故事以灰白为主，象征高洁；右侧吴国兴衰以金红转灰黑为主，象征从强盛到衰落。人物形象栩栩如生：太伯的仁慈，季札的儒雅，阖庐的英武，夫差的刚愎，伍子胥的忠诚，勾践的隐忍。通过这幅历史长卷，展现了吴国从太伯让国到夫差亡国的全过程，以及其中蕴含的兴衰哲理和人生智慧。
