# 《史记》卷三十三 鲁周公世家第三 事件列表

## 详细版（15条）

1. **周公辅佐武王灭商**：周公姬旦作为周武王的弟弟，在灭商过程中发挥了重要作用，参与牧野之战，作《牧誓》，并在战后与召公一起辅佐武王处理政务，释放箕子，分封诸侯。

2. **周公金縢藏策**：武王病重时，周公向太王、王季、文王祷告，愿代武王去死，并将祷告策书藏于金縢匮中。武王病愈后，这一事件成为后来成王误解周公时的重要证据。

3. **周公摄政与流言**：武王去世后，成王年幼，周公代行天子之政，引发管叔、蔡叔等人散布"周公将对成王不利"的流言，但周公坚持辅佐成王，派其子伯禽代自己就封鲁国。

4. **管蔡之乱与周公东征**：管叔、蔡叔与武庚禄父联合淮夷反叛，周公奉成王命东征，诛武庚、杀管叔、放蔡叔，收服殷遗民，封康叔于卫，微子于宋，稳定了周初局势。

5. **伯禽治鲁与淮夷之战**：伯禽就封鲁国后，实行"变其俗，革其礼"的治国方针，三年才向周公报告政绩。后率师征讨反叛的淮夷、徐戎，发布《肸誓》，最终平定叛乱。

6. **周宣王立鲁懿公**：鲁武公与长子括、少子戏朝见周宣王，宣王废长立幼，立戏为鲁太子，即鲁懿公。这一违反宗法制度的行为引发了后来的鲁国变乱。

7. **鲁隐公摄政**：鲁惠公去世后，因太子允年幼，长庶子息（隐公）代行君权。隐公十一年，公子挥向隐公献媚欲杀子允，隐公拒绝，公子挥反诬隐公，最终隐公被弑。

8. **鲁桓公与文姜之乱**：鲁桓公娶齐女文姜为夫人，文姜与齐襄公私通。桓公发现后怒斥文姜，文姜向齐襄公告密，最终桓公在齐国被齐襄公派人杀害。

9. **曹沫劫盟**：鲁庄公十三年，曹沫随庄公与齐桓公在柯邑会盟，曹沫劫持齐桓公，迫使齐国归还侵占的鲁国土地，齐桓公在管仲劝谏下遵守了诺言。

10. **庆父之乱**：鲁庄公去世后，庄公弟庆父与哀姜私通，先后杀死继位的子斑和鲁湣公，制造鲁国动荡，史称"庆父不死，鲁难未已"。最终庆父在季友压力下自杀。

11. **三桓崛起**：季友、叔牙、庆父的后代分别成为季孙氏、叔孙氏、孟孙氏（合称三桓），文公十八年，襄仲杀嫡立庶，立宣公，从此公室卑弱，三桓势力日盛。

12. **季文子贤德**：季文子担任鲁相，生活节俭，家无衣帛之妾，厩无食粟之马，府无金玉，辅助三位国君，被君子赞为"廉洁忠义"。

13. **三桓分公室**：鲁襄公十一年，三桓将公室军队分为三军，各领一军，进一步削弱了公室权力。

14. **孔子生鲁**：鲁襄公二十二年，孔子出生，后来成为鲁国重要的政治家和思想家。

15. **昭公出奔与鲁国衰落**：鲁昭公二十五年，因季平子与郈氏斗鸡引发争端，昭公攻打季氏，被三桓联合击败，被迫逃亡齐国，最终客死晋国干侯。此后鲁国公室更加衰微，最终在鲁顷公二十四年被楚国灭亡。

## 简化版（5条）

1. **周公摄政与东征**：周公辅佐武王灭商后，在成王年幼时摄政，平定管蔡之乱，稳定周初局势，为周朝统治奠定基础。

2. **伯禽治鲁**：周公之子伯禽就封鲁国，推行"变其俗，革其礼"的政策，平定淮夷叛乱，建立鲁国的基本制度。

3. **庆父之乱**：鲁庄公去世后，庆父与哀姜私通，先后杀死两位国君，制造鲁国动荡，最终自杀，史称"庆父不死，鲁难未已"。

4. **三桓专权**：季孙氏、叔孙氏、孟孙氏（三桓）势力崛起，逐渐掌控鲁国政权，公室日益衰微。鲁襄公时三桓分公室，进一步削弱公室权力。

5. **昭公出奔与鲁国灭亡**：鲁昭公攻打季氏失败后逃亡国外，最终客死他乡。此后鲁国更加衰落，公元前256年被楚国灭亡。

## 极简版（3条）

1. **周公封鲁**：周公辅佐周室有功，被封于鲁，派其子伯禽就封，建立鲁国。

2. **三桓专权**：季孙、叔孙、孟孙三家逐渐掌控鲁国政权，公室衰微。

3. **鲁国灭亡**：经过长期的内部权力斗争，鲁国最终在战国时期被楚国灭亡。

## 中文绘图提示词

1. **周公辅成王**：画面中心是年幼的周成王坐在王位上，旁边站立着周公旦，身后有大臣们朝见。周公表情庄重，手持圭璧，显示出辅佐幼主的忠诚与责任，背景是宏伟的周朝宫殿。

2. **伯禽治鲁**：鲁公伯禽身穿诸侯服饰，在鲁国宫殿中颁布政令，周围有官吏记录，宫外可见百姓正在改变旧俗，学习周礼，远处有军队准备征讨淮夷，体现鲁国初期的治理与扩张。

3. **庆父之乱**：画面左侧是鲁国王宫，庆父与哀姜密谋，右侧是被杀的鲁湣公尸体，宫外有百姓逃离战乱，远处可见季友正从陈国赶回，神情焦急，准备平乱，体现鲁国的政治动荡。

4. **三桓分公室**：季孙氏、叔孙氏、孟孙氏三家大夫在朝堂上与鲁君对峙，中间是分割的公室军队象征，三家大夫神情傲慢，鲁君则显得无奈，背景是鲁国宫殿，体现公室与大夫间的权力博弈。

5. **孔子在鲁**：孔子身穿儒服，在鲁国杏坛讲学，周围有弟子聆听，远处是鲁国都城和泰山，体现鲁国作为文化中心的地位以及孔子对鲁国文化的贡献。
