# 《史记·荆燕世家第二十一》事件列表

## 详细版（30项）
1. 汉王元年：刘贾作为刘氏宗族成员，任将军跟随刘邦平定三秦
2. 汉王元年：刘贾随从刘邦东击项羽
3. 汉王四年：刘邦在成皋战败，派刘贾率两万人及骑兵数百人渡白马津进入楚地
4. 汉王四年：刘贾烧毁项羽粮草储备，破坏楚军后方补给
5. 汉王四年：刘贾坚守不出与楚军交战，与彭越互相支援
6. 汉王五年：刘邦追击项羽至固陵，派刘贾南渡淮水围困寿春
7. 汉王五年：刘贾秘密招降楚国大司马周殷
8. 汉王五年：周殷反叛，辅佐刘贾攻下九江，迎接黥布军
9. 汉王五年：刘贾参与垓下之战共同进击项羽
10. 汉王五年：刘贾率九江军与卢绾进击临江王共尉，改临江为南郡
11. 汉王六年春：刘邦废黜楚王韩信，分其地为两个封国
12. 汉王六年：刘邦下诏封刘贾为荆王，统辖淮东地区五十二城
13. 高祖十一年秋：淮南王黥布反叛，东击荆国
14. 高祖十一年：刘贾与黥布交战失败，逃往富陵被杀
15. 高祖十二年：刘邦立沛侯刘濞为吴王，统辖原荆地
16. 高祖三年：刘泽任郎中
17. 高祖十一年：刘泽以将军身份攻打陈豨，俘获王黄，封营陵侯
18. 高后时期：齐国田生因贫困求见刘泽，获黄金二百斤
19. 高后时期：田生通过其子结交吕后宠臣张子卿
20. 高后时期：田生说服张子卿奏请封诸吕为王
21. 高后时期：张卿暗示大臣奏请，吕产被立为吕王
22. 高后时期：田生又说服张卿奏请封刘泽为王，巩固诸吕地位
23. 高后时期：刘泽被封为琅邪王
24. 高后时期：田生建议刘泽急速前往封国，避免吕后反悔
25. 吕后去世后：刘泽认为皇帝年少、诸吕执政、刘氏孤弱
26. 吕后去世后：刘泽与齐王合谋西去，欲诛杀诸吕
27. 吕后去世后：刘泽到达梁地，听说灌婴驻军荣阳，回师加强守备
28. 吕后去世后：刘泽赶到长安，与群臣共同拥立代王为天子
29. 文帝时期：刘泽被晋封为燕王，琅邪地区归还齐国
30. 元朔元年：刘泽的孙子刘定国因淫乱、杀人等罪行自杀，封国废除为郡

## 简化版（6项）
1. 刘贾随刘邦征战：参与平定三秦、烧毁楚军粮草、招降周殷、参与垓下之战
2. 刘贾封王与败亡：被封为荆王统辖淮东，后被反叛的黥布击败并杀害
3. 刘泽早期经历：从郎中到将军，因平定陈豨叛乱被封为营陵侯
4. 刘泽封王策略：通过田生的计谋，利用吕后封诸吕的机会获封琅邪王
5. 刘泽参与诛吕：吕后去世后与齐王合谋，最终拥立代王为天子
6. 刘泽子孙败亡：刘泽被晋封为燕王后传位三代，其孙刘定国因罪行被废国为郡

## 极简版（4项）
1. 刘贾封荆王：随刘邦征战有功，被封荆王，后被黥布杀害
2. 刘泽封琅邪王：通过田生计谋，在吕后时期获封琅邪王
3. 刘泽拥立文帝：参与诛吕行动，拥立代王为天子，晋封燕王
4. 燕国废为郡：刘泽后代刘定国因罪自杀，封国废除

## 场景绘图提示词
1. 刘贾烧粮：楚汉战争场景，汉将刘贾率军趁夜渡过白马津，士兵们正在楚军后方粮仓放火，火光映红夜空，楚军营地隐约可见。

2. 田生献计：高后时期的密室场景，齐国谋士田生与吕后宠臣张子卿对坐，田生手持竹简正在分析局势，张卿表情专注聆听。

3. 刘泽赴封国：一队车马在函谷关前匆忙赶路，骑马的刘泽回头张望，似乎担心追兵，身后是连绵的车队和随从。

4. 群臣拥立文帝：长安宫殿内，刘泽与其他大臣一起跪拜，拥立代王刘恒为天子，刘恒表情复杂，既有惊喜又有忧虑。

## 人物形象描述
1. 刘贾：刘氏宗族将领，身材魁梧，面容刚毅，身着铠甲，手持长剑，眼神坚定，展现出战场指挥官的威严与果敢。

2. 刘泽：刘氏远亲，精明干练，略带权谋气质，中等身材，目光锐利，常着官服，手持符节，给人以机智善谋的印象。

3. 田生：齐国谋士，身着儒服，清瘦干练，手持竹简，眼神狡黠，嘴角微扬，展现出策士的智慧与圆滑。

4. 刘定国：燕王刘泽之孙，面容阴郁，体态臃肿，衣着奢华但神情颓废，眼神闪烁不定，透露出荒淫无道的气质。

## 历史意义总结
《荆燕世家》记载了西汉初期两位刘氏宗室诸侯王的兴衰史，反映了汉初政治格局的变迁：

1. 刘邦封同姓王的战略：通过封同姓宗室为王来巩固新生政权，体现了汉初郡国并行制的特点。

2. 吕后专权时期的政治斗争：刘泽通过权谋在吕后时期获封，反映了当时复杂的政治环境和权力博弈。

3. 诸吕之乱后的政治重建：刘泽参与拥立文帝，展示了汉初政治从吕后专权向文景之治过渡的关键环节。

4. 诸侯王国的兴衰规律：从刘贾到刘泽及其后代的故事，揭示了汉代诸侯王国因各种原因最终走向衰落的历史趋势。

这些记载不仅补充了《高祖本纪》等主要篇章的内容，也为研究汉初政治制度和宗室政策提供了宝贵资料。
