# 《史记·萧相国世家第二十三》事件列表

## 详细版（30项）
1. 秦朝时期：萧何任沛县功曹掾，通晓法律，办事公平，无人能比
2. 秦朝时期：萧何多次凭借官吏职权救护刘邦，刘邦任亭长时经常帮助他
3. 秦朝时期：刘邦去咸阳服役，萧何比其他人多送二百钱
4. 秦朝时期：萧何跟随秦御史办事表现出色，考核第一，拒绝被征调中央
5. 刘邦起事初期：萧何为沛县县丞，督办各种公务
6. 刘邦入咸阳：诸将争抢财物，萧何独自收取秦朝律令图书并珍藏
7. 刘邦为汉王：萧何被任命为丞相，推荐韩信为大将军
8. 刘邦东进平定三秦：萧何以丞相留守巴蜀，安抚百姓，供给军粮
9. 汉二年：萧何留守关中，侍奉太子，治理栎阳，建立各种制度
10. 汉二年：萧何管理户籍人口，征缴粮草，通过水路运往前线
11. 汉三年：刘邦与项羽相持京县、索城间，多次派使者慰劳萧何
12. 汉三年：萧何采纳鲍生建议，派宗族子弟全部到前线追随刘邦，刘邦大喜
13. 汉五年：刘邦论功行赏，认为萧何功劳最大，封为酂侯，食邑最多
14. 汉五年：刘邦用猎狗与猎人的比喻，说明萧何是功人而非功狗
15. 汉五年：关内侯鄂君进言，力证萧何功劳应排第一，曹参次之
16. 汉五年：萧何被确定功劳第一，特许带剑穿鞋上殿，入朝不趋
17. 汉五年：萧何父子兄弟十多人皆得封邑，额外加封二千户（回报咸阳时多送二百钱）
18. 汉十一年：陈豨反叛，刘邦亲征，萧何协助吕后诛杀谋反的韩信
19. 汉十一年：刘邦拜萧何为相国，加封五千户，派五百士卒和都尉做护卫
20. 汉十一年：萧何采纳东陵侯召平建议，辞谢封赏，捐出家财佐助军费
21. 汉十二年：黥布反叛，刘邦亲征，多次派人询问萧何在关中的作为
22. 汉十二年：萧何采纳门客建议，故意低价强买民田自污名节，刘邦高兴
23. 汉十二年：刘邦回长安，百姓上书告萧何强买民田数千万，刘邦笑着让萧何自己谢罪
24. 汉十二年：萧何为民请求开放上林苑空地，刘邦大怒，将其下狱
25. 汉十二年：王卫尉进谏，指出萧何的忠诚，刘邦赦免萧何
26. 汉十二年：萧何赤脚入宫谢罪，刘邦承认自己是桀纣之君，萧何是贤相
27. 惠帝时期：萧何病重，惠帝探病并询问继任人选
28. 惠帝时期：萧何推荐曹参为继任者，认为惠帝得到了最合适的人选
29. 萧何生前：购置田宅必选贫穷偏僻之地，建房不筑围墙，提倡节俭
30. 惠帝二年：萧何去世，谥号文终侯，后代多次绝封又续封

## 简化版（6项）
1. 萧何佐汉：秦朝时为沛县吏，随刘邦起事，入咸阳收秦律令图书，为刘邦掌握天下形势提供关键资料
2. 镇抚关中：楚汉战争时期，萧何留守关中，建立制度，保障后勤，多次补充兵员，为刘邦提供坚实后盾
3. 论功第一：汉朝建立后，萧何因"功人"之功被评为第一，特许剑履上殿，入朝不趋的殊荣
4. 自全之术：面对刘邦猜忌，萧何采纳召平建议辞封捐财，后又自污名节以消除刘邦疑虑
5. 为民请苑：因请求开放上林苑空地给百姓耕种而下狱，后被王卫尉谏言释放
6. 举贤任能：临终前推荐曹参继任相位，体现了以国事为重的高风亮节

## 极简版（4项）
1. 收秦图籍：入咸阳收秦律令图书，使刘邦掌握天下形势
2. 镇抚关中：楚汉战争中留守关中，保障后勤，补充兵员
3. 功居第一：汉朝建立后被评为功臣第一，获特殊礼遇
4. 善始善终：多次化解刘邦猜忌，推荐曹参继任，子孙多次续封

## 场景绘图提示词
1. 萧何收图籍：咸阳宫中，将领们争抢金银财宝，唯有萧何单独进入丞相府，命令士兵们收集律令、图书，表情严肃认真，周围是堆积如山的简牍和地图。

2. 论功行赏：汉朝宫廷内，刘邦高坐龙椅，萧何站在首位，众将官分列两侧，有人面露不服，刘邦手持比喻猎狗与猎人的手令，表情威严。

3. 召平进谏：萧何府中，东陵侯召平（布衣打扮）正向萧何进言，表情忧虑，萧何手捧封赏诏书，若有所思，背景是简朴的相府。

4. 萧何自污：关中田野间，萧何的家仆正在低价强买民田，百姓们敢怒不敢言，远处萧何坐在车中观望，表情复杂。

## 人物形象描述
1. 萧何：身材中等，面容清瘦，眉目间透出智慧，常着丞相服饰，手持竹简，表情沉稳，给人以忠诚、干练、深谋远虑的印象。

2. 刘邦：身为皇帝，身材魁梧，面容威严，身着龙袍，时而大笑，时而严肃，展现出对萧何既信任又猜忌的复杂情感。

3. 召平：原秦东陵侯，后沦为布衣，清瘦矍铄，身着粗布衣衫，手持藜杖，眼神锐利，表情忧虑，展现出智者的风范。

4. 王卫尉：中等身材，忠直刚毅，身着武官服，手持笏板，表情严肃，正慷慨陈词为萧何辩护。

## 历史意义总结
《萧相国世家》通过记载萧何的生平事迹，展现了汉初政治格局的重要特点：

