# 第十章《杜伊勒里宫的小书房》主要事件列表

## 详细版
1. 路易十八国王在杜伊勒里宫小书房研读贺拉斯诗集，勃拉卡斯公爵向国王报告南方可能酝酿风暴
2. 国王和警务大臣唐德雷对拿破仑在厄尔巴岛的情况表现得不以为然，认为他已被驯服或精神失常
3. 勃拉卡斯坚持请求国王接见带来重要情报的信使维尔福，并透露维尔福只用三天多时间就从马赛赶到巴黎
4. 国王得知信使是维尔福后，对其身份表示了解，并指出维尔福有野心，为了成功可以牺牲父亲
5. 维尔福被引荐给国王，报告了从唐太斯处获得的重要情报：拿破仑已武装三条船，计划离开厄尔巴岛，可能在那不勒斯、托斯卡纳或法国海岸登陆
6. 维尔福强调这不仅是阴谋，而是一次真正的谋反，并说明自己为了报告此事放弃了订婚晚宴
7. 国王对维尔福的忠诚表示赞赏，但对谋反的严重程度表示怀疑
8. 就在此时，警务大臣唐德雷慌张地回到书房，似乎带来了新的重要消息

## 简化版
1. 勃拉卡斯公爵向路易十八报告南方可能有暴乱
2. 国王和大臣对拿破仑在厄尔巴岛的威胁不以为意
3. 维尔福被引荐给国王，报告拿破仑即将离开厄尔巴岛谋反的情报
4. 国王赞赏维尔福的忠诚但对威胁表示怀疑
5. 警务大臣突然慌张返回，似乎带来新消息

## 极简版
1. 维尔福向路易十八报告拿破仑谋反情报
2. 国王对情报表示怀疑
3. 警务大臣慌张返回
