## 第八十八章《侮辱》主要事件

### 详细版
1. 阿尔贝和波尚离开腾格拉尔家后，波尚警告阿尔贝与基督山决斗的严重性，但阿尔贝决心为父亲复仇，甚至愿意为此牺牲生命。
2. 阿尔贝和波尚来到基督山家，得知他正在洗澡，之后会去歌剧院。阿尔贝决定在剧院与基督山对质，安排波尚和夏多·勒诺陪同。
3. 阿尔贝回家看望母亲美塞苔丝，她自从丈夫罪行曝光后一直卧床不起。阿尔贝怀疑基督山是敌人，美塞苔丝表现出异常的不安和对基督山的维护，暗示她可能知道基督山的真实身份。
4. 阿尔贝在歌剧院等待基督山，第二幕开始时，基督山与莫雷尔来到包厢。阿尔贝带着波尚和夏多·勒诺冲进去，公开指责基督山是迫害父亲的幕后主谋。
5. 阿尔贝激动地几乎要向基督山扔手套挑战，但被莫雷尔等人拦住。基督山从阿尔贝手中拿过手套，表示接受挑战并会裹上子弹还给他。
6. 波尚回来与基督山商议决斗事宜，基督山从容接受决斗，允许阿尔贝选择武器，并自信地表示一定会杀死他。
7. 决斗安排为次日八点钟在万森树林，使用手枪。基督山请莫雷尔和艾曼纽做他的证人。

### 简化版
1. 阿尔贝不听波尚劝阻，决定在歌剧院与基督山对质。
2. 阿尔贝回家看望母亲，美塞苔丝对基督山的维护暗示她可能知道其真实身份。
3. 阿尔贝在歌剧院向基督山公开挑衅，基督山接受决斗挑战。
4. 波尚与基督山商议决斗事宜，定于次日八点钟在万森树林用手枪决斗。

### 极简版
1. 阿尔贝在歌剧院挑衅基督山。
2. 基督山接受决斗挑战。
3. 两人约定次日八点钟在万森树林用手枪决斗。
