# 《射雕英雄传》第15章 事件列表

## 详细版（13条）
1. 郭靖在归云庄认出杀父仇人段天德并将其处死，为父报仇。
2. 完颜康得知自己真实身世后，改名为杨康，并与郭靖结为兄弟。
3. 江南六怪完成授艺使命，离开归云庄南返嘉兴。
4. 黄蓉暗中安排郭杨二人行程，随后与郭靖重逢，继续结伴同行。
5. 郭黄二人发现丐帮弟子欲对程家大小姐不利，决定暗中观察。
6. 程大小姐（程瑶迦）是全真七子之一清净散人孙不二的弟子，与丐帮素有渊源。
7. 丐帮八袋弟子黎生（江东蛇王）设计冒充程小姐对付欧阳克，却被欧阳克识破。
8. 黎生与欧阳克交战，虽使出家传的降龙十八掌中的"神龙摆尾"，但因只学了一招而不敌。
9. 郭靖出手相救黎生，与欧阳克展开激战，使用洪七公所授的十五掌降龙十八掌。
10. 洪七公突然从梁上出现，喝止欧阳克，并正式收郭靖为徒，传授降龙十八掌剩余三掌。
11. 黄蓉使计撒娇，成功让洪七公也收她为徒，成为关门弟子。
12. 黄蓉与欧阳克比武，使用洪七公所授的"满天花雨掷金针"绝技取胜，欧阳克狼狈逃窜。
13. 洪七公解释救走欧阳克是看在其叔父欧阳锋面子，丐帮弟子设宴祝贺洪七公收徒，程瑶迦对郭靖暗生情愫。

## 简化版（7条）
1. 郭靖手刃杀父仇人段天德，完颜康得知身世后改名杨康，与郭靖结为兄弟。
2. 江南六怪南返嘉兴，郭黄二人重逢后继续同行。
3. 郭黄发现丐帮弟子与程家大小姐（程瑶迦）暗中谋划对付欧阳克。
4. 黎生与欧阳克交战不敌，郭靖出手相救并展开激战。
5. 洪七公现身收郭靖为徒，传授完整降龙十八掌。
6. 黄蓉撒娇使计，成功成为洪七公的关门弟子。
7. 黄蓉以"满天花雨掷金针"击败欧阳克，丐帮设宴庆祝。

## 极简版（3条）
1. 杨康认祖归宗，与郭靖结为兄弟。
2. 洪七公正式收郭靖为徒，传授完整降龙十八掌，黄蓉也成为其弟子。
3. 郭黄二人助丐帮对抗欧阳克，黄蓉施展暗器绝技获胜。
