### 详细版
1. 欧阳锋怀疑郭靖持有《九阴真经》欲搜查，黄药师以欧阳克性命要挟阻止
2. 欧阳锋带欧阳克离开桃花岛，黄药师赠予桃花岛总图并限三月内研习
3. 洪七公提及二十五年后华山二次论剑，众人发现周伯通已逃离岩洞并设粪尿机关捉弄黄药师
4. 黄药师与周伯通追逐打斗，周伯通解释双手被缚原因（因无意习得《九阴真经》武功而自罚）
5. 周伯通承认传授郭靖真经，黄药师掌击周伯通致其受伤后赠"九花玉露丸"赔罪
6. 周伯通拒乘欧阳锋蛇船，洪七公提议同乘"凶船"并提及丐帮岳阳聚会
7. 黄药师阻拦众人乘坐"凶船"未果，周伯通开玩笑称郭靖从梅超风处骗得真经
8. 黄药师误会郭靖怒不可遏，将其驱逐出桃花岛，带黄蓉离开，郭靖黄蓉被迫分离
9. 三人乘坐"凶船"出海后船只解体遇险，黄蓉从父亲口中得知"凶船"真相，欲出海相救
10. 三人在海上遭遇鲨鱼群围攻，欧阳锋率船赶来救援
11. 欧阳锋用蛇毒全歼鲨鱼群，周伯通愿赌服输，欧阳锋要求周伯通完成一项任务

### 简化版
1. 欧阳锋欲搜查郭靖《九阴真经》，黄药师阻拦后欧阳锋带欧阳克离开桃花岛
2. 周伯通逃离岩洞捉弄黄药师，黄药师与周伯通打斗后和解
3. 周伯通开玩笑称郭靖从梅超风处骗得真经，黄药师误会郭靖并将其驱逐
4. 郭靖、洪七公、周伯通乘"凶船"出海后遇险，船只解体
5. 三人在海上遭遇鲨鱼群围攻，欧阳锋率船赶来救援
6. 欧阳锋用蛇毒全歼鲨鱼群，周伯通愿赌服输
7. 黄蓉得知"凶船"真相后欲出海救郭靖

### 极简版
1. 黄药师因周伯通玩笑误会郭靖，将其驱逐出桃花岛
2. 郭靖、洪七公、周伯通乘"凶船"出海遇险，船只解体后遭鲨鱼围攻
3. 欧阳锋率船救援，用蛇毒全歼鲨鱼群
