# 《射雕英雄传》第十二章 事件列表

## 详细版（50条）
1. 郭靖黄蓉在客店遇九指神丐洪七公
2. 黄蓉以"玉笛谁家听落梅"和"好逑汤"两道菜招待洪七公
3. 洪七公辨识食材并透露五绝及华山论剑往事
4. 洪七公识破黄蓉想让其传授郭靖武功的心思
5. 黄蓉假哭后洪七公现身
6. 洪七公传授郭靖降龙十八掌第一招"亢龙有悔"
7. 洪七公讲解"亢龙有悔"精义：重在"悔"字，有发有收、留有余力
8. 郭靖开始学习"亢龙有悔"掌法
9. 黄蓉以"二十四桥明月夜"等菜肴讨好洪七公
10. 洪七公传授黄蓉"逍遥游"拳法
11. 梁子翁师徒出现寻找郭靖
12. 郭靖用新学的"亢龙有悔"击退梁子翁弟子
13. 洪七公暗中指点黄蓉破敌
14. 黄蓉以绿竹棒震慑梁子翁
15. 洪七公透露丐帮及打狗棒来历
16. 洪七公讲述二十年前惩戒梁子翁恶行经过
17. 洪七公传授郭靖"降龙十八掌"中"飞龙在天"等十五掌
18. 历时一月有余，郭靖武功大进
19. 一日傍晚，洪七公在松林中发现青蛇
20. 群蛇从松林涌出，洪七公、郭靖、黄蓉急步奔出
21. 青蛇咬中黄蓉背心，却被软猬甲刺死
22. 洪七公用药酒在三人面前画弧线，阻止蛇群前进
23. 三个白衣男子出现，用木杆操控蛇群
24. 洪七公取蛇胆给黄蓉服用解蛇毒
25. 三人与操控蛇群的白衣男子发生争执
26. 洪七公轻松制服一个白衣男子
27. 白驼山少主欧阳克出现，穿过蛇群来到近前
28. 洪七公斥责欧阳克不该白天牧蛇害人
29. 三个白衣男子辱骂洪七公，被洪七公打耳光并卸脱下巴
30. 欧阳克与洪七公交谈，洪七公认出他是欧阳锋的侄儿
31. 洪七公警告欧阳克不要在中原横行霸道
32. 欧阳克威胁洪七公，洪七公毫不畏惧
33. 欧阳克率人退走，群蛇被驱赶回松林
34. 洪七公担心欧阳锋将来用蛇阵对付五绝
35. 洪七公决定练习"满天花雨"手法，用钢针对付毒蛇
36. 洪七公以缝针刺中蚱蜢，确认可行
37. 黄蓉到市镇买光所有缝衣针
38. 洪七公教黄蓉"满天花雨掷金针"的窍要
39. 黄蓉学得了一手挥出十多枚衣针能同时中人要害的本事
40. 黄蓉做炒蛇片、煨蛇段、清炖蛇羹等菜肴请洪七公尝新
41. 黄蓉将一条红烧全蛇取名为"亢龙有悔"
42. 洪七公与黄蓉讨论欧阳锋养蛇阵的用意
43. 穆念慈来到客店，黄蓉见她腰间插着郭靖的短剑
44. 黄蓉向穆念慈借短剑，借故要还给郭靖
45. 黄蓉与穆念慈比武，用"桃华落英掌"和"逍遥游"拳法胜之
46. 黄蓉用"兰花拂穴手"点中穆念慈穴道
47. 黄蓉逼穆念慈立誓不嫁郭靖
48. 穆念慈表示自己已心有所属，不会嫁给郭靖
49. 穆念慈透露自己心仪完颜康，即使他是坏蛋也不变心
50. 黄蓉与穆念慈和解，成为好友
51. 洪七公留下树皮信后不辞而别
52. 穆念慈讲述自己当年救助受伤乞丐，因而得洪七公传授"逍遥游"拳法
53. 黄蓉提出教穆念慈桃花岛武功，穆念慈因有急事婉拒
54. 穆念慈夜出，黄蓉暗中跟随
55. 两人来到金国钦使住处，发现钦使竟是完颜康
56. 黄蓉设计将穆念慈送入完颜康房中
57. 穆念慈与完颜康相见，倾诉衷情
58. 完颜康欲与穆念慈亲热，被拒绝
59. 穆念慈表示愿在牛家村义父故居等完颜康前来迎娶
60. 完颜康发誓不负穆念慈，两人定下终身之约

## 简化版（10条）
1. 郭靖黄蓉遇九指神丐洪七公，黄蓉以精美菜肴讨好，洪七公传授郭靖降龙十八掌和黄蓉逍遥游拳法
2. 洪七公、郭靖、黄蓉在松林遇到欧阳克操控的蛇阵，洪七公用计驱赶蛇群并教训欧阳克
3. 洪七公担心欧阳锋将来用蛇阵对付五绝，开始练习用钢针对付毒蛇
4. 穆念慈来到客店，黄蓉因误会与其比武，后得知穆念慈心有所属
5. 穆念慈透露自己心仪完颜康，表示即使他是坏蛋也不会改变心意
6. 洪七公留下树皮信后不辞而别
7. 穆念慈夜出，黄蓉暗中跟随，发现她前往金国钦使住处
8. 两人发现金国钦使竟是完颜康
9. 黄蓉设计将穆念慈送入完颜康房中，两人倾诉衷情
10. 穆念慈与完颜康定下终身之约，约定在牛家村等待完颜康前来迎娶

## 极简版（3条）
1. 洪七公传授郭靖降龙十八掌和黄蓉逍遥游拳法
2. 穆念慈与完颜康重逢并定下终身之约
3. 洪七公不辞而别，郭靖黄蓉继续江湖之行
