第三十七章 从天而降

=====详细版事件列表=====
1. 郭靖在蒙古军营遇见欧阳锋，询问黄蓉下落，两人抵掌订约
2. 郭靖使用类似一阳指的指法逼退欧阳锋
3. 丐帮鲁有脚等长老现身相助郭靖
4. 鲁有脚赠予黄蓉所作含情词的画像给郭靖
5. 简长老提议设陷阱对付欧阳锋
6. 郭靖与丐帮长老第一次设陷阱（深坑、沙包）对付欧阳锋失败
7. 第四次成功用陷阱困住欧阳锋后又将其放走
8. 欧阳锋威胁十日携蛇杖再来
9. 郭靖担忧黄蓉在军中受冻
10. 花剌子模军乘寒来攻，被郭靖以龙飞阵击退
11. 再次设陷阱用冷水结成冰柱困住欧阳锋一个时辰后放走
12. 郭靖听到疑似黄蓉的"倒水"低喝声，确认其在军中但决定不苦逼相见
13. 成吉思汗传令四路军马会师齐攻撒麻尔罕城
14. 郭靖挥军沿那密河南行，抵达撒麻尔罕城下与敌交战
15. 察合台的长子莫图根急于立功，奋勇迫城被射死，成吉思汗发现箭上刻有"大金赵王"四字
16. 成吉思汗下令谁擒得完颜洪烈为王孙复仇，此城子女玉帛尽数赏他
17. 郭靖请鲁有脚入帐商议，想跟踪鲁有脚找到黄蓉，但被丐帮帮众发现
18. 郭靖苦思与黄蓉相见之法，梦中得黄蓉指点
19. 郭靖逼鲁有脚想办法让他与黄蓉相见，鲁有脚告知黄蓉在秃木峰顶相候
20. 鲁有脚等三长老用羊腿建搭梯级帮助郭靖上秃木峰
21. 郭靖在秃木峰顶与黄蓉相见，两人互诉衷肠
22. 黄蓉告知欧阳锋也在峰顶偷听，故意提及《九阴真经》引诱他
23. 黄蓉与郭靖设计在峰上用浸了火油的长索破坏羊梯，困住欧阳锋
24. 欧阳锋被困多日后，用裤子和衣衫做成简易降落伞从峰顶跳下
25. 成吉思汗下令万弩齐发，欧阳锋危急中抓住城头大旗逃脱
26. 黄蓉受欧阳锋启发，想出用帐篷制成圆伞从峰顶空降破城之计
27. 郭靖依计而行，率一万名将士从峰顶用革伞空降入城
28. 蒙古军里应外合攻破撒麻尔罕城，花剌子模国王摩诃末北逃
29. 黄蓉识破完颜洪烈金蝉脱壳之计，在西边埋伏将其擒获
30. 郭靖押着完颜洪烈进宫朝见成吉思汗，完颜洪烈被处死
31. 成吉思汗要重赏郭靖，郭靖求大汗饶了撒麻尔罕数十万百姓性命
32. 成吉思汗大怒但信守诺言，收回屠城之令
33. 丘处机应成吉思汗之邀西来，在殿中与成吉思汗谈论，并念诵诗句劝谏少杀人
34. 丘处机向成吉思汗讲解道家练气之道，强调"天道无亲，常与善人"的道理

=====简化版事件列表=====
1. 郭靖与欧阳锋相遇订约，多次设陷阱但未能将其制服，确认黄蓉在军中
2. 蒙古大军会师攻撒麻尔罕城，成吉思汗因爱孙莫图根被射死而大怒，悬赏擒杀完颜洪烈
3. 郭靖在鲁有脚帮助下用羊腿梯上秃木峰与黄蓉相见，两人设计困住欧阳锋
4. 欧阳锋用自制降落伞逃脱，黄蓉受启发想出用革伞空降破城之计，成功攻破撒麻尔罕城
5. 黄蓉擒获完颜洪烈，郭靖为救数十万百姓性命违逆成吉思汗屠城之令，丘处机西来劝谏成吉思汗少杀人

=====极简版事件列表=====
1. 郭靖与黄蓉重逢，设计破撒麻尔罕城
2. 郭靖为救百姓违逆大汗，丘处机西来劝谏成吉思汗
