第三十八章 锦囊密令

=====详细版事件列表=====
1. 郭靖与欧阳锋、周伯通、裘千仞在黑暗石屋中激战，众人连环邀击，险象环生
2. 郭靖疲累不堪，从屋顶破洞逃出石屋，进入混战的战场
3. 郭靖在小树林中沉睡，醒来发现小红马在舐他的脸，一人一马劫后重逢
4. 郭靖牵小红马回村，只见战场尸横遍野，石屋已空无一人
5. 郭靖追上成吉思汗大军，花剌子模已土崩瓦解，国王摩诃末西遁
6. 成吉思汗因不见郭靖而忧急，见其归来大喜，华筝公主更是欢喜
7. 丘处机随大军东归，一路上力劝大汗恤民少杀，保全无数百姓
8. 成吉思汗回到斡难河畔大宴祝捷，休养士卒后又兴南征之念
9. 郭靖自黄蓉死后神伤不已，常独自在草原漫游，对华筝的劝慰充耳不闻
10. 成吉思汗遣兵三路伐金，中路军由窝阔台统率，左军由拖雷统率，右军由郭靖统率
11. 成吉思汗与三将密议借道宋境直捣金国都城大梁的战略
12. 郭靖提出"攻而不攻，不攻而攻"的战术，与成吉思汗的谋划不谋而合
13. 成吉思汗赞赏郭靖的用兵才能，授予三人锦囊，命破金后在金銮殿共同开拆
14. 成吉思汗询问郭靖为何用兵机敏，郭靖提及《武穆遗书》和岳飞的故事
15. 郭靖去见母亲，发现帐中多了许多财宝和婢女，李萍对此感到不安
16. 李萍建议以思乡为由试探大汗，郭靖禀告后大汗不准，态度反常
17. 李萍用织锦之术拆开锦囊，发现成吉思汗密令命破金后灭宋，郭靖若不从则处死母子
18. 郭靖决定与母亲连夜逃回南边，收拾随身衣物和马匹，不取大汗所赐财物
19. 郭靖回到母亲帐中发现母亲不在，被赤老温带兵捉拿押往金帐
20. 成吉思汗怒斥郭靖背叛，欲将其处斩，拖雷赶来求情
21. 成吉思汗以李萍性命相威胁，逼郭靖攻打宋朝，封其为宋王
22. 李萍拉郭靖到角落，讲述靖康之耻和杨家后代的教训，教导郭靖不可做卖国奸贼
23. 李萍趁其不备，用短剑自刎而死，以死明志，不拖累儿子
24. 郭靖悲痛欲绝，抱着母亲尸身杀出金帐，抢马南逃
25. 蒙古大军层层围捕，但成吉思汗下令活捉，不敢放箭伤其性命
26. 郭靖被哲别率军追上，哲别念及昔日救命之恩，不仅不捉拿，反而赠马赠弓
27. 郭靖在哲别帮助下安葬母亲，哲别的部属也都不肯捉拿昔日的将军
28. 拖雷快马追来，送来小红马和黄金，与郭靖洒泪相别
29. 拖雷告诉郭靖华筝定会南下寻找，但郭靖不愿增添烦恼
30. 两人并骑南驰数十里，最终互拜告别，郭靖独自踏上南归之路

=====简化版事件列表=====
1. 郭靖从石屋逃出后回到蒙古军，成吉思汗准备南征金国
2. 成吉思汗封郭靖为右军统帅，授予锦囊密令，实则命其破金后灭宋
3. 郭靖与母亲发现密令后决定逃离，却被成吉思汗发现并捉拿
4. 成吉思汗以李萍性命威胁郭靖，李萍为保全儿子名节自刎而死
5. 郭靖在哲别和拖雷帮助下，安葬母亲后骑小红马逃离蒙古南归

=====极简版事件列表=====
1. 郭靖发现成吉思汗灭宋密令，母亲李萍为保全其名节自刎
2. 郭靖在旧部帮助下逃离蒙古，踏上南归之路
