【标题】
第二回 江南七怪

【详细事件列表】
1. 完颜洪烈发现银两被偷，怀疑是包惜弱所为
2. 完颜洪烈在客店与店小二冲突，掌掴店小二
3. 完颜洪烈打伤店小二，引来衙役围捕
4. 完颜洪烈出示信件，衙役发现是金国王子
5. 完颜洪烈获得嘉兴府官员赔礼道歉和金银赔偿
6. 完颜洪烈向包惜弱坦白自己是金国六王子
7. 完颜洪烈在街上遇到骑术精湛的韩宝驹
8. 完颜洪烈观察到江南七怪在醉仙楼聚会
9. 丘处机突然出现，与焦木和尚发生冲突
10. 丘处机指责焦木和尚私藏郭杨二人的遗孀
11. 江南七怪与丘处机在醉仙楼展开较量
12. 江南七怪与丘处机比试酒量，朱聪用计获胜
13. 完颜洪烈的手下金兵误入酒楼，加剧误会
14. 丘处机误以为江南七怪勾结金兵
15. 江南七怪与丘处机在醉仙楼动手打斗
16. 丘处机伤退江南七怪多人，柯镇恶受伤
17. 朱聪用计重伤丘处机，使其中毒倒地
18. 段天德出现，欲杀害丘处机
19. 焦木阻止段天德行凶，被段天德杀害
20. 段天德掳走李萍逃离法华寺

【简要事件列表】
1. 完颜洪烈银两被偷，发现是金国王子身份
2. 完颜洪烈遇到骑术高超的江南七怪成员
3. 丘处机追查郭杨遗孀，与江南七怪冲突
4. 醉仙楼中江南七怪与丘处机比武较量
5. 金兵误入加剧误会，丘处机重伤倒地
6. 段天德杀害焦木，掳走李萍逃走

【极简事件列表】
1. 完颜洪烈暴露金国王子身份
2. 丘处机与江南七怪醉仙楼冲突
3. 段天德杀害焦木掳走李萍
