【标题】
第五回 弯弓射雕

【详细事件列表】
1. 江南六怪在荒山发现铜尸陈玄风的尸体被豹子啃食
2. 都史带豹子要吃拖雷，郭靖不顾危险前去救援
3. 韩宝驹救下郭靖，赶到现场解救拖雷
4. 木华黎等四杰及时赶到阻止豹子伤人
5. 华筝奔向战场险遭豹子攻击，郭靖舍身相救
6. 柯镇恶暗中用毒菱射杀两头豹子
7. 铁木真将华筝许配给都史，与王罕结为亲家
8. 江南六怪定居蒙古，开始教导郭靖武功
9. 六怪苦寻铁尸梅超风下落未果
10. 郭靖天资鲁钝，六怪教学进展缓慢
11. 十年过去，郭靖成长为十六岁少年
12. 江南六怪带郭靖祭扫张阿生坟墓
13. 全真教尹志平奉丘处机之命前来投书
14. 尹志平夜访试探郭靖武功，将其摔倒
15. 江南六怪得知丘处机已找到杨康，心情沉重
16. 郭靖练武不进反退，韩小莹愤怒离去
17. 华筝叫郭靖观看大雕争斗
18. 郭靖一箭双雕，铁木真大喜赏赐金刀
19. 郭靖为华筝求情不嫁都史，铁木真不允
20. 神秘道士救下悬崖上小白雕，传授郭靖内功

【简要事件列表】
1. 郭靖救华筝险遭豹子攻击，江南六怪定居蒙古
2. 郭靖资质愚钝，六怪教学困难重重
3. 尹志平传达丘处机消息，江南六怪压力倍增
4. 郭靖一箭双雕获铁木真赏赐
5. 神秘道士传授郭靖内功，武功开始突飞猛进

【极简事件列表】
1. 江南六怪定居蒙古教导郭靖
2. 郭靖一箭双雕获赏赐
3. 神秘道士传授郭靖内功
