【标题】
第八回 各显神通

【详细事件列表】
1. 王处一带郭靖离开客栈，一路上测试郭靖的轻功根基，发现他已有不错的基础
2. 王处一得知郭靖内功是马钰所传，表示喜欢，认为丘处机不会怪他帮助郭靖
3. 王处一告诉郭靖，完颜康是他师兄丘处机的弟子，郭靖惊讶不已
4. 王处一决定与丘处机会面后再处理完颜康的事情，并提到杨康要到嘉兴比武的事
5. 王处一和郭靖去看望穆易父女，发现穆易双手受伤严重，王处一赠银相助
6. 完颜康派人送来精美点心果品，郭靖为留给黄蓉而包了一些带走
7. 郭靖随王处一到赵王府赴宴，心中担忧被完颜洪烈认出
8. 完颜康迎接王处一和郭靖，两人脸上都有伤痕，相对苦笑
9. 完颜康介绍众多武林高手给王处一认识：彭连虎、梁子翁、灵智上人、沙通天等
10. 沙通天质疑江南七怪有全真派撑腰才敢横行，王处一否认与江南七怪相识
11. 沙通天突然出手抓郭靖，王处一挡在前面，两人对掌被欧阳克分开
12. 完颜康介绍欧阳克是西域白驼山少主，欧阳克展示武功震慑众人
13. 完颜康请出师父汤祖德，王处一讽刺他是汉人在金国做官
14. 汤祖德愤怒出手攻击王处一，被王处一用筷子夹住手腕
15. 梁子翁按向汤祖德肩膀，两人劲力同时作用导致汤祖德双手按入菜肴中狼狈不堪
16. 沙通天指责郭靖破坏黄河帮大事，众人都欲拿下郭靖交给赵王处置
17. 王处一为探虚实，请众人展示武功：侯通海表演"雪里埋人"、沙通天弹瓜子嵌字、彭连虎截瓜子续字
18. 欧阳克展示筷子布阵，梁子翁在筷子上表演燕青拳，灵智上人展示毒沙掌内功
19. 王处一趁众人注意力分散时制住完颜康做人质，用内功斟酒展示实力
20. 王处一以完颜康交换郭靖自由，众人碍于名声不便违约，只好放人
21. 灵智上人试图偷袭王处一，两人对掌，灵智上人被震伤吐血
22. 王处一背伤中毒，让郭靖寻找僻静小店疗伤，用三缸清水化毒
23. 王处一需用药清毒，但赵王府已将全城药店相关药材搜购一空
24. 黄蓉送来书信约郭靖见面，王处一虽有疑虑但仍让郭靖前往
25. 郭靖在湖边遇到被吊在树上的黄河四鬼，随后遇见黄蓉
26. 黄蓉女装现身，郭靖震惊，黄蓉表明女儿身份并赠送酒菜
27. 郭靖讲述王处一伤势，黄蓉承诺会帮他拿到所需药材
28. 黄蓉提议去赵王府拿药，郭靖虽担心危险但为了救人同意前往

【简要事件列表】
1. 王处一带郭靖赴赵王府宴会，途中试探其武功根基
2. 赵王府聚会各路武林高手，沙通天与王处一因郭靖产生冲突
3. 众高手轮流展示绝技，王处一借机观察敌情
4. 王处一制住完颜康做人质，迫使众人放行郭靖
5. 王处一被灵智上人毒沙掌所伤，需特殊药材治疗但全城药店无货
6. 黄蓉现身与郭靖相认，承诺帮助获取所需药材
7. 郭靖决定陪同黄蓉冒险进入赵王府取药救人

【极简事件列表】
1. 郭靖随王处一赴赵王府宴会
2. 王处一制住完颜康换得郭靖自由
3. 王处一被毒掌所伤急需药材治疗
4. 黄蓉现身相助，决定潜入赵王府取药
