【标题】
第十九回 洪涛群鲨

【详细事件列表】
1. 欧阳克质疑郭靖背诵《九阴真经》的能力，要求搜身检查
2. 黄药师暗中保护郭靖，防止欧阳锋暗算
3. 郭靖坦承是周伯通传授经文，欧阳锋得知周伯通在桃花岛
4. 黄药师设宴款待众人，欧阳克请求学习桃花岛五行奇门之术
5. 黄药师赠欧阳克桃花岛总图，但限制其不得抄录或让他人观看
6. 欧阳锋临别时暗示郭靖所学武功已超越洪七公等高手
7. 黄药师透露周伯通被困在岛上十五年，众人前往查看
8. 周伯通设计机关戏弄黄药师，使其踩粪淋尿
9. 周伯通展示分心合击武功，黄药师难以取胜
10. 周伯通为违背师兄遗训懊悔，将双手缚住不还手
11. 黄药师误以为郭靖欺骗自己，盛怒之下击伤周伯通
12. 黄药师赠周伯通九花玉露丸疗伤，并派船送其离岛
13. 周伯通坚持要乘坐黄药师为亡妻准备的花船，黄药师警告危险
14. 黄药师将郭靖逐出桃花岛，断绝翁婿关系
15. 黄蓉得知父亲设计害死郭靖三人，急忙出海救援
16. 洪七公、周伯通、郭靖三人乘坐花船出海，船身突然解体
17. 三人落水后遭遇鲨鱼群围攻，在海中苦战
18. 欧阳锋座船赶到救援，将三人救上船
19. 欧阳锋展示毒蛇毒液的威力，毒死大批鲨鱼
20. 欧阳锋与周伯通打赌，要求周伯通为其做一件事

【简要事件列表】
1. 欧阳克质疑郭靖所学，黄药师设宴款待众人
2. 周伯通与黄药师交手，展示分心合击武功
3. 黄药师误伤周伯通，郭靖被逐出桃花岛
4. 三人乘坐花船遇险，船毁落水遭遇鲨鱼群
5. 欧阳锋救援并展示毒蛇威力，与周伯通打赌

【极简事件列表】
1. 周伯通展示武功，黄药师误伤之
2. 郭靖被逐，三人乘船遇险
3. 欧阳锋救援，毒蛇灭鲨鱼
