【标题】
第三十六回 大军西征

【详细事件列表】
1. 黄蓉在铁枪庙中揭露杨康杀害欧阳克的真相，利用傻姑的证言让欧阳锋相信
2. 杨康惊慌失措，试图杀害傻姑灭口，但被黄蓉用打狗棒法击退
3. 欧阳锋愤怒质问杨康，杨康无法辩解，承认杀害欧阳克是为了拜欧阳锋为师
4. 黄蓉进一步揭露杨康在牛家村杀害欧阳克的细节，模仿其语调让杨康无法抵赖
5. 杨康恼羞成怒攻击黄蓉，却被软猬甲上的南希仁毒血所伤，身中蛇毒
6. 杨康毒发疯狂，沙通天也被其抓伤中毒，彭连虎为救沙通天砍下其半条手臂
7. 完颜洪烈试图救杨康，但杨康神智混乱，误认其为杀母仇人
8. 杨康最终毒发身亡，完颜洪烈仓皇逃走
9. 欧阳锋逼迫黄蓉背诵《九阴真经》译文，黄蓉机智应对
10. 黄蓉设计骗过欧阳锋，取得郭靖默写的假经文
11. 黄蓉威胁烧毁假经文，迫使欧阳锋放她离开
12. 欧阳锋发现柯镇恶藏身神像后，将其擒住，黄蓉舍命相救
13. 欧阳锋最终放走柯镇恶，带走黄蓉
14. 柯镇恶被抛出庙外，凭借听风辨形之术接住毒菱，展现高超技艺
15. 柯镇恶找到郭靖，将铁枪庙中发生的一切详细告知
16. 郭靖得知真相后悔恨不已，决心寻找黄蓉
17. 郭靖埋葬杨康尸骨，为其祈祷能帮助找到黄蓉
18. 郭靖四处寻找黄蓉半年无果，秋去冬来，冬尽春回
19. 郭靖在山东密州目睹金兵残害百姓，愤怒出手相救
20. 蒙古兵赶到击退金兵，郭靖与拖雷重逢
21. 拖雷告知郭靖蒙古军情，成吉思汗东征西伐，拓地无数
22. 郭靖随拖雷北上参加成吉思汗大会，目睹蒙古军威
23. 成吉思汗宣布西征花剌子模，命郭靖统率万人队
24. 华筝公主与郭靖重逢，郭靖坦诚自己不能娶她，要寻找黄蓉
25. 华筝表示愿意等郭靖二十年，郭靖深受感动
26. 成吉思汗紧急召集诸将，宣布花剌子模杀害蒙古使者
27. 成吉思汗决定西征，命郭靖随军出征，捉拿完颜洪烈
28. 成吉思汗册立窝阔台为太子，朮赤与察合台争位险些兵戎相见
29. 郭靖运用《武穆遗书》中阵法，巧妙化解朮赤与察合台的冲突
30. 成吉思汗嘉奖郭靖，正式任命其为右军统帅
31. 蒙古大军十五万人西征，郭靖统率右军三个万人队

【简要事件列表】
1. 黄蓉在铁枪庙揭露杨康杀害欧阳克真相，杨康毒发身亡
2. 欧阳锋带走黄蓉，柯镇恶逃脱后找到郭靖告知真相
3. 郭靖得知真相后悔恨不已，决心寻找黄蓉
4. 郭靖在山东救百姓，与拖雷重逢并参加成吉思汗大会
5. 成吉思汗决定西征花剌子模，册立窝阔台为太子
6. 郭靖与华筝公主告别，华筝表示愿意等他二十年
7. 朮赤与察合台争位险些兵戎相见，郭靖巧妙化解
8. 成吉思汗任命郭靖为右军统帅，蒙古大军十五万西征

【极简事件列表】
1. 黄蓉揭露杨康真相，杨康毒发身亡
2. 欧阳锋带走黄蓉，郭靖得知真相决心寻找
3. 成吉思汗西征花剌子模，郭靖随军出征
