《水浒传》第六回"九纹龙剪径赤松林 鲁智深火烧瓦罐寺"事件列表

【详细版·20条】
1. 鲁智深离开五台山前往东京，路过瓦罐寺
2. 智深发现瓦罐寺破败不堪，钟楼倒塌，殿宇崩催
3. 智深在寺内遇到几个面黄肌瘦的老和尚
4. 老和尚告知寺被生铁佛崔道成和飞天夜叉丘小乙占据
5. 智深发现老和尚藏匿的粟米粥，因饥饿与之争抢
6. 智深发现飞天夜叉丘小乙挑着酒肉回寺
7. 智深见到生铁佛崔道成与一女子在槐树下饮酒
8. 崔道成谎称是老和尚败坏寺院，智深半信半疑
9. 智深返回质问老和尚，老和尚指出崔道成窝藏妇女
10. 智深怒踢角门，与生铁佛崔道成展开搏斗
11. 丘小乙从背后偷袭，智深二对一不敌而逃
12. 智深在赤松林遇到剪径的九纹龙史进
13. 两人交手数合后认出彼此，史进告知鲁达打死郑屠后逃亡经历
14. 史进拿出干肉与智深充饥，决定联手回瓦罐寺报仇
15. 智深与史进回到瓦罐寺，与崔道成、丘小乙展开四人对战
16. 智深一禅杖将生铁佛打下桥，史进朴刀杀死飞天夜叉
17. 两人发现老和尚们已吊死，被掳妇女投井自尽
18. 智深与史进收拾金银财物，放火烧毁瓦罐寺
19. 二人到村镇酒店饮酒吃饭，史进决定回少华山入伙
20. 智深与史进在三岔路口分别，智深独自前往东京

【简要版·6条】
1. 鲁智深路过破败的瓦罐寺，发现被恶僧崔道成、丘小乙占据
2. 智深与二恶僧搏斗不敌，饥饿逃走，在赤松林遇史进
3. 史进与智深相认，联手回寺报仇
4. 四人激战，智深史进杀死崔道成、丘小乙
5. 发现老和尚和被掳妇女已死，放火烧寺
6. 智深与史进分别，前往东京大相国寺

【极简版·4条】
1. 鲁智深路过瓦罐寺，与恶僧搏斗不敌逃走
2. 在赤松林遇史进，二人联手回寺报仇
3. 杀死恶僧，放火烧寺后离开
4. 智深与史进分别，前往东京
