《水浒传》第九回"柴进门招天下客 林冲棒打洪教头"事件列表

【详细版·20条】
1. 薛霸举棍要杀林冲，鲁智深从松树后飞出禅杖救下
2. 鲁智深说明一路暗中跟随保护林冲的经过
3. 林冲求情饶恕董超薛霸性命，鲁智深看林冲面子饶恕二人
4. 鲁智深护送林冲到沧州，一路保护董超薛霸不敢作恶
5. 董超薛霸暗中商量，回去实说被和尚所救，推卸责任
6. 行至离沧州七十里，鲁智深与林冲告别，给银两相助
7. 鲁智深打折松树示威，警告董超薛霸不得害林冲
8. 林冲三人到酒店，店主告知柴进好客招贤纳士
9. 林冲决定投奔柴进庄上，三人前往柴大官人庄院
10. 到柴庄得知柴进出猎未归，三人失望离开
11. 路遇柴进打猎归来，林冲说明身份来意
12. 柴进滚鞍下马拜见林冲，请到庄中盛情款待
13. 庄客报洪教头到来，柴进请其一同入席
14. 洪教头傲慢无礼，不与林冲还礼坐上首
15. 洪教头质疑林冲本事，要求比试枪棒
16. 柴进安排二人月下比武，林冲因戴枷认输
17. 柴进用十两银子请公人开枷，让林冲全力比试
18. 柴进又出二十五两银子作为利物激励比武
19. 林冲使拨草寻蛇势，一棒打翻洪教头获胜
20. 柴进留林冲住几日，写信给沧州官员关照，送银两相别

【简要版·6条】
1. 鲁智深野猪林救下林冲，护送至沧州附近
2. 林冲投奔柴进庄上，柴进盛情款待
3. 洪教头傲慢无礼，要与林冲比试武艺
4. 柴进安排比武，林冲初因戴枷认输
5. 开枷后林冲一棒打翻洪教头获胜
6. 柴进留林冲住几日，写信送银助其赴沧州

【极简版·4条】
1. 鲁智深救林冲并护送至沧州附近
2. 林冲投奔柴进，受到盛情款待
3. 林冲与洪教头比武获胜，展现真本事
4. 柴进资助林冲赴沧州牢城
